Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,300036114.0,732.674824050604,,6.67117766528365,,0.444718416714899,Latin America & Caribbean 
1973,307345195.0,951.355789409314,,13.618317345838,,0.824527827967766,Latin America & Caribbean 
1974,314759757.0,1204.25140051207,,23.5526848539303,,0.575879606897202,Latin America & Caribbean 
1975,322249100.0,1233.65240775554,,16.7735703245817,,0.8155936746635,Latin America & Caribbean 
1976,329807630.0,1322.0018169751,,9.79365327534654,,0.506472737414698,Latin America & Caribbean 
1977,337531513.0,1418.64573267592,,10.6889574207751,,0.64970330193742,Latin America & Caribbean 
1978,345450768.0,1571.66135899366,,10.3061292222966,,0.761755467658054,Latin America & Caribbean 
1979,353452209.0,1822.59701250494,,14.7221703689992,,0.854416573625432,Latin America & Caribbean 
1980,361451180.0,2165.7615091836,,17.9199241406267,,0.863655496563937,Latin America & Caribbean 
1981,369321289.0,2421.76901299444,,14.3318866009394,,1.01024152829405,Latin America & Caribbean 
1982,377189872.0,2198.21039067123,,7.81274141216488,,0.886302283817115,Latin America & Caribbean 
1983,385189898.0,1885.65407143813,,10.2436633526545,,0.797551605576223,Latin America & Caribbean 
1984,393227113.0,1847.53050480627,,11.5071695057308,,0.647836740190705,Latin America & Caribbean 
1985,401251731.0,1801.18272683364,,12.9616863143474,,0.882584450924104,Latin America & Caribbean 
1986,409259052.0,1766.37336281839,,9.76436924342065,,0.714474510745762,Latin America & Caribbean 
1987,417266298.0,1825.61465434772,,11.5375361337894,,0.745503068677015,Latin America & Caribbean 
1988,425320442.0,2000.94548359604,,8.01262890572417,,1.0781653901906,Latin America & Caribbean 
1989,433393694.0,2142.63246504904,,11.4096320065762,,0.939875870304495,Latin America & Caribbean 
1990,441597528.0,2508.66342866306,,21.507988173268,,0.806816839848311,Latin America & Caribbean 
1991,449847635.0,2644.11031294726,,21.6157411224448,6.11508306233765,1.16927918774111,Latin America & Caribbean 
1992,458008075.0,2835.60773967011,,10.6301996893037,6.05748892345081,1.19350931492174,Latin America & Caribbean 
1993,466139063.0,3233.03615432859,,10.2636237496549,6.05915913008561,0.960381144391122,Latin America & Caribbean 
1994,474258790.0,3730.36735734017,,9.70025033516308,6.63227562789434,1.69956411931075,Latin America & Caribbean 
1995,482331291.0,3984.05322847663,,10.1932067630746,7.91677467254005,1.66738998901091,Latin America & Caribbean 
1996,490304061.0,4241.91501106893,,7.35911781788773,8.30707637442316,2.29582383761909,Latin America & Caribbean 
1997,498199382.0,4577.03585034218,,6.9495660853412,8.15709349121884,3.04828317984888,Latin America & Caribbean 
1998,506010566.0,4546.50378476951,,5.11024954517563,8.50183595503577,3.27466915696735,Latin America & Caribbean 
1999,513714410.0,4041.25520035176,,3.45439793587509,9.45808905258078,4.55824911952543,Latin America & Caribbean 
2000,521281149.0,4398.05023803418,285.374818131143,4.60822998872598,9.33272034517667,3.64290313988187,Latin America & Caribbean 
2001,528688278.0,4243.44387606099,279.513046710957,4.05508061344647,9.06222499246939,3.40223638770265,Latin America & Caribbean 
2002,535935546.0,3758.57723338033,238.190913040457,3.95011663721592,9.50094695354887,2.76369449440665,Latin America & Caribbean 
2003,542976557.0,3785.6872994759,246.556726633317,3.73373566167643,9.34407851434311,2.35999425068086,Latin America & Caribbean 
2004,549897638.0,4306.4998431795,280.575683190145,4.38032286534609,8.74606364008538,3.08174506299217,Latin America & Caribbean 
2005,556739532.0,5142.46516450736,337.641497982885,4.44057565687912,8.29291546355655,2.87876030655573,Latin America & Caribbean 
2006,563424119.0,5948.25648399115,401.282033687898,4.25195321977968,7.59503674968664,3.25664294788826,Latin America & Caribbean 
2007,569972223.0,6927.76728831963,478.516886557274,4.57808572377153,7.15398106623587,4.17692418645696,Latin America & Caribbean 
2008,576386180.0,7963.84510283627,548.675473242591,8.1081081081078,6.78655196771424,3.82619573611992,Latin America & Caribbean 
2009,582738079.0,7401.72333427753,552.357819293715,2.5004998875638,7.75890402120238,2.75555398133815,Latin America & Caribbean 
2010,588873862.0,9081.11422764872,650.713143625776,3.49128872618805,7.06482700549021,3.72044981398599,Latin America & Caribbean 
2011,595510008.0,10220.497892665,725.969192198119,4.97773563706971,6.69543465963679,4.09493031179844,Latin America & Caribbean 
2012,602139396.0,10217.2776964379,727.873723643865,3.78180754679685,6.40991312321482,3.9554665945993,Latin America & Caribbean 
2013,608642242.0,10357.1656138957,751.962813585312,2.52864788538364,6.3702301578329,3.88085059556102,Latin America & Caribbean 
2014,615046755.0,10451.5252662143,756.765612096754,3.38341272749479,6.17430069460524,3.83922899660324,Latin America & Caribbean 
2015,621390109.0,8645.27095252049,677.269434443432,1.86148302863373,6.66901306312704,5.1311181311017,Latin America & Caribbean 
2016,627668470.0,8363.6585703583,635.509946064883,1.65038994431577,7.78200515968422,3.53272378982231,Latin America & Caribbean 
2017,633797190.0,9201.46648036571,726.907507946778,2.19201010963043,8.04569851381536,3.06074064726922,Latin America & Caribbean 
2018,639628226.0,8916.08948524633,682.923456456753,2.32414485367923,7.93816370146033,3.3393572972641,Latin America & Caribbean 
2019,645295804.0,8707.18736820255,662.580066677261,2.25212191358024,7.98343365329554,3.10226623783379,Latin America & Caribbean 
2020,650534967.0,7289.95703684922,,0.993337022838757,10.2007846245111,2.4897509000981,Latin America & Caribbean 
2021,654981699.0,8327.60519038265,,3.87805442411136,9.23643904746221,3.37872107247492,Latin America & Caribbean 
