Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,287293125.0,708.646013732698,,5.96962350392561,,0.401179690845994,Latin America & the Caribbean (IDA & IBRD countries)
1973,294397324.0,927.859125269968,,13.618317345838,,0.788829499648659,Latin America & the Caribbean (IDA & IBRD countries)
1974,301621143.0,1184.55838247865,,23.5526848539303,,0.536296326439761,Latin America & the Caribbean (IDA & IBRD countries)
1975,308941410.0,1208.99028309191,,16.7735703245817,,0.811836273692848,Latin America & the Caribbean (IDA & IBRD countries)
1976,316353730.0,1296.59607306382,,10.0695380302795,,0.502533864873838,Latin America & the Caribbean (IDA & IBRD countries)
1977,323956071.0,1393.18504779695,,11.4679325880651,,0.643392002926341,Latin America & the Caribbean (IDA & IBRD countries)
1978,331767538.0,1537.40926662503,,10.5079599343187,,0.762278216266438,Latin America & the Caribbean (IDA & IBRD countries)
1979,339677910.0,1787.34361031653,,14.8423081655327,,0.850389840256917,Latin America & the Caribbean (IDA & IBRD countries)
1980,347592976.0,2136.27679834284,,18.0983569158333,,0.861887480197795,Latin America & the Caribbean (IDA & IBRD countries)
1981,355378011.0,2396.57546122469,,14.3318866009394,,1.00483665872313,Latin America & the Caribbean (IDA & IBRD countries)
1982,363140093.0,2161.44153293759,,7.81274141216488,,0.884563378192552,Latin America & the Caribbean (IDA & IBRD countries)
1983,371018324.0,1834.34643960088,,11.5821110844253,,0.799539871460077,Latin America & the Caribbean (IDA & IBRD countries)
1984,378929100.0,1785.55820674452,,11.9474270118864,,0.646484189784474,Latin America & the Caribbean (IDA & IBRD countries)
1985,386825022.0,1738.50126481693,,18.6867912971238,,0.891249558419056,Latin America & the Caribbean (IDA & IBRD countries)
1986,394702013.0,1695.84993613743,,15.1053754209795,,0.720012900707624,Latin America & the Caribbean (IDA & IBRD countries)
1987,402575619.0,1750.17864424997,,13.5507237827823,,0.747999182354161,Latin America & the Caribbean (IDA & IBRD countries)
1988,410490303.0,1921.048922424,,10.8327037689913,,1.0758086715572,Latin America & the Caribbean (IDA & IBRD countries)
1989,418420570.0,2064.77972679193,,14.3295390328572,,0.942050614590642,Latin America & the Caribbean (IDA & IBRD countries)
1990,426479901.0,2434.35337507374,,21.9601751165083,,0.799422574560262,Latin America & the Caribbean (IDA & IBRD countries)
1991,434604864.0,2581.85990692906,,22.662359455061,5.98000484912891,1.15852494019795,Latin America & the Caribbean (IDA & IBRD countries)
1992,442658603.0,2780.47985222436,,12.060323601829,5.91222914578727,1.20115782440427,Latin America & the Caribbean (IDA & IBRD countries)
1993,450688569.0,3185.12006933191,,10.8352359208521,5.91033645342836,0.96324739974316,Latin America & the Caribbean (IDA & IBRD countries)
1994,458715789.0,3678.30940051606,,10.8553211494391,6.52354898145413,1.7084804247207,Latin America & the Caribbean (IDA & IBRD countries)
1995,466703013.0,3929.51180166303,,11.6696146432491,7.85707079844519,1.66471746104708,Latin America & the Caribbean (IDA & IBRD countries)
1996,474585894.0,4201.15910403875,,9.79430189598023,8.27917980784627,2.29482278173533,Latin America & the Caribbean (IDA & IBRD countries)
1997,482400078.0,4534.10739809887,,7.04733884709024,8.13615537098675,3.04279027764664,Latin America & the Caribbean (IDA & IBRD countries)
1998,490145696.0,4488.97614154957,,5.44087227366701,8.5158957015491,3.27835175616751,Latin America & the Caribbean (IDA & IBRD countries)
1999,497788851.0,3955.88476948334,,3.50379784108943,9.51197462412566,4.5531177974429,Latin America & the Caribbean (IDA & IBRD countries)
2000,505304844.0,4310.64122352824,287.028178666079,5.37070103735194,9.41206594617783,3.65566130967524,Latin America & the Caribbean (IDA & IBRD countries)
2001,512664811.0,4135.91711654489,280.591494618837,5.42193703675423,9.15335459406442,3.42697273511682,Latin America & the Caribbean (IDA & IBRD countries)
2002,519865563.0,3629.98037885465,237.950512679473,4.63549696919973,9.61380086291835,2.74630693602275,Latin America & the Caribbean (IDA & IBRD countries)
2003,526861169.0,3648.55547435338,246.125464731578,4.92464392669327,9.47005901081695,2.34951926691257,Latin America & the Caribbean (IDA & IBRD countries)
2004,533741619.0,4169.29674914585,280.720056515558,4.56020507382464,8.87357503797203,3.08437214134171,Latin America & the Caribbean (IDA & IBRD countries)
2005,540553499.0,5011.70147799981,336.902251399484,4.69511304969705,8.39903629049773,2.86825380372468,Latin America & the Caribbean (IDA & IBRD countries)
2006,547224720.0,5821.73389209694,400.676750698261,4.28790984215745,7.6871745819719,2.45922183926981,Latin America & the Caribbean (IDA & IBRD countries)
2007,553771247.0,6813.3880119004,475.761204405696,5.84397570531601,7.23798930539897,3.43502920055715,Latin America & the Caribbean (IDA & IBRD countries)
2008,560186837.0,7868.89200369243,546.514829460994,8.55818233513536,6.86146713925536,3.36840104272224,Latin America & the Caribbean (IDA & IBRD countries)
2009,566539590.0,7288.2206649828,548.944675275688,2.59194673430563,7.83610933407602,2.2537229809325,Latin America & the Caribbean (IDA & IBRD countries)
2010,572674666.0,9007.3812518454,650.707151329954,3.73337757704245,7.10173166644799,3.30054504985095,Latin America & the Caribbean (IDA & IBRD countries)
2011,579334666.0,10157.7080256739,725.785026935818,5.12892376681616,6.71330591422285,3.55578397481936,Latin America & the Caribbean (IDA & IBRD countries)
2012,585986944.0,10144.3445788974,729.459729824443,4.11150981070293,6.42096847833145,3.59758442848513,Latin America & the Caribbean (IDA & IBRD countries)
2013,592507619.0,10280.4237194411,751.919835425292,2.76789666081994,6.38299754062659,3.31215449117293,Latin America & the Caribbean (IDA & IBRD countries)
2014,598949385.0,10369.9180463986,753.920024673243,3.43816659958603,6.19699998014887,3.0945116640176,Latin America & the Caribbean (IDA & IBRD countries)
2015,605335594.0,8497.45594058406,670.647107314246,3.12900274473923,6.71982193809637,3.49909572429653,Latin America & the Caribbean (IDA & IBRD countries)
2016,611668087.0,8199.16861798615,628.070307921049,2.72461223295292,7.86736205653327,3.47410331740912,Latin America & the Caribbean (IDA & IBRD countries)
2017,617875842.0,9050.94346805003,720.772676781638,2.62762297294268,8.14770255308999,3.01597415359393,Latin America & the Caribbean (IDA & IBRD countries)
2018,623841282.0,8754.29326776485,676.336913211078,2.27205987230148,8.04245728718516,3.33746271446631,Latin America & the Caribbean (IDA & IBRD countries)
2019,629515571.0,8526.26578328322,654.8640503891,2.0872308916202,8.09922103575063,3.08385770369504,Latin America & the Caribbean (IDA & IBRD countries)
2020,634680385.0,7081.44704554668,,1.38042647320281,10.3554491596938,2.33608859401092,Latin America & the Caribbean (IDA & IBRD countries)
2021,639188695.0,8108.91586994813,,4.26105127422819,9.36880190599565,2.85419752337497,Latin America & the Caribbean (IDA & IBRD countries)
