Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2395674.0,,,,,,Latvia
1973,2415819.0,,,,,,Latvia
1974,2437186.0,,,,,,Latvia
1975,2456130.0,,,,,,Latvia
1976,2470989.0,,,,,,Latvia
1977,2485073.0,,,,,,Latvia
1978,2497921.0,,,,,,Latvia
1979,2505953.0,,,,,,Latvia
1980,2511701.0,,,,,,Latvia
1981,2519421.0,,,,,,Latvia
1982,2531080.0,,,,,,Latvia
1983,2546011.0,,,,,,Latvia
1984,2562047.0,,,,,,Latvia
1985,2578873.0,,,,,,Latvia
1986,2599892.0,,,,,,Latvia
1987,2626583.0,,,,,,Latvia
1988,2653434.0,,,,,,Latvia
1989,2666955.0,,,,,,Latvia
1990,2663151.0,,,,,,Latvia
1991,2650581.0,,,,2.70000004768372,,Latvia
1992,2614338.0,,,951.696194870801,6.59999990463257,,Latvia
1993,2563290.0,,,108.989540624323,16.7000007629395,,Latvia
1994,2520742.0,,,35.9247053929643,18.7000007629395,,Latvia
1995,2485056.0,2329.57673252552,,24.975935531675,19.0,4.21547032926806,Latvia
1996,2457222.0,2431.70899961616,,17.6104698431032,20.7000007629395,5.54540920784118,Latvia
1997,2432851.0,2683.2413681237,,8.44738342092955,14.8999996185303,7.26653408164294,Latvia
1998,2410019.0,2973.53484252681,,4.64421422660782,14.4499998092651,5.18260847879055,Latvia
1999,2390482.0,3151.57701817354,,2.36481836111806,13.789999961853,4.62051751162829,Latvia
2000,2367550.0,3361.64086880275,181.57072449,2.65425477796052,14.210000038147,4.07326110975041,Latvia
2001,2337170.0,3578.00190041351,205.02047729,2.48704003555455,13.8199996948242,2.07477210805633,Latvia
2002,2310173.0,4136.93329688951,237.29516602,1.93887573855892,13.8299999237061,1.67510905867537,Latvia
2003,2287955.0,5145.19523190241,280.50878906,2.94264752948481,12.0600004196167,2.68988145299238,Latvia
2004,2263122.0,6378.66652057115,393.29806519,6.19238547197433,11.710000038147,4.09810365195433,Latvia
2005,2238799.0,7594.90238431362,440.80975342,6.74845027893117,10.0299997329712,4.76289166404821,Latvia
2006,2218357.0,9723.44690174779,552.30157471,6.53619908765875,7.03000020980835,7.90756297931773,Latvia
2007,2200325.0,14113.5291277327,775.19152832,10.0929775849168,6.05000019073486,8.73762476647532,Latvia
2008,2177322.0,16467.1436879405,913.52148438,15.4023191064986,7.73999977111816,4.00028668556069,Latvia
2009,2141669.0,12331.9285524089,744.66162109,3.53410672858941,17.5100002288818,-0.568030990235418,Latvia
2010,2097555.0,11420.9940032836,689.07720947,-1.08463595015159,19.4799995422363,1.98271981067991,Latvia
2011,2059709.0,13338.9622350852,764.59173584,4.37073559939221,16.2099990844727,5.53067572457445,Latvia
2012,2034319.0,13847.3379393194,745.51745605,2.25778924374594,15.0500001907349,3.83664423775721,Latvia
2013,2012647.0,15007.4918561719,807.13000488,-0.0294547782578977,11.8699998855591,3.27525565812789,Latvia
2014,1993782.0,15742.3913381908,856.76654053,0.620490636732377,10.8500003814697,3.32975610261153,Latvia
2015,1977527.0,13786.4567953114,775.86431885,0.174242243625214,9.86999988555908,2.98148083437119,Latvia
2016,1959537.0,14331.7515885049,874.79772949,0.140633334505292,9.64000034332275,1.19436613264231,Latvia
2017,1942248.0,15695.1151541059,932.50158691,2.93036312374664,8.72000026702881,3.90367286315916,Latvia
2018,1927174.0,17865.0310947642,1101.49255371,2.53445424186602,7.40999984741211,1.23236160129672,Latvia
2019,1913822.0,17945.2222164984,1166.79785156,2.81140920075622,6.30999994277954,3.24538004464809,Latvia
2020,1900449.0,18207.1396408631,,0.219064904842049,8.10000038146973,2.71140110404879,Latvia
2021,1884490.0,21148.1629405415,,3.27582937431157,7.51000022888184,9.33689137033742,Latvia
