Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,327754005.0,,,,,0.298856990723806,Least developed countries: UN classification
1973,336115608.0,,,,,0.335378454072351,Least developed countries: UN classification
1974,344768889.0,,,,,0.322057928231982,Least developed countries: UN classification
1975,353326456.0,,,,,0.13412596956103,Least developed countries: UN classification
1976,361742318.0,,,,,0.783249799725174,Least developed countries: UN classification
1977,370439863.0,,,,,0.332369150180131,Least developed countries: UN classification
1978,379992014.0,,,,,0.589886999829014,Least developed countries: UN classification
1979,390056928.0,,,,,0.555936352825434,Least developed countries: UN classification
1980,399246494.0,284.127719584342,,,,0.472613879361205,Least developed countries: UN classification
1981,408153304.0,276.912002629238,,,,0.233850888479822,Least developed countries: UN classification
1982,418471354.0,267.000031734761,,,,0.354586263059741,Least developed countries: UN classification
1983,429841083.0,247.71144685099,,,,-0.0599009057468284,Least developed countries: UN classification
1984,441553638.0,240.889965126284,,,,0.193019048245355,Least developed countries: UN classification
1985,453409898.0,245.805087211577,,,,0.470995974120768,Least developed countries: UN classification
1986,465218902.0,257.699666832605,,9.64496896069545,,0.193667843238146,Least developed countries: UN classification
1987,477192955.0,276.30004840825,,8.15234253800876,,0.313584168956409,Least developed countries: UN classification
1988,489163995.0,296.774237714141,,10.0967137576586,,0.222986214095311,Least developed countries: UN classification
1989,501471577.0,312.733727946384,,8.84688691232553,,0.383629407594778,Least developed countries: UN classification
1990,513968735.0,354.080884241963,,8.73759261848179,,0.0972082949124264,Least developed countries: UN classification
1991,526535602.0,370.673955090154,,13.4415584415586,4.09276109596503,0.747529969453479,Least developed countries: UN classification
1992,540619179.0,272.246985195739,,10.7511603675285,4.12361219924152,1.01440107830102,Least developed countries: UN classification
1993,555923633.0,265.244696834835,,9.52484537019692,4.11543927035111,1.33871666604901,Least developed countries: UN classification
1994,570870487.0,238.976240547929,,24.8744449762784,4.11934394749191,0.767937173993508,Least developed countries: UN classification
1995,585613280.0,266.808842409576,,14.4625482180894,4.07922874519797,0.972557858023939,Least developed countries: UN classification
1996,600451248.0,286.907875131296,,9.27539060454458,4.10267109984158,1.0309266437865,Least developed countries: UN classification
1997,615302205.0,294.499171848918,,8.02210766631753,4.16499916189558,1.51368061729411,Least developed countries: UN classification
1998,630487968.0,292.372950300118,,8.02271092232229,4.21720364236236,1.92013068788517,Least developed countries: UN classification
1999,646252000.0,292.828552459597,,5.94203244264924,4.27417859141774,2.83606601588599,Least developed countries: UN classification
2000,662018171.0,327.974898846431,12.2581555756475,4.0121208107034,4.32431785220688,1.83063970993168,Least developed countries: UN classification
2001,678096204.0,312.876718518445,12.0868003095884,4.7148963468961,4.36779414691854,3.00220548363333,Least developed countries: UN classification
2002,695718323.0,330.813023632455,13.0370923515138,4.46426400734843,4.45368663334377,2.65828139229118,Least developed countries: UN classification
2003,713914587.0,361.768955084289,14.9524623764749,6.48943208673345,4.55106574372483,3.72837892777679,Least developed countries: UN classification
2004,731736892.0,408.101396477172,17.6525253288251,4.53421374129695,4.50601503716872,3.16387450310189,Least developed countries: UN classification
2005,749852827.0,470.840616661864,19.826135974217,7.56408061709869,4.47701827491877,1.7038741393786,Least developed countries: UN classification
2006,768211301.0,532.945219140665,23.3343512903352,6.85246617854622,4.39002360599767,2.2601932418922,Least developed countries: UN classification
2007,786317083.0,624.971520643286,27.5837197121997,7.78556896236766,4.46726275633285,2.60785806468014,Least developed countries: UN classification
2008,804637337.0,745.313191390303,32.2007883361403,11.010388006835,4.51132253964013,3.17692745651157,Least developed countries: UN classification
2009,823699833.0,732.72489841497,33.1816172627945,4.68438868976501,4.59830831296517,2.58707957081276,Least developed countries: UN classification
2010,843512714.0,812.822733191593,34.4493492990247,5.98254521550086,4.62998011419586,2.67855906580411,Least developed countries: UN classification
2011,864134636.0,921.727110860738,39.253971950418,7.06704498985312,4.65598754201937,2.99986097328482,Least developed countries: UN classification
2012,885375140.0,945.173417987177,39.9375317665171,6.44121280934118,4.67946834407727,3.57412283336246,Least developed countries: UN classification
2013,907133963.0,1005.61358250837,43.7437871498802,5.64303883425513,4.65154096963072,2.76849308622884,Least developed countries: UN classification
2014,929398042.0,1055.489277272,45.7395472632185,4.52233202797476,4.65211425030512,3.01158886072688,Least developed countries: UN classification
2015,951928215.0,997.132283890389,46.2056946816705,4.3771266506566,4.73025878381673,4.06586520391562,Least developed countries: UN classification
2016,975265947.0,1021.78781099426,45.212584070708,5.43271095818786,4.79479350109151,2.63559762184979,Least developed countries: UN classification
2017,999288864.0,1114.92308410884,47.6598027928825,4.9655175876948,4.87953355787805,1.90249471871727,Least developed countries: UN classification
2018,1023493788.0,1073.3209737358,42.9564000311031,3.47796666914965,4.79144267781597,1.68711761549486,Least developed countries: UN classification
2019,1048193552.0,1100.0270461345,42.7003080882222,3.09342088075371,4.79801971929301,1.85781751579293,Least developed countries: UN classification
2020,1073743450.0,1095.77064832518,,4.72112056742577,5.60959351976569,1.95396413358344,Least developed countries: UN classification
2021,1099568566.0,1164.91831596213,,4.90250924158173,5.62516759504022,2.02844437211593,Least developed countries: UN classification
