Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2505965.0,,,,,,Lebanon
1973,2569841.0,,,,,,Lebanon
1974,2632880.0,,,,,,Lebanon
1975,2691586.0,,,,,,Lebanon
1976,3070419.0,,,,,,Lebanon
1977,3457617.0,,,,,,Lebanon
1978,3183405.0,,,,,,Lebanon
1979,2902164.0,,,,,,Lebanon
1980,2963702.0,,,,,,Lebanon
1981,3027222.0,,,,,,Lebanon
1982,3070133.0,,,,,,Lebanon
1983,3106990.0,,,,,,Lebanon
1984,3163558.0,,,,,,Lebanon
1985,3226750.0,,,,,,Lebanon
1986,3308010.0,,,,,,Lebanon
1987,3390870.0,,,,,,Lebanon
1988,3457148.0,958.460577311836,,,,-0.00814838494373394,Lebanon
1989,3525502.0,770.953664956087,,,,0.0584989244913733,Lebanon
1990,3593700.0,789.850392064409,,,,0.227233865800903,Lebanon
1991,3666734.0,1279.1806257385,,,8.40900039672852,0.0347517195779463,Lebanon
1992,3745407.0,1560.19870761742,,,8.44099998474121,0.315902283373073,Lebanon
1993,3818796.0,2079.64617437567,,,8.46100044250488,0.0931785202525899,Lebanon
1994,3888144.0,2468.81984050424,,,8.50399971008301,0.235021369991627,Lebanon
1995,3959640.0,2959.56085111119,,,8.53299999237061,0.298665506321862,Lebanon
1996,4034243.0,3393.50339909363,,,8.47599983215332,0.584358875045655,Lebanon
1997,4107551.0,3834.85621710957,,,8.61999988555908,11.4246771127672,Lebanon
1998,4178784.0,4127.32005423634,,,8.48799991607666,6.58022462941124,Lebanon
1999,4250020.0,4091.99400690503,,,8.44400024414063,5.01221158504455,Lebanon
2000,4320642.0,3994.86114388889,479.60198975,,8.31799983978271,5.75581691967717,Lebanon
2001,4389200.0,4021.17726323273,459.46578979,,8.1850004196167,8.23754952587383,Lebanon
2002,4446666.0,4307.10082699491,418.09030151,,8.09099960327148,6.97552914588529,Lebanon
2003,4504807.0,4458.1085803754,385.02694702,,7.99399995803833,14.2410590326381,Lebanon
2004,4574797.0,4625.30424673265,370.42245483,,7.84999990463257,8.97351609461343,Lebanon
2005,4643044.0,4630.00921356158,345.35742188,,8.29300022125244,12.2038495909855,Lebanon
2006,4719864.0,4665.96280137358,400.70999146,,8.70100021362305,12.1444381287696,Lebanon
2007,4809608.0,5162.03295874841,445.77624512,,8.97999954223633,13.5978268964465,Lebanon
2008,4887613.0,5957.69675414263,477.75701904,,7.67199993133545,14.8805177179989,Lebanon
2009,4951135.0,7149.79149803501,515.38916016,1.19509671165545,6.34999990463257,13.569658914179,Lebanon
2010,4995800.0,7695.24541461262,577.359375,3.98347941855833,6.83599996566772,11.132793630511,Lebanon
2011,5045056.0,7914.10956809875,627.64221191,4.97148571692381,7.38299989700317,7.85693989456933,Lebanon
2012,5178337.0,8500.1805629531,556.73999023,6.58147447683684,7.82999992370605,7.06847166155664,Lebanon
2013,5678851.0,8255.20921057153,560.36950684,4.82101956297391,8.27999973297119,5.67636791032915,Lebanon
2014,6274342.0,7665.37969184142,577.87902832,1.85460421340917,8.76500034332275,5.95175528627365,Lebanon
2015,6398940.0,7802.75136773923,566.79968262,-3.74914524799635,9.26299953460693,4.32469174485296,Lebanon
2016,6258619.0,8172.29947595953,603.61846924,-0.783359624361543,9.72299957275391,5.02174040564408,Lebanon
2017,6109252.0,8679.8974221128,606.83740234,4.32135218303198,10.2110004425049,4.75677914020796,Lebanon
2018,5950839.0,9225.84515488016,695.05877686,6.07698907889605,10.7279996871948,4.84140308955779,Lebanon
2019,5781907.0,8985.57249887356,663.05108643,3.0053894939038,11.3000001907349,3.66940342730081,Lebanon
2020,5662923.0,5599.95752260733,,84.8643330472041,12.9709997177124,5.11894565707535,Lebanon
2021,5592631.0,4136.14634699332,,154.756096023393,12.4969997406006,2.58149719603492,Lebanon
