Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1097242.0,73.7447453925639,,,,,Lesotho
1973,1135631.0,106.708566599508,,,,,Lesotho
1974,1175369.0,128.339449525093,,13.4228345165924,,,Lesotho
1975,1216180.0,122.975640004536,,14.2119396819426,,0.0,Lesotho
1976,1256478.0,117.514269120706,,11.4125519984136,,0.0,Lesotho
1977,1294435.0,149.337176226919,,16.6883116885553,,0.227616894705532,Lesotho
1978,1331213.0,200.237931590583,,13.4835790118489,,0.0075030198446937,Lesotho
1979,1368917.0,211.95040883759,,16.0035523977478,,0.0689316414244781,Lesotho
1980,1407672.0,306.578078186275,,16.2748416182533,,1.0413116299005,Lesotho
1981,1447501.0,299.956983924733,,12.4132613723979,,1.10226304155095,Lesotho
1982,1488399.0,234.310035561208,,12.1399176954734,,0.929680513663622,Lesotho
1983,1530331.0,252.689979396071,,17.4923547400614,,1.30675456551097,Lesotho
1984,1573267.0,211.762196907531,,10.9838625715774,,0.724809440744521,Lesotho
1985,1616697.0,166.15785923393,,13.3208255159471,,1.8220767224931,Lesotho
1986,1659793.0,192.110033240667,,18.0049668874173,,0.706957664586324,Lesotho
1987,1698939.0,237.07434619622,,11.750263065591,,1.47191497369628,Lesotho
1988,1733733.0,271.315813726167,,11.4563716258632,,4.53804456291936,Lesotho
1989,1767091.0,280.350524162267,,14.7282455646297,,2.77286196371468,Lesotho
1990,1798997.0,331.526458659544,,11.6347569955818,,2.76295928636401,Lesotho
1991,1829509.0,384.982633466969,,17.6781002638522,16.9769992828369,1.13440720092269,Lesotho
1992,1858507.0,447.151364559816,,17.2085201793721,16.9729995727539,1.00715824623141,Lesotho
1993,1885478.0,443.172926057387,,13.1356607683724,17.0590000152588,1.87315394313714,Lesotho
1994,1910642.0,459.662485490574,,8.21473862195302,16.9909992218018,4.92662064238889,Lesotho
1995,1934079.0,518.019096898565,,9.27083333333323,17.056999206543,2.41287950601906,Lesotho
1996,1955098.0,483.926266551406,,9.33031458531933,16.992000579834,3.07293421222378,Lesotho
1997,1972579.0,505.934631082372,,,17.0330009460449,3.27412386393667,Lesotho
1998,1985639.0,467.586608622429,,,17.0799999237061,3.05348687553528,Lesotho
1999,1994243.0,457.703143805935,,,17.0979995727539,2.41432380881388,Lesotho
2000,1998630.0,443.95174088008,23.37423134,6.13197538722695,17.0,3.65179884057735,Lesotho
2001,1999473.0,412.962296184389,27.73780632,-9.61615353858472,16.9990005493164,3.59634799951621,Lesotho
2002,1997534.0,388.369208071865,23.51197433,33.812578338126,17.0639991760254,3.65959926673895,Lesotho
2003,1993030.0,580.941046823816,31.49400139,6.62916357146764,16.9549999237061,3.79555836381035,Lesotho
2004,1985384.0,761.181038791723,40.47373199,5.02342068616284,17.0209999084473,3.68370139232025,Lesotho
2005,1977424.0,850.779061471551,40.76879501,3.4378842305744,16.9659996032715,1.63113703926569,Lesotho
2006,1976780.0,910.625152826053,48.55776596,6.07271879734295,16.9379997253418,1.35115888931462,Lesotho
2007,1983465.0,848.019474620413,65.21094513,8.0124366904341,16.92799949646,4.49555528250992,Lesotho
2008,1995014.0,885.620558438669,68.66407776,10.7156661309681,16.8819999694824,0.623150028427115,Lesotho
2009,2009169.0,866.443047287124,80.84660339,7.30585116551534,17.0480003356934,5.24746967214602,Lesotho
2010,2022747.0,1104.80053785826,97.68080139,3.46152586635755,16.867000579834,0.425678410756019,Lesotho
2011,2037677.0,1265.86386667226,125.72116089,5.03663052101557,16.8719997406006,2.3715904822631,Lesotho
2012,2054718.0,1205.86000258954,117.28894043,6.05143662139978,16.8129997253418,2.28653120725271,Lesotho
2013,2073939.0,1141.36103810369,115.78517914,4.86511899496377,16.9160003662109,2.1304022122672,Lesotho
2014,2095242.0,1165.04593536567,113.33662415,5.37028961008588,16.9039993286133,3.86960269053482,Lesotho
2015,2118521.0,1113.87132770562,104.15737915,3.21844513655931,16.8519992828369,8.75150343624875,Lesotho
2016,2143872.0,986.265986678849,89.53188324,6.59650490696543,16.8250007629395,3.74732777194507,Lesotho
2017,2170617.0,1062.71251234993,110.86827087,4.44769937376299,16.9850006103516,1.82806689866453,Lesotho
2018,2198017.0,1161.72710028722,124.68972778,4.75180301624742,16.9179992675781,1.60071029200564,Lesotho
2019,2225702.0,1102.56486953249,124.19363403,5.18708359197993,16.8799991607666,1.45610727254099,Lesotho
2020,2254100.0,989.847170700549,,4.97809676252292,18.4610004425049,1.2549966320317,Lesotho
2021,2281454.0,1094.09818489303,,6.04774591950681,18.2929992675781,-0.495654043018655,Lesotho
