Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1540995.0,,,,,,Liberia
1973,1582697.0,,,,,,Liberia
1974,1626283.0,,,,,,Liberia
1975,1671632.0,,,,,,Liberia
1976,1718482.0,,,,,,Liberia
1977,1768092.0,,,,,,Liberia
1978,1820861.0,,,,,,Liberia
1979,1875566.0,,,,,,Liberia
1980,1932169.0,,,,,,Liberia
1981,1989690.0,,,,,,Liberia
1982,2047602.0,,,,,,Liberia
1983,2109151.0,,,,,,Liberia
1984,2174194.0,,,,,,Liberia
1985,2239724.0,,,,,,Liberia
1986,2305860.0,,,,,,Liberia
1987,2372449.0,,,,,,Liberia
1988,2439639.0,,,,,,Liberia
1989,2507600.0,,,,,,Liberia
1990,2209731.0,,,,,,Liberia
1991,1939236.0,,,,2.35599994659424,,Liberia
1992,2052626.0,,,,2.32299995422363,,Liberia
1993,2132771.0,,,,2.29399991035461,,Liberia
1994,2125198.0,,,,2.28999996185303,,Liberia
1995,2142422.0,,,,2.21099996566772,,Liberia
1996,2203966.0,,,,2.14000010490417,,Liberia
1997,2383300.0,,,,2.12199997901917,,Liberia
1998,2639224.0,,,,2.1340000629425,,Liberia
1999,2789743.0,,,,2.1340000629425,,Liberia
2000,2895224.0,301.87646966176,13.01916981,,2.12299990653992,2.37986270022883,Liberia
2001,2981648.0,303.858805600124,10.75422287,,2.20000004768372,0.916114790286976,Liberia
2002,3060599.0,302.881886846333,9.05239582,14.1596470116325,2.20600008964539,0.302049611650485,Liberia
2003,3085173.0,242.449937167219,8.48155403,10.3302881236824,2.26200008392334,49.7620320855615,Liberia
2004,3122447.0,287.274691932321,26.17549706,7.82908704883234,2.2260000705719,8.4004160144418,Liberia
2005,3266318.0,290.541214909265,28.4993782,10.8343588481414,2.22699999809265,8.72519614731939,Liberia
2006,3455397.0,323.841225769427,28.30880356,7.3414460827856,2.2279999256134,9.63866591009303,Liberia
2007,3632740.0,377.951628798097,41.98614502,11.3918966807103,2.23300004005432,9.58759370688019,Liberia
2008,3783887.0,456.144699881365,41.89510345,17.489448642993,2.24900007247925,16.4273509506382,Liberia
2009,3905066.0,452.745228889857,44.32735443,7.42764305914916,2.26300001144409,7.22870048206176,Liberia
2010,4019956.0,497.020365397034,45.36038589,7.28992796890228,2.26999998092651,103.337387099033,Liberia
2011,4181150.0,573.526422156584,54.93714142,8.48816751849397,2.21199989318848,86.9894467611897,Liberia
2012,4331740.0,644.455576742833,56.66407394,6.8317870341854,2.16199994087219,82.7471577822006,Liberia
2013,4427313.0,717.635753333907,59.36724091,7.57730681741403,2.10999989509583,62.9068538615833,Liberia
2014,4519398.0,713.734882389203,65.25737,9.86111285574915,2.07999992370605,15.558740639735,Liberia
2015,4612329.0,699.662946853965,73.450737,7.74869687621311,2.57699990272522,7.21023781604438,Liberia
2016,4706097.0,722.131226789418,69.98904419,8.83424868336493,3.07999992370605,9.17190332597172,Liberia
2017,4796631.0,706.892691974846,64.49087524,12.4196323907137,3.04200005531311,7.30948578439654,Liberia
2018,4889391.0,700.037039377706,61.22189713,23.5635148953742,3.02500009536743,3.77268493884788,Liberia
2019,4985289.0,665.878447568436,52.56287003,,3.01699995994568,2.61121194879185,Liberia
2020,5087584.0,597.529691893048,,,3.84200000762939,2.86054278272983,Liberia
2021,5193416.0,675.66318584916,,,3.67199993133545,1.30179538330009,Liberia
