Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2012796.0,,,-0.251023192089041,,,Libya
1973,2084256.0,,,7.97089556318602,,,Libya
1974,2179446.0,,,7.45845156082891,,,Libya
1975,2291841.0,,,9.11920030145644,,,Libya
1976,2413760.0,,,5.47921527968846,,,Libya
1977,2541805.0,,,6.28021302750907,,,Libya
1978,2676117.0,,,29.3797941641698,,,Libya
1979,2816917.0,,,-6.03902875017094,,,Libya
1980,2962720.0,,,9.73428879471392,,,Libya
1981,3112015.0,,,11.1997226074894,,,Libya
1982,3265457.0,,,10.2588088556284,,,Libya
1983,3423592.0,,,10.6052036199096,,,Libya
1984,3564547.0,,,12.4776272053182,,,Libya
1985,3684313.0,,,9.13844055467155,,,Libya
1986,3800110.0,,,3.2909810456156,,,Libya
1987,3911939.0,,,4.35571687840286,,,Libya
1988,4021565.0,,,6.08695652173909,,,Libya
1989,4130042.0,,,1.51183970856093,,,Libya
1990,4236983.0,6821.32455055687,,8.45146240803884,,0.549830480268398,Libya
1991,4341971.0,7368.77617764557,,11.8960953011251,20.1180000305176,0.287244154686964,Libya
1992,4444820.0,7622.66909468877,,9.35975158953137,20.2509994506836,0.292470624543714,Libya
1993,4544970.0,6745.26569446889,,11.0735532720389,20.2150001525879,0.18968851116673,Libya
1994,4641296.0,6163.77880850897,,5.11259890444316,20.113000869751,-0.253860827926876,Libya
1995,4733063.0,5396.9550371494,,7.2379849449913,20.2029991149902,-0.346404718544867,Libya
1996,4820066.0,5785.11069861188,,4.02807775377961,20.0100002288818,-0.400657026152394,Libya
1997,4902346.0,6262.02905897183,,3.55029585798825,19.9930000305176,-0.221233311893589,Libya
1998,4980962.0,5470.78780002773,,3.70927318295734,19.943000793457,-0.469339737029372,Libya
1999,5057998.0,7112.83675891243,,2.6486225229582,19.8859996795654,-0.355978789830335,Libya
2000,5154790.0,7424.20291620221,244.67500305,-2.90000000000024,19.8059997558594,0.368432812978268,Libya
2001,5275916.0,6465.24024494641,253.90991211,-8.81393752145546,19.8099994659424,-0.389914244186046,Libya
2002,5405326.0,3789.20526972462,180.98594666,-9.79764705882358,19.7530002593994,0.707942488082424,Libya
2003,5542641.0,4738.8284754506,189.68850708,-2.19115191986643,19.5739994049072,0.544437834622249,Libya
2004,5687563.0,5823.63794340523,201.76945496,-2.197567740559,19.6060009002686,1.07782345154323,Libya
2005,5837986.0,8107.95856283595,212.05680847,2.65020576131658,19.4890003204346,2.19291997674869,Libya
2006,5973369.0,10060.1437262481,234.78422546,1.45926876202724,19.4909992218018,3.43467907132297,Libya
2007,6097177.0,11158.5087879826,275.47912598,6.25098782993554,19.443000793457,6.89200002328248,Libya
2008,6228370.0,13921.4713535261,321.21362305,10.3607288954998,19.42799949646,4.74154226361032,Libya
2009,6360191.0,9561.06686230924,355.18661499,2.45990025609954,19.4109992980957,2.25455555613862,Libya
2010,6491988.0,11611.2615285745,399.01916504,2.79989500109265,19.3080005645752,2.3666701573751,Libya
2011,6188132.0,7783.83114839688,309.87866211,15.5184815317562,19.4459991455078,0.0,Libya
2012,5869870.0,15764.9154546761,,6.05980392156861,19.0300006866455,1.53990785849367,Libya
2013,5985221.0,12589.4487456571,,2.60581802719518,19.4599990844727,0.931644462626039,Libya
2014,6097764.0,9408.76783223652,,,19.6110000610352,0.0,Libya
2015,6192235.0,7867.57189285698,,,19.5209999084473,0.0,Libya
2016,6282196.0,7944.82707552717,,,19.5160007476807,0.0,Libya
2017,6378261.0,10529.267435369,,,19.2910003662109,0.0,Libya
2018,6477793.0,11838.0096159565,,,19.4459991455078,0.0,Libya
2019,6569088.0,10542.1492864798,,,19.6119995117188,0.0,Libya
2020,6653942.0,7568.04201096325,,,20.3430004119873,0.0,Libya
2021,6735277.0,6357.19555043805,,,20.6060009002686,,Libya
