Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,21873.0,5712.15311162042,,,,,Liechtenstein
1973,22251.0,7457.22042735244,,,,,Liechtenstein
1974,22638.0,8568.94250648772,,,,,Liechtenstein
1975,23030.0,10698.5444714355,,,,,Liechtenstein
1976,23416.0,11637.0805868057,,,,,Liechtenstein
1977,23803.0,12750.3371954704,,,,,Liechtenstein
1978,24205.0,18050.7406211023,,,,,Liechtenstein
1979,24616.0,20441.2036884379,,,,,Liechtenstein
1980,25003.0,21385.5103634505,,,,,Liechtenstein
1981,25346.0,20186.9600947306,,,,,Liechtenstein
1982,25689.0,20323.4976635177,,,,,Liechtenstein
1983,26055.0,20112.6121610672,,,,,Liechtenstein
1984,26420.0,19024.1239745296,,,,,Liechtenstein
1985,26785.0,19752.8092426312,,,,,Liechtenstein
1986,27159.0,28696.3867448148,,,,,Liechtenstein
1987,27542.0,38226.8298467608,,,,,Liechtenstein
1988,27944.0,41574.4943822489,,,,,Liechtenstein
1989,28357.0,39496.4529719809,,,,,Liechtenstein
1990,28765.0,49416.5214518456,,,,,Liechtenstein
1991,29168.0,50882.8861188701,,,,,Liechtenstein
1992,29581.0,55143.4335978836,,,,,Liechtenstein
1993,30012.0,55747.8506521954,,,,,Liechtenstein
1994,30447.0,63983.9139383686,,,,,Liechtenstein
1995,30890.0,78616.4258772689,,,,,Liechtenstein
1996,31337.0,79906.6040918781,,,,,Liechtenstein
1997,31770.0,72345.3066000697,,,,,Liechtenstein
1998,32190.0,77033.9031026593,,,,,Liechtenstein
1999,32615.0,81681.0085868643,,,,,Liechtenstein
2000,33026.0,75212.0481679551,,,,799.313590717551,Liechtenstein
2001,33376.0,74659.1175336337,,,,376.797919448274,Liechtenstein
2002,33693.0,79797.9052780412,,,,255.306797695441,Liechtenstein
2003,34000.0,90314.4505741704,,,,563.568913333618,Liechtenstein
2004,34300.0,100710.282389709,,,,53.4349901059236,Liechtenstein
2005,34603.0,105749.545584467,,,,-7.29519014566271,Liechtenstein
2006,34889.0,114656.17451378,,,,1114.89414939,Liechtenstein
2007,35150.0,130904.681843842,,,,728.886304581801,Liechtenstein
2008,35401.0,143539.248157239,,,,319.100270253238,Liechtenstein
2009,35675.0,126266.270896332,,,,664.548116240499,Liechtenstein
2010,35926.0,141467.641209429,,,,587.835233729843,Liechtenstein
2011,36189.0,158611.110488753,,,,460.191752505652,Liechtenstein
2012,36505.0,149459.235301044,,,,540.376166318964,Liechtenstein
2013,36806.0,173660.161219358,,,,18.0689050892294,Liechtenstein
2014,37096.0,179457.9179259,,,,140.300947686665,Liechtenstein
2015,37355.0,167805.956932057,,,,1282.63255152283,Liechtenstein
2016,37609.0,165844.985381318,,,,972.699461266103,Liechtenstein
2017,37889.0,170874.293821817,,,,602.379420061183,Liechtenstein
2018,38181.0,175283.631807644,,,,-1303.13092078767,Liechtenstein
2019,38482.0,167019.618092859,,,,,Liechtenstein
2020,38756.0,157754.954373893,,,,,Liechtenstein
2021,39039.0,,,,,,Liechtenstein
