Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3213622.0,,,,,,Lithuania
1973,3244438.0,,,,,,Lithuania
1974,3273894.0,,,,,,Lithuania
1975,3301652.0,,,,,,Lithuania
1976,3328664.0,,,,,,Lithuania
1977,3355036.0,,,,,,Lithuania
1978,3379514.0,,,,,,Lithuania
1979,3397842.0,,,,,,Lithuania
1980,3413202.0,,,,,,Lithuania
1981,3432947.0,,,,,,Lithuania
1982,3457179.0,,,,,,Lithuania
1983,3485192.0,,,,,,Lithuania
1984,3514205.0,,,,,,Lithuania
1985,3544543.0,,,,,,Lithuania
1986,3578914.0,,,,,,Lithuania
1987,3616367.0,,,,,,Lithuania
1988,3655049.0,,,,,,Lithuania
1989,3684255.0,,,,,,Lithuania
1990,3697838.0,,,,,,Lithuania
1991,3704134.0,,,,1.10000002384186,,Lithuania
1992,3700114.0,,,1020.62056524354,1.20000004768372,,Lithuania
1993,3682613.0,,,410.451858561316,13.8000001907349,,Lithuania
1994,3657144.0,,,72.2546816164428,13.8000001907349,,Lithuania
1995,3629102.0,2167.79258211454,,39.647629032829,17.5400009155273,0.922285561892422,Lithuania
1996,3601613.0,2327.43485695499,,24.62519538645,16.3999996185303,1.81806910799124,Lithuania
1997,3575137.0,2830.27807089131,,8.88104848465888,14.1300001144409,3.58040005126921,Lithuania
1998,3549331.0,3166.66653264509,,5.06755385841976,13.710000038147,8.17448375380232,Lithuania
1999,3524238.0,3113.17906019859,,0.727550626557433,13.3900003433228,5.14545122055799,Lithuania
2000,3499536.0,3293.22997867086,217.1761322,0.981615478857527,15.9300003051758,3.2996083516447,Lithuania
2001,3470818.0,3525.79363185461,218.81802368,1.36712030817826,16.8400001525879,3.61515055285972,Lithuania
2002,3443067.0,4141.59270180102,254.36688232,0.281506610345511,13.0100002288818,4.63394557429123,Lithuania
2003,3415213.0,5499.42898911387,338.86306763,-1.13430854990244,12.8699998855591,1.15750220940481,Lithuania
2004,3377075.0,6700.32719189382,366.95968628,1.16410252104669,10.6800003051758,3.88704212188136,Lithuania
2005,3322528.0,7854.76527867855,438.93267822,2.65848484065266,8.31999969482422,4.95274255731953,Lithuania
2006,3269909.0,9230.70798102521,536.05737305,3.73912004060656,5.78000020980835,7.48546796463773,Lithuania
2007,3231294.0,12285.4470537014,704.29315186,5.73717382799847,4.25,6.55321194511853,Lithuania
2008,3198231.0,14944.996652175,936.50933838,10.9258856241655,5.82999992370605,3.61376702103575,Lithuania
2009,3162916.0,11820.7761591359,864.73638916,4.4530445651853,13.789999961853,-0.963401425538232,Lithuania
2010,3097282.0,11987.508411647,805.2244873,1.31921362055463,17.8099994659424,2.96992979569042,Lithuania
2011,3028115.0,14376.9478643932,925.47161865,4.13027562645087,15.3900003433228,4.32022249925765,Lithuania
2012,2987773.0,14367.709424872,896.93707275,3.08998277055416,13.3599996566772,1.57750505089112,Lithuania
2013,2957689.0,15729.6524666512,958.92718506,1.04747937065349,11.7700004577637,1.65219575592806,Lithuania
2014,2932367.0,16551.018202078,1021.23297119,0.103758009433715,10.6999998092651,0.736237941196901,Lithuania
2015,2904910.0,14263.9645773495,920.19976807,-0.884097405500613,9.11999988555908,2.50257212107381,Lithuania
2016,2868231.0,15008.3132445526,988.5279541,0.905525075460439,7.8600001335144,2.7354410644298,Lithuania
2017,2828403.0,16885.4073948373,1083.30334473,3.72288862303693,7.07000017166138,2.89733605891245,Lithuania
2018,2801543.0,19186.359591641,1249.03100586,2.69792779208397,6.15000009536743,2.41824675908941,Lithuania
2019,2794137.0,19595.1415724355,1369.97949219,2.33450937988024,6.26000022888184,6.27251979775826,Lithuania
2020,2794885.0,20339.5212699052,,1.19989444983569,8.48999977111816,7.87838127320023,Lithuania
2021,2800839.0,23723.3402510345,,4.68354420903459,7.1100001335144,4.43175612792356,Lithuania
