Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2939682552.0,253.852929624518,,,,0.582517086379005,Low & middle income
1973,3006966199.0,316.031917115797,,,,0.830514396883004,Low & middle income
1974,3073876678.0,392.645932401186,,,,0.740057794196008,Low & middle income
1975,3139253601.0,425.612661035801,,,,0.750240029451744,Low & middle income
1976,3204143618.0,447.667371090206,,,,0.598116470693252,Low & middle income
1977,3268789968.0,493.11077016995,,,,0.503493253236246,Low & middle income
1978,3334583209.0,524.37256715966,,,,0.603769086070677,Low & middle income
1979,3402052538.0,609.722351050579,,,,0.508075417053395,Low & middle income
1980,3470432143.0,703.809428965769,,,,0.460981390221179,Low & middle income
1981,3540821585.0,774.649740978418,,12.8572077921642,,0.600658560048532,Low & middle income
1982,3614873999.0,747.962086508339,,10.8318097738172,,0.507035243053003,Low & middle income
1983,3689839948.0,708.097599869434,,10.6207536480241,,0.478966412923374,Low & middle income
1984,3764793089.0,701.603780940749,,10.2840982131381,,0.45712585954863,Low & middle income
1985,3841346502.0,714.893969258725,,9.09050118887496,,0.538439492714837,Low & middle income
1986,3920171832.0,727.112408234245,,8.72972072702588,,0.442836663220569,Low & middle income
1987,4001193677.0,735.920952685604,,8.15234253800876,,0.500913415223513,Low & middle income
1988,4082837542.0,766.598209310097,,8.98300338208987,,0.744661864426184,Low & middle income
1989,4164071609.0,781.492573086206,,8.84688691232553,,0.770228056750355,Low & middle income
1990,4247060780.0,883.177951386806,,10.6535057862491,,0.65633518314237,Low & middle income
1991,4327347752.0,838.740074843107,,12.4452441633871,4.41924206175062,0.968649536946803,Low & middle income
1992,4405894460.0,850.786755652182,,10.0561167448841,4.47174750963077,1.14542379798077,Low & middle income
1993,4483721894.0,892.389614592682,,10.2630998256518,4.68411758418324,1.53885856881382,Low & middle income
1994,4561141517.0,962.300141633262,,21.729346883819,5.00927758330688,1.84810188189308,Low & middle income
1995,4638198171.0,1067.33991961875,,12.2885912601426,5.32295383413721,1.83322673315887,Low & middle income
1996,4715310660.0,1151.05686957195,,9.09880948101718,5.45817756055389,2.07400010795894,Low & middle income
1997,4792182844.0,1198.97762172942,,7.10647242730889,5.58800119247006,2.52401891621152,Low & middle income
1998,4868438618.0,1142.45023469994,,7.01343651634812,5.82940293994439,2.5755491142771,Low & middle income
1999,4943693250.0,1101.81351982002,,4.69170563048432,6.02576521240848,2.85713111671271,Low & middle income
2000,5018572610.0,1186.28808537919,60.6710815311772,4.18234633956544,5.920681482765,2.38267408877688,Low & middle income
2001,5093407382.0,1179.351697997,60.7325561785729,5.14746800222619,6.06890730981121,2.63060772292376,Low & middle income
2002,5167898454.0,1191.70118208689,59.83807511286,4.29715203929562,6.23426713923575,2.43214029153186,Low & middle income
2003,5241904688.0,1323.52583308867,67.0749857324415,5.14044825095995,6.35159467482719,2.28333519468908,Low & middle income
2004,5315840366.0,1548.97317601803,77.5317064831051,4.67843753606515,6.24001222880297,2.55680942362615,Low & middle income
2005,5389738377.0,1818.7316722197,91.2601359617397,6.42755278070085,6.23467059666524,2.9862231077594,Low & middle income
2006,5463138510.0,2129.09762994646,105.451902224408,6.12556615620285,6.03036087570332,3.28358764535911,Low & middle income
2007,5536137785.0,2594.37686122188,126.580619989329,6.37288135593229,5.89793338862381,3.70808325972505,Low & middle income
2008,5609875336.0,3062.9874357786,151.026209918734,10.4441283764885,5.86875042282087,3.56871470476292,Low & middle income
2009,5684902603.0,2956.58506022813,155.040744707891,4.21903052064627,6.11877780670127,2.53804409877771,Low & middle income
2010,5761260544.0,3550.79278691655,177.948068426127,4.12322856075324,5.91661039490289,3.04861411334439,Low & middle income
2011,5839761629.0,4134.04331727443,206.755151123788,5.95444125837772,5.80599445650847,3.01847774096369,Low & middle income
2012,5920180850.0,4339.26652653684,219.765914241244,5.01018773134464,5.73565575974336,2.63660662272646,Low & middle income
2013,6001328521.0,4532.41989309618,235.970650182823,4.61474758546297,5.72312057928739,2.74013973230927,Low & middle income
2014,6082432550.0,4626.39321149143,241.227234529092,3.56179436381997,5.6977677379044,2.28639671719835,Low & middle income
2015,6162743397.0,4329.30502802987,230.22159514145,3.15783117980921,5.87157361679966,2.28750312800782,Low & middle income
2016,6242647248.0,4313.15265410579,227.378010069195,2.82170784747653,5.97375155717771,2.05738822480378,Low & middle income
2017,6322861019.0,4679.99324511284,248.013245018579,3.60247741348939,5.94194141316747,1.85193830508509,Low & middle income
2018,6401272453.0,4900.57367580845,258.908735463729,3.20720012353492,5.8426945921372,1.94149821044699,Low & middle income
2019,6477841008.0,4952.23113305647,267.445875028219,2.70559729787044,5.71828016758605,1.77772074989743,Low & middle income
2020,6551590116.0,4723.79886732848,,2.95192253170021,6.98429567303934,1.74107371654864,Low & middle income
2021,6619578961.0,5494.39698101105,,4.27166381536796,6.3331538707128,2.10760645724256,Low & middle income
