Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,192230663.0,168.816108761095,,,,0.44353760842513,Low income
1973,197175224.0,199.415645930032,,,,0.472373948895181,Low income
1974,202367954.0,234.285436010305,,,,0.520427724086958,Low income
1975,207697731.0,258.261620038682,,,,0.547865863826837,Low income
1976,213138152.0,261.91895117625,,,,1.0028302066343,Low income
1977,218555907.0,293.148215711314,,,,0.349848070568574,Low income
1978,224469133.0,313.774683992757,,,,0.720365105556078,Low income
1979,230669548.0,338.806442674783,,,,0.597739878778358,Low income
1980,235790724.0,355.569181885145,,,,0.515173618384617,Low income
1981,240378641.0,342.988774164773,,,,0.214638197852592,Low income
1982,246069866.0,339.794581528522,,,,0.260855808887645,Low income
1983,252570320.0,309.464262053603,,,,-0.255619123474553,Low income
1984,259338462.0,287.049822492224,,9.85662095433888,,0.1413657040996,Low income
1985,266287125.0,271.628998467036,,10.5189759937166,,0.26258554195394,Low income
1986,273220820.0,301.015870921347,,3.70227094867154,,-0.0656189144237914,Low income
1987,280385550.0,324.199475417457,,2.0935118792869,,0.233121697588915,Low income
1988,287620118.0,353.78022186419,,7.08071532141095,,0.144491900607571,Low income
1989,295198719.0,374.584089366013,,7.37060310967142,,0.294317268101197,Low income
1990,302800184.0,434.571267215412,,6.07732540412944,,0.366485714565989,Low income
1991,310599721.0,465.410964003445,,8.81964099733881,4.79681092835049,0.106484717458416,Low income
1992,319904104.0,289.730988149541,,9.52347719108986,4.82574694440442,0.208996691076656,Low income
1993,329990501.0,285.299825826376,,8.07157540410887,4.81482284538916,0.532988413812302,Low income
1994,339584291.0,243.277354472813,,33.4716515038938,4.80587205599147,0.674618067277782,Low income
1995,349333486.0,268.569281219419,,17.8114537129631,4.75647074179639,0.774148976112553,Low income
1996,359616245.0,267.226027543424,,7.41137173526642,4.78907998249129,0.808803331437157,Low income
1997,369731523.0,273.112133577325,,8.1690214410696,4.84734722865243,1.58140071506328,Low income
1998,379823251.0,259.815689929008,,5.08433344145323,4.86361488925103,2.33681826145774,Low income
1999,390376128.0,250.971275420405,,3.00439421550734,4.90008502504744,2.10870785624949,Low income
2000,400821583.0,293.024475795487,15.4581973966247,3.82260088086308,4.91263861659915,1.65729184494081,Low income
2001,411561975.0,268.827482165368,14.0133891158867,4.75001450031064,4.87225651174804,2.6977876913392,Low income
2002,423857982.0,281.293447820575,14.9070043368629,3.53304214308075,4.89966619282087,3.04123774270079,Low income
2003,436823058.0,303.153436408329,16.829771247883,6.48943208673345,4.91502013344661,3.9484712432395,Low income
2004,449503454.0,343.175733023456,19.5550076903787,3.9943840081597,4.8310728894975,3.65841675168888,Low income
2005,462591596.0,394.75746411512,22.3811162134466,8.4772885911632,4.78139127293312,2.58795583580791,Low income
2006,476615219.0,448.967969540895,26.44666347066,7.25490301838285,4.81960163403331,2.97891239059288,Low income
2007,490959927.0,534.544371813494,31.5507507390578,7.9522099086403,4.81784431519341,3.61769020290541,Low income
2008,505273533.0,611.252320566929,35.7118607196586,11.3051098827019,4.78944706594113,3.53080474945192,Low income
2009,519948553.0,614.876160568633,36.7421700581451,4.62294778323743,4.82872243311357,2.89931848047074,Low income
2010,534960135.0,667.624576812423,37.7231560599131,3.9765528847817,4.99359252844804,4.54112817215651,Low income
2011,550299855.0,722.258964148018,41.1527767633,6.42939681072336,4.94342081444292,5.26591693353994,Low income
2012,565535976.0,716.651512895602,40.0034305627533,6.44121280934118,4.86523013783439,5.77201074279348,Low income
2013,580126164.0,757.335356447804,42.69827374059,4.90520875694555,4.71847386353848,5.01208412317545,Low income
2014,594773454.0,788.640689485695,43.9361713997837,3.25693664458622,4.7476291661742,3.64632822341797,Low income
2015,610047256.0,765.607398134697,44.7240046197642,4.96090778162723,4.87625381225217,3.66881827943618,Low income
2016,626382245.0,782.236926738561,43.2080781588157,5.87106681385449,4.95851887959844,3.55675106006822,Low income
2017,643485701.0,853.582030647173,44.8767484677623,8.0341897454591,5.06315043915977,3.03956754310166,Low income
2018,661256583.0,749.900160430811,35.9260529844227,4.27462198610544,4.98880980899177,3.16697259568815,Low income
2019,680013468.0,741.352434905854,34.8371018015218,3.10773229242275,5.03262681199072,3.37849602065069,Low income
2020,699186538.0,727.617214412844,,5.93127636562439,5.77725677717236,2.94412582162005,Low income
2021,718255072.0,783.813167020735,,6.59129938832169,5.48583446809187,3.5080966466863,Low income
