Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1311855026.0,150.246894089983,,,,0.575023498876525,Lower middle income
1973,1343159962.0,180.609073142525,,,,0.921224005722108,Lower middle income
1974,1375210143.0,235.269487639461,,17.8099480331818,,0.554763352137205,Lower middle income
1975,1407929201.0,255.860282530137,,12.0457419321678,,0.844191993760944,Lower middle income
1976,1441553459.0,278.206372970088,,7.65664961624511,,0.473419604368449,Lower middle income
1977,1476181007.0,312.864286254909,,11.4723618700578,,0.424529181123798,Lower middle income
1978,1511268827.0,336.986247212842,,8.31509867908766,,0.540542022716568,Lower middle income
1979,1547533078.0,378.31526644615,,10.9257362144613,,0.484729558234589,Lower middle income
1980,1586297948.0,448.157212944033,,14.7009812997865,,0.220877391300609,Lower middle income
1981,1627293257.0,525.746599619584,,12.452894882249,,0.346584760975417,Lower middle income
1982,1668725999.0,527.914945400888,,10.6676143195698,,0.232488661175444,Lower middle income
1983,1710040416.0,509.553165502717,,11.7083625448325,,0.254380613641549,Lower middle income
1984,1751864355.0,491.353518704081,,11.0155216195056,,0.226001371959008,Lower middle income
1985,1794460935.0,511.153716142902,,7.89064008352775,,0.358789701957461,Lower middle income
1986,1837720345.0,531.090114132419,,8.7316399570463,,0.265755028165598,Lower middle income
1987,1881282598.0,507.807550949482,,8.63767318980086,,0.34729458061316,Lower middle income
1988,1925160444.0,505.222838720406,,8.91047020013382,,0.452248862956014,Lower middle income
1989,1969449405.0,493.596740419826,,8.84688691232553,,0.620599152606232,Lower middle income
1990,2016581827.0,519.628274817962,,10.0118383223406,,0.377125628073775,Lower middle income
1991,2061851931.0,479.792070980719,,13.2242657726507,5.24547896701037,0.679557679109999,Lower middle income
1992,2105910215.0,493.391656571104,,10.0989671535176,5.32161724007707,0.709275755150621,Lower middle income
1993,2149315809.0,487.062899926387,,9.67189338180124,5.42057617222055,0.99075377583748,Lower middle income
1994,2192932932.0,514.392266366323,,12.3681943936948,5.62868990166636,1.171110373675,Lower middle income
1995,2236944577.0,572.562378037825,,10.1114316065882,5.8796390958617,1.21340122825194,Lower middle income
1996,2280816181.0,628.00561742622,,9.27539060454458,5.98069164535475,1.36031708686629,Lower middle income
1997,2325018791.0,630.278926625866,,7.10616656859379,6.06735558319946,1.53444722482464,Lower middle income
1998,2369629151.0,564.909406539352,,8.81858613940175,6.3269138742105,1.37897236224305,Lower middle income
1999,2414211939.0,598.748227009882,,4.8653978507754,6.57536741410664,1.12560858692254,Lower middle income
2000,2459549814.0,618.140208308421,24.7148339018749,4.01077836057765,6.59760011499992,0.824350432763989,Lower middle income
2001,2505434958.0,619.689683614837,26.0738144436677,4.41977245881143,6.66112973847375,1.21291710617836,Lower middle income
2002,2550242901.0,651.422316082783,26.887942851565,3.53304214308075,6.72028151180178,1.54174668862001,Lower middle income
2003,2594524373.0,735.095743076681,30.44467421712,4.81838567870861,6.78587192889325,1.35505679339717,Lower middle income
2004,2639297493.0,837.127458310158,34.3784505188917,4.63500759039376,6.7711159952286,1.35469278391137,Lower middle income
2005,2683610483.0,955.440021346485,39.9514377005736,5.37887596361503,6.87053673735833,2.1250405477333,Lower middle income
2006,2727263371.0,1113.74112389395,45.7712007025684,5.80360444012971,6.66875939232617,2.50275173423894,Lower middle income
2007,2770966712.0,1345.71374753573,54.5209911553499,6.55722772638073,6.60597447878643,2.68632146402719,Lower middle income
2008,2814667244.0,1499.2501714078,61.771371439762,10.7614182326827,6.42141762002039,3.10819486603165,Lower middle income
2009,2858820038.0,1502.71632156314,63.4925749884127,4.91923805484948,6.43061022225515,2.40302059355083,Lower middle income
2010,2904506894.0,1809.05590808926,73.5839545607012,4.69889064976229,6.29626462483675,1.9169229953898,Lower middle income
2011,2950807764.0,2047.90086460913,83.5966362162171,6.22011099219645,6.22225032941999,1.97983835192726,Lower middle income
2012,2996702087.0,2115.53858674075,87.2597856166532,5.51367608281648,6.1813531255888,1.79246643389182,Lower middle income
2013,3042938624.0,2118.63843116732,90.0805258950716,5.23906714954092,6.15370196025578,1.75596074160551,Lower middle income
2014,3089095464.0,2176.23675069423,90.0203463426233,4.95329918484382,6.08276495131515,1.90143943031953,Lower middle income
2015,3134736445.0,2088.22078732738,88.1295694899984,3.76836783062094,6.24552445089764,2.14436278723778,Lower middle income
2016,3180221060.0,2169.41972344764,90.0267062005178,3.21988689395718,6.18764327341468,1.70870188921961,Lower middle income
2017,3225575822.0,2297.94945643957,89.2264333561646,3.71794708824886,6.08239459797941,1.8770636408722,Lower middle income
2018,3270214763.0,2323.93174161165,92.5421685000516,3.99999492721352,6.02298401108079,1.80470442900872,Lower middle income
2019,3313903477.0,2386.48858914775,96.5019202902241,3.03058664969491,5.49689543820395,1.86040874631961,Lower middle income
2020,3357118135.0,2268.98274570582,,3.68181341625573,7.39893152747015,1.82669887056927,Lower middle income
2021,3398187527.0,2572.70514396668,,4.70600205495677,6.46892084873989,1.66841082870362,Lower middle income
