Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,346600.0,5486.72062789089,,5.22568050555544,,,Luxembourg
1973,350450.0,7447.21301786664,,6.06809835910202,,,Luxembourg
1974,355050.0,8966.72895879047,,9.54065541660589,,,Luxembourg
1975,358950.0,8701.30473139249,,10.7176711339198,,,Luxembourg
1976,360731.0,9490.6903118849,,9.79734643716296,,,Luxembourg
1977,361358.0,10486.3357891095,,6.70549411450658,,,Luxembourg
1978,362007.0,13034.3882079614,,3.09466077424648,,,Luxembourg
1979,362856.0,15204.3308191994,,4.54652779042167,,,Luxembourg
1980,364150.0,16531.1148988397,,6.29990006244593,,,Luxembourg
1981,365225.0,13837.1299814617,,8.07294375934599,,,Luxembourg
1982,365525.0,12590.9767956204,,9.35705099427385,,,Luxembourg
1983,365622.0,12374.0304234408,,8.66927159808515,,,Luxembourg
1984,365998.0,12126.9391987909,,6.43585780786995,,,Luxembourg
1985,366706.0,12481.9658448559,,4.09358778530096,,,Luxembourg
1986,368355.0,18149.8692500239,,0.294563408545438,,,Luxembourg
1987,370750.0,22443.4314633012,,-0.0566629093891733,,,Luxembourg
1988,373450.0,25219.3542781732,,1.43659056634904,,,Luxembourg
1989,377100.0,26618.0695774968,,3.37095887290448,,,Luxembourg
1990,381850.0,33465.478207919,,3.25376659083636,,,Luxembourg
1991,387000.0,35747.3377992066,,3.11835659874854,1.48000001907349,,Luxembourg
1992,392175.0,39570.8615665986,,3.15417375961793,2.02999997138977,,Luxembourg
1993,397475.0,40066.7242518773,,3.58809818535163,2.32999992370605,,Luxembourg
1994,402925.0,43933.235442736,,2.19476468689066,3.48000001907349,,Luxembourg
1995,408625.0,51032.349635318,,1.86769424969108,2.92000007629395,,Luxembourg
1996,414225.0,50444.3591236175,,1.18385968843569,3.28999996185303,,Luxembourg
1997,419450.0,46641.6408754876,,1.36751261207943,2.52999997138977,,Luxembourg
1998,424700.0,47445.3810812051,,0.958570110494639,2.75999999046326,,Luxembourg
1999,430475.0,50872.4492684624,,1.02519676474934,2.39000010490417,,Luxembourg
2000,436300.0,48659.5988753233,2901.19995117,3.15076707022592,2.34999990463257,,Luxembourg
2001,441525.0,48440.1420151355,3109.20141602,2.66382110579103,1.80999994277954,,Luxembourg
2002,446175.0,53005.7339209179,3600.86743164,2.07408613571644,2.61999988555908,17.9416670929747,Luxembourg
2003,451630.0,65689.3214536911,4607.40283203,2.04984030563515,3.6800000667572,14.4641078757256,Luxembourg
2004,458095.0,76544.9170868473,5610.35351563,2.22567916428892,5.1100001335144,14.7716141818775,Luxembourg
2005,465158.0,80988.1376230858,5818.14599609,2.48769665164086,4.48999977111816,12.3294089671018,Luxembourg
2006,472637.0,90788.8004876145,6070.73583984,2.66631494577072,4.73000001907349,75.0860517189651,Luxembourg
2007,479993.0,107475.320297978,6671.26513672,2.31245861786128,4.07000017166138,-57.5323140832324,Luxembourg
2008,488650.0,120422.137934157,7578.74951172,3.40187963025566,5.05999994277954,12.0948257098378,Luxembourg
2009,497783.0,109419.746953106,7670.59375,0.368041997888919,5.11999988555908,50.0394903072541,Luxembourg
2010,506953.0,110885.991378721,7459.83544922,2.27367911621542,4.3600001335144,69.6063943445409,Luxembourg
2011,518347.0,119025.057203467,7174.73925781,3.4106834106834,4.90000009536743,14.3333707100093,Luxembourg
2012,530946.0,112584.676270958,6029.47509766,2.66284165508017,5.1399998664856,4.7244838527414,Luxembourg
2013,543360.0,120000.140729859,6356.64453125,1.73403963519166,5.84999990463257,35.7329034705254,Luxembourg
2014,556319.0,123678.702143275,6547.03466797,0.628543985440705,5.84999990463257,29.1553936968475,Luxembourg
2015,569604.0,105462.012584423,5421.93212891,0.4747431614378,6.67000007629395,75.6300239935572,Luxembourg
2016,582014.0,106899.293549552,5475.13964844,0.290833333333306,6.28999996185303,28.2575541482699,Luxembourg
2017,596336.0,110193.213797228,5713.11865234,1.73079959118897,5.51999998092651,-41.6509945649476,Luxembourg
2018,607950.0,116786.511654677,6227.08398438,1.52819524307373,5.59000015258789,-36.6826187441932,Luxembourg
2019,620001.0,112621.821337404,6220.74121094,1.74332075653843,5.59000015258789,18.333085617537,Luxembourg
2020,630419.0,117370.496900162,,0.819957302126994,6.76999998092651,138.214999100753,Luxembourg
2021,640064.0,133590.146975586,,2.52692009066169,5.25,-10.5885583964326,Luxembourg
