Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,248669.0,,,,,,"Macao SAR, China"
1973,247838.0,,,,,,"Macao SAR, China"
1974,247280.0,,,,,,"Macao SAR, China"
1975,246919.0,,,,,,"Macao SAR, China"
1976,246661.0,,,,,,"Macao SAR, China"
1977,246405.0,,,,,,"Macao SAR, China"
1978,246048.0,,,,,,"Macao SAR, China"
1979,245605.0,,,,,,"Macao SAR, China"
1980,245332.0,,,,,,"Macao SAR, China"
1981,248695.0,,,,,,"Macao SAR, China"
1982,256692.0,4450.87410053804,,,,0.022757036412203,"Macao SAR, China"
1983,266253.0,4255.382008585,,,,0.719323991959324,"Macao SAR, China"
1984,276591.0,4715.81952025409,,,,,"Macao SAR, China"
1985,287700.0,4734.37369446223,,,,-0.0278985222579165,"Macao SAR, China"
1986,299491.0,5115.66971923761,,,,0.0032635008552578,"Macao SAR, China"
1987,311808.0,6278.62910729922,,,,-0.00459716854792424,"Macao SAR, China"
1988,324478.0,7053.66633579954,,,,0.0152921262837581,"Macao SAR, China"
1989,337336.0,8020.66712932639,,8.77094554159183,,-0.0221757372222478,"Macao SAR, China"
1990,350227.0,9269.63939177287,,7.96969384363221,,0.0147852534562212,"Macao SAR, China"
1991,362390.0,10389.9836941482,,9.5688776593484,3.00999999046326,0.284710651005375,"Macao SAR, China"
1992,372370.0,13197.6020600785,,7.7139216835661,2.20000004768372,-0.396793818116848,"Macao SAR, China"
1993,380712.0,14881.5129566999,,6.70588552770045,2.05999994277954,-0.0635417026649831,"Macao SAR, China"
1994,388779.0,16233.3724345253,,6.25206890210271,2.48000001907349,0.0551401182348375,"Macao SAR, China"
1995,396641.0,17764.4534860124,,8.55866604308447,3.57999992370605,0.0310809753895836,"Macao SAR, China"
1996,404297.0,17751.5364951796,,4.82248676783485,4.25,0.0827656207366985,"Macao SAR, China"
1997,411700.0,17652.5712961455,,3.49093715138859,3.25999999046326,0.0317850675454185,"Macao SAR, China"
1998,418776.0,16232.4585811943,,0.172630384568532,4.6100001335144,-0.263174770456138,"Macao SAR, China"
1999,425518.0,15387.4324349223,,-3.20416248186585,6.34999990463257,0.143868860267562,"Macao SAR, China"
2000,431896.0,15684.7795496765,,-1.60971883961898,6.86999988555908,-0.0116619047619048,"Macao SAR, China"
2001,439122.0,15622.7030493852,,-1.98465008641648,6.3899998664856,2.33234141384802,"Macao SAR, China"
2002,449665.0,16393.8110732216,,-2.63751699816195,6.26999998092651,5.34421963519807,"Macao SAR, China"
2003,462533.0,17829.045100455,,-1.56245203671304,6.0,6.13726875759883,"Macao SAR, China"
2004,475529.0,22381.8422812449,,0.980728452039408,4.90000009536743,7.24871554789515,"Macao SAR, China"
2005,488619.0,24886.4718642608,,4.39589284335675,4.15999984741211,14.5972302678443,"Macao SAR, China"
2006,501863.0,29637.8633696263,,5.14997337750695,3.8199999332428,19.6103119593687,"Macao SAR, China"
2007,515330.0,35782.6558830222,,5.5714968914395,3.26999998092651,28.8207704837574,"Macao SAR, China"
2008,529038.0,39745.8113605577,,8.61101858637001,3.0,18.9404227407498,"Macao SAR, China"
2009,543021.0,39754.8915080593,,1.16906695453763,3.57999992370605,-1.9114005773494,"Macao SAR, China"
2010,557297.0,50676.4947396371,,2.80947242060846,2.83999991416931,12.8506924924196,"Macao SAR, China"
2011,571003.0,64528.4272051868,,5.80624616691041,2.55999994277954,4.76127595004765,"Macao SAR, China"
2012,582766.0,74111.2672626006,,6.10738928336545,1.97000002861023,8.25601985521056,"Macao SAR, China"
2013,593374.0,86852.9878418675,,5.50057779178487,1.82000005245209,7.32408071887494,"Macao SAR, China"
2014,604167.0,90873.9324354186,,6.04823452094079,1.66999995708466,4.4154767350253,"Macao SAR, China"
2015,615239.0,73220.2687642554,,4.56056338028171,1.80999994277954,1.07999881240446,"Macao SAR, China"
2016,626688.0,71918.7310847175,,2.36895749705903,1.94000005722046,4.1250582314364,"Macao SAR, China"
2017,638609.0,78985.6421357971,,1.22812404052807,1.99000000953674,3.37226519242901,"Macao SAR, China"
2018,650991.0,84923.3867797277,,3.00446293166949,1.83000004291534,3.12894944220461,"Macao SAR, China"
2019,663653.0,83183.1666089243,,2.75193081051976,1.75,11.7916534419144,"Macao SAR, China"
2020,676283.0,37646.3161952623,,0.81141051149158,2.5699999332428,-27.0565239776701,"Macao SAR, China"
2021,686607.0,43873.5911643329,,,2.25300002098084,16.1082665365362,"Macao SAR, China"
