Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,7051090.0,190.267133390316,,5.62255965277481,,0.894460595529275,Madagascar
1973,7268560.0,227.42638808119,,6.12010186464779,,0.665431646763022,Madagascar
1974,7491935.0,255.942982693642,,22.100944418778,,0.714979938139587,Madagascar
1975,7720859.0,295.69886372793,,8.19121283215932,,0.200292247847939,Madagascar
1976,7955197.0,274.266519602104,,4.98681511862564,,0.0632971167750339,Madagascar
1977,8195142.0,287.844970398922,,3.10895289128434,,-0.117334625239366,Madagascar
1978,8440919.0,316.287256816875,,6.52844692261797,,-0.137772235124123,Madagascar
1979,8692289.0,398.464188363799,,14.0555922555515,,-0.190017918833004,Madagascar
1980,8948162.0,581.328137432777,,18.2178658946755,,-0.0151869970654787,Madagascar
1981,9207310.0,516.908192492504,,30.5381774327712,,-0.0168090746535815,Madagascar
1982,9470990.0,505.224622657534,,31.7897046510535,,-0.00188088664661863,Madagascar
1983,9740088.0,481.151403673092,,19.328338591095,,0.0791642810257284,Madagascar
1984,10015017.0,390.008172813006,,9.85662095433888,,0.219409497665986,Madagascar
1985,10297746.0,369.261185396484,,10.5564839573619,,-0.00473365573848978,Madagascar
1986,10588428.0,410.63600741299,,14.4973321039129,,0.322907839024785,Madagascar
1987,10890514.0,295.01826642592,,14.9931351322502,,0.108002097617717,Madagascar
1988,11206789.0,284.60042937439,,26.8537971413812,,0.0912381021378146,Madagascar
1989,11536734.0,275.263201235697,,9.01299594555497,,0.403579180632412,Madagascar
1990,11882762.0,330.843525324529,,11.7844838321357,,0.569459514183727,Madagascar
1991,12245260.0,265.793707607818,,8.5926476049019,5.12799978256226,0.42035163814196,Madagascar
1992,12623342.0,294.293461049064,,14.5123786075772,5.10200023651123,0.568843602415391,Madagascar
1993,13020100.0,312.078933286749,,10.008361204014,5.17600011825562,0.377944678159083,Madagascar
1994,13436121.0,262.146113655765,,38.941790898924,5.29400014877319,0.162627169569283,Madagascar
1995,13869138.0,276.73681321884,,49.0802100590784,5.35500001907349,0.252994067697713,Madagascar
1996,14317454.0,344.464961373624,,19.7563545439776,5.43900012969971,0.206045776738524,Madagascar
1997,14778903.0,288.449371484717,,4.48638261737397,5.50899982452393,0.328537067530465,Madagascar
1998,15250934.0,288.635928740885,,6.20801608663323,5.60300016403198,0.377908964684916,Madagascar
1999,15730885.0,271.942982247426,,9.92953399348779,5.69099998474121,1.36481063889053,Madagascar
2000,16216431.0,285.466456273773,13.12315464,11.859684500028,5.80000019073486,1.79192380694397,Madagascar
2001,16709665.0,325.46030923443,15.91025352,7.91694484529585,5.34999990463257,1.71117194334175,Madagascar
2002,17211934.0,310.929703434722,15.86859512,16.4985255315846,5.50400018692017,0.273965167498198,Madagascar
2003,17724310.0,359.534375095342,17.50807953,-1.70400479616301,5.01000022888184,0.202025729089685,Madagascar
2004,18250774.0,277.50783148847,14.94954586,13.9558018033212,3.84599995613098,1.04468983793973,Madagascar
2005,18792171.0,311.79313178585,16.62431908,18.3638246468932,2.61999988555908,1.45800801297206,Madagascar
2006,19350299.0,330.522664907494,17.19594765,10.7656371554866,2.93499994277954,4.60749207391457,Madagascar
2007,19924958.0,427.836321624404,19.71443176,10.2879663187671,3.25300002098084,9.26011547294719,Madagascar
2008,20513599.0,522.83063205187,22.02349281,9.29650839381059,3.56399989128113,10.5779305565841,Madagascar
2009,21117092.0,455.407381445528,20.65012169,8.95421802392944,4.00400018692017,13.4485425615454,Madagascar
2010,21731053.0,459.375407998781,21.9508419,9.24732173644115,4.28000020980835,9.13867133823732,Madagascar
2011,22348158.0,516.902539244045,23.57985878,9.48254048582997,2.43799996376038,7.05979214986723,Madagascar
2012,22966240.0,504.173730134152,19.80637932,5.71384434191049,0.600000023841858,7.03680543929413,Madagascar
2013,23588073.0,526.688011750229,20.23029709,5.82642944451989,0.998000025749207,4.55464537923768,Madagascar
2014,24215976.0,517.136176058996,23.50832939,6.08040811088296,1.39100003242493,2.97751127364565,Madagascar
2015,24850912.0,455.638039705577,23.23208427,7.40419174202125,1.78999996185303,2.89727724196532,Madagascar
2016,25501941.0,464.616153538796,25.02086639,6.03575858154682,1.79999995231628,4.56460807919577,Madagascar
2017,26169542.0,503.498058680237,24.96243286,8.60905075422951,1.81500005722046,3.52797151000057,Madagascar
2018,26846541.0,512.543984587107,22.33701324,8.59422958870474,1.83299994468689,4.44792804733049,Madagascar
2019,27533134.0,512.279659659088,19.84997559,5.61051441492366,1.84099996089935,3.36279834896076,Madagascar
2020,28225177.0,462.404223694817,,4.20179312190553,2.36299991607666,2.74657135395744,Madagascar
2021,28915653.0,500.511031950657,,5.81225118787723,2.30999994277954,2.47043781478792,Madagascar
