Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4865978.0,83.4493855606205,,,,2.48729953917051,Malawi
1973,4996239.0,88.9232288314405,,,,1.73313461538462,Malawi
1974,5134199.0,106.85620436487,,,,4.13764678567281,Malawi
1975,5280965.0,116.119052659678,,,,3.60555369333963,Malawi
1976,5438226.0,123.260348902943,,,,1.44707514848039,Malawi
1977,5611712.0,143.680010774725,,,,0.686791825957071,Malawi
1978,5808810.0,163.378388487595,,,,0.961607166175538,Malawi
1979,6029140.0,175.525707809264,,,,-0.115676927131013,Malawi
1980,6267369.0,197.476079859045,,,,0.766097014883592,Malawi
1981,6519891.0,189.832267433126,,11.8146975500212,,0.0902446552642688,Malawi
1982,6784347.0,173.945144022169,,9.82116244432082,,0.508429672447014,Malawi
1983,7058317.0,173.297237898673,,13.5025105170179,,0.2087747979817,Malawi
1984,7339002.0,164.601261237593,,20.0263032042324,,2.25908914828096,Malawi
1985,7625078.0,148.371963967652,,10.5189759937166,,0.046274962482426,Malawi
1986,7909819.0,149.643731138477,,14.0468679587644,,-0.247538381224749,Malawi
1987,8295993.0,142.610309310467,,25.1550954282911,,0.00765359732334886,Malawi
1988,8754781.0,157.619506097655,,33.9121649354339,,1.26383748302399,Malawi
1989,9174895.0,173.322482985698,,12.4463620502664,,0.584197513974922,Malawi
1990,9539665.0,197.152788520848,,11.8235380454151,,1.23885327390738,Malawi
1991,9831584.0,224.129281372048,,12.6153153828849,4.79099988937378,-1.30244622834332,Malawi
1992,10115420.0,177.898404768573,,23.7513530230399,4.94500017166138,-0.394550292005495,Malawi
1993,10257233.0,201.870907640145,,22.7727102336625,4.7979998588562,0.386354549293995,Malawi
1994,10131799.0,116.642917613642,,34.6496361508323,4.98899984359741,2.11478786514993,Malawi
1995,10112816.0,138.186824748613,,83.3257747543458,4.7519998550415,0.403807903537826,Malawi
1996,10310528.0,221.233493703225,,37.6020450235017,4.84299993515015,0.692565749428198,Malawi
1997,10512678.0,253.335537709579,,9.13735243003495,4.88299989700317,0.5582952585992,Malawi
1998,10732456.0,163.111245486358,,29.7486512828263,4.89099979400635,0.691439460666972,Malawi
1999,10973956.0,161.830584896216,,44.8041642861674,4.90399980545044,3.29565237512196,Malawi
2000,11229387.0,155.262841268764,7.47427797,29.5814884631684,4.9229998588562,1.49124743120067,Malawi
2001,11498818.0,149.276461484598,6.19080305,22.7,4.98999977111816,1.12437861381879,Malawi
2002,11784498.0,296.639568153879,11.26799107,14.7446346101603,4.93400001525879,0.168776430330684,Malawi
2003,12087965.0,265.457178048637,12.50175095,9.57679786919214,4.90299987792969,2.05325569469793,Malawi
2004,12411342.0,280.074024136565,16.20174026,11.4298060822124,4.91200017929077,3.10150872042768,Malawi
2005,12755648.0,286.61104979867,17.5325985,15.4103446604296,4.93900012969971,3.8211119931341,Malawi
2006,13118307.0,304.766474566698,21.31405258,13.9742943548388,4.93200016021729,0.889485355495109,Malawi
2007,13495463.0,328.47609939718,25.46150398,7.9522099086403,4.89400005340576,2.80600982529311,Malawi
2008,13889423.0,383.098145425925,33.32744598,8.7126018660904,4.91900014877319,3.67272015413239,Malawi
2009,14298932.0,432.978327695824,36.23827744,8.42204427696655,4.92000007629395,0.793560945319059,Malawi
2010,14718422.0,472.853378636037,34.66256714,7.41159092883827,4.94099998474121,1.39389884606401,Malawi
2011,15146094.0,528.453127077329,40.08781815,7.62282262848515,4.96799993515015,10.1543190277375,Malawi
2012,15581251.0,386.906540998121,33.20030212,21.271265001378,5.00400018692017,-0.147399751379149,Malawi
2013,16024775.0,344.396771160878,40.3452301,27.2833333333333,4.98000001907349,8.17851346174334,Malawi
2014,16477966.0,367.024269701615,36.05779648,23.7920649469687,4.96799993515015,9.8893020481001,Malawi
2015,16938942.0,376.246204801105,35.68380356,21.8673475542553,4.98699998855591,4.51493941065915,Malawi
2016,17405624.0,312.142797057288,34.72793579,21.7111132136499,4.98199987411499,2.12956276035325,Malawi
2017,17881167.0,500.165547203323,38.38741684,11.543393918877,4.96000003814697,1.00854877278746,Malawi
2018,18367883.0,537.932204050438,37.43349457,12.420178108921,4.94899988174438,0.779423469311901,Malawi
2019,18867337.0,584.362867276266,30.40028763,9.37083605605672,4.93200016021729,0.500915850281206,Malawi
2020,19377061.0,628.699481965162,,8.62551469650552,5.68100023269653,0.371348227052121,Malawi
2021,19889742.0,634.835660105302,,,5.65799999237061,0.367577808683406,Malawi
