Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,10801619.0,466.89931840128,,3.23155422354877,,2.2604388185654,Malaysia
1973,11062664.0,692.690003661689,,10.5601757413101,,2.24455268920579,Malaysia
1974,11335187.0,837.751870708369,,17.3289809824411,,6.011107829804,Malaysia
1975,11617947.0,800.382442738551,,4.48772226915908,,3.76920863765598,Malaysia
1976,11910081.0,927.796033036364,,2.63371150730572,,3.45027428096499,Malaysia
1977,12218924.0,1075.33182784094,,4.78822401445964,,3.08907472212648,Malaysia
1978,12543892.0,1304.09098796659,,4.8600645855425,,3.05648304782713,Malaysia
1979,12875011.0,1647.66244387656,,3.65446799796413,,2.70329162923098,Malaysia
1980,13215707.0,1852.94917949154,,6.6749195345051,,3.8137157010624,Malaysia
1981,13564594.0,1843.3693698371,,9.70000000000016,,5.05783136418103,Malaysia
1982,13921029.0,1925.4612439594,,5.81890002977831,,5.2125619330416,Malaysia
1983,14292862.0,2123.21286230242,,3.70423546319373,,4.15374343796079,Malaysia
1984,14686454.0,2311.21179542041,,3.89727260149767,,2.34942397510519,Malaysia
1985,15108135.0,2065.12326607149,,0.346458791259879,,2.22663102316669,Malaysia
1986,15558740.0,1782.5712519412,,0.737002855391949,,1.76268909440089,Malaysia
1987,16033103.0,2007.20319124897,,0.290007909438398,,1.31341653484342,Malaysia
1988,16524616.0,2134.50528898804,,2.55651945320742,,2.03963623503393,Malaysia
1989,17020143.0,2282.50536035,,2.81320089714805,,4.29326400021981,Malaysia
1990,17517054.0,2513.21816687938,,2.61780104712051,,5.29812338776315,Malaysia
1991,18017464.0,2727.52858528083,,4.35833333333302,3.66000008583069,8.13632963600558,Malaysia
1992,18526708.0,3193.6353810378,,4.7672282999282,3.71000003814697,8.76047440214555,Malaysia
1993,19050077.0,3511.52580802788,,3.53658536585388,4.1100001335144,7.48285365820749,Malaysia
1994,19588703.0,3802.10762079454,,3.72497055359286,3.65499997138977,5.82961425798395,Malaysia
1995,20136888.0,4405.11676395634,,3.45057509584896,3.15000009536743,4.71024540158831,Malaysia
1996,20689051.0,4874.81972520082,,3.48855945858916,2.51999998092651,5.03534293107292,Malaysia
1997,21249178.0,4706.31491259882,,2.66251459711942,2.45000004768372,5.13624115805328,Malaysia
1998,21810542.0,3308.83565299935,,5.27034200348766,3.20000004768372,2.99775085201457,Malaysia
1999,22368655.0,3538.36299288587,,2.74456130240608,3.4300000667572,4.92146666489341,Malaysia
2000,22945150.0,4087.56259349384,110.74659729,1.53474023697698,3.0,4.03842862393764,Malaysia
2001,23542517.0,3941.12266621369,114.03215027,1.41678473206102,3.52999997138977,0.59702931825208,Malaysia
2002,24142445.0,4177.10494176499,121.08184052,1.80787246281537,3.48000001907349,3.16612432250471,Malaysia
2003,24739411.0,4454.52676383656,142.10137939,1.08967632577284,3.60999989509583,2.92094209456765,Malaysia
2004,25333247.0,4924.33811126582,154.2668457,1.421271159374,3.53999996185303,3.50787262049413,Malaysia
2005,25923536.0,5536.82578686399,163.09500122,2.97507092684453,3.52999997138977,2.73439312562665,Malaysia
2006,26509413.0,6137.11205938344,202.2008667,3.6092356422439,3.3199999332428,4.72719448835046,Malaysia
2007,27092604.0,7143.93581596291,232.95890808,2.02735317779565,3.23000001907349,4.68688804885339,Malaysia
2008,27664296.0,8343.38591937024,266.91223145,5.44078221100772,3.3199999332428,3.28078703547736,Malaysia
2009,28217204.0,7167.88329542017,249.09536743,0.583308405623704,3.66000008583069,0.0566922678201597,Malaysia
2010,28717731.0,8880.109965264,290.17660522,1.62285235577031,3.39000010490417,4.26866386639112,Malaysia
2011,29184133.0,10209.3819536909,349.58544922,3.17447092151309,3.04999995231628,5.07445534647755,Malaysia
2012,29660212.0,10601.5138881391,379.36547852,1.66357102479204,3.09999990463257,2.82905646583735,Malaysia
2013,30134807.0,10727.6996632824,390.82794189,2.10501231233614,3.16000008583069,3.49430177873202,Malaysia
2014,30606459.0,11045.4451263498,425.95010376,3.14299050879107,2.88000011444092,3.14126779490033,Malaysia
2015,31068833.0,9699.58402084731,380.11032104,2.10438980238344,3.09999990463257,3.27094957416947,Malaysia
2016,31526418.0,9555.65120152294,361.85446167,2.09056659525745,3.44000005722046,4.47131819195387,Malaysia
2017,31975806.0,9979.80084103497,380.01522827,3.8712011577424,3.41000008583069,2.93579203134666,Malaysia
2018,32399271.0,11074.0640947671,426.46859741,0.884709160571244,3.29999995231628,2.31456942039031,Malaysia
2019,32804020.0,11132.0239344924,436.61203003,0.662891865764376,3.25999999046326,2.5069948054637,Malaysia
2020,33199993.0,10160.7832470071,,-1.13870215393056,4.53999996185303,1.20317618788244,Malaysia
2021,33573874.0,11109.2618387745,,2.47710241465444,4.0460000038147,4.98568344154213,Malaysia
