Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,130990.0,,,,,,Maldives
1973,134940.0,,,,,,Maldives
1974,138944.0,,,,,,Maldives
1975,143126.0,,,,,,Maldives
1976,147468.0,,,,,,Maldives
1977,151792.0,,,,,,Maldives
1978,156025.0,,,,,,Maldives
1979,160326.0,,,,,,Maldives
1980,164887.0,257.531376997219,,,,-0.306144728633812,Maldives
1981,169663.0,263.943564322465,,,,-0.0669920141969831,Maldives
1982,174523.0,274.526107073391,,,,-6.01113042846378,Maldives
1983,179339.0,322.460743251845,,,,0.415011037527594,Maldives
1984,184388.0,593.875664898425,,,,-0.127849740932642,Maldives
1985,190383.0,668.07833661613,,,,0.951326982720425,Maldives
1986,197225.0,719.392846901648,,9.72219327678543,,3.80597279716144,Maldives
1987,204256.0,691.402110014218,,9.70407232943327,,3.61130902111324,Maldives
1988,211160.0,798.041832615416,,6.45636026801944,,0.712104836530667,Maldives
1989,217937.0,869.583568847876,,7.16585889470777,,2.32172289015992,Maldives
1990,224957.0,955.933666652944,,3.64991197717471,,2.60411859208412,Maldives
1991,232150.0,1052.7536589418,,14.7136770282736,0.890999972820282,2.65960970548328,Maldives
1992,239136.0,1191.2673941926,,16.8559977535548,0.865000009536743,2.31680627055033,Maldives
1993,245845.0,1311.46794590889,,20.1273593149249,0.83899998664856,2.14008010869873,Maldives
1994,252201.0,1411.62563078077,,3.38610098291491,0.814999997615814,2.45576888581212,Maldives
1995,258208.0,1545.22305649036,,5.48886133171505,0.790000021457672,1.81225837757684,Maldives
1996,263841.0,1707.02175913683,,6.24124591476024,1.02900004386902,2.06829872568168,Maldives
1997,269040.0,1889.02617595499,,7.57283467072598,1.26699995994568,2.24485508850185,Maldives
1998,273796.0,1972.62340436336,,-1.40425233816797,1.50300002098083,2.13257608728799,Maldives
1999,278111.0,2118.72149469412,,2.95370836069138,1.73800003528595,2.09121158653824,Maldives
2000,282507.0,2209.98823138762,221.92073059,-1.1747568117595,1.97000002861023,3.57378188906309,Maldives
2001,287324.0,3028.04662551248,230.17086792,0.672577370062483,3.03399991989136,2.36095792012363,Maldives
2002,292284.0,3069.03987217911,247.301651,4.1786723990478,4.16900014877319,2.75560074067064,Maldives
2003,297226.0,3539.80154726538,235.61952209,-1.26065113450349,5.30900001525879,3.02003609060425,Maldives
2004,302135.0,4060.53440515002,294.9519043,-1.68541212459462,6.37200021743774,4.31467445406402,Maldives
2005,307018.0,3789.23202385528,321.31842041,1.30027500930999,7.33199977874756,4.55499673617996,Maldives
2006,314401.0,5010.16342385998,387.12332153,2.73842131602098,8.78299999237061,4.05198051459747,Maldives
2007,325126.0,5746.64425772624,462.99023438,6.79477353930163,9.70199966430664,7.08805679103643,Maldives
2008,336883.0,6743.1309608974,758.71099854,12.0414583505108,10.8159999847412,7.97903444514319,Maldives
2009,349037.0,6719.33025725066,669.8102417,4.53017659132794,11.6999998092651,6.73534012537353,Maldives
2010,361575.0,7158.06141101431,600.64434814,6.14988536750176,11.0080003738403,8.36376433060736,Maldives
2011,374440.0,7409.33596846724,577.66296387,11.2734146055937,10.1490001678467,15.2659323902291,Maldives
2012,387539.0,7447.43257245424,630.14251709,10.8846956585631,9.21599960327148,7.89893947899641,Maldives
2013,400728.0,8222.56338901712,645.06054688,3.80563000919428,8.39299964904785,10.9503820899918,Maldives
2014,416738.0,8872.12492462299,672.11962891,2.12000175718133,7.52099990844727,9.01659496812477,Maldives
2015,435582.0,9434.3310782449,785.03161621,0.953206658777659,6.61800003051758,7.25103896322752,Maldives
2016,454252.0,9640.32400920804,946.81115723,0.502509413611577,5.76999998092651,10.4276051062767,Maldives
2017,472442.0,10062.9831158963,885.08428955,2.81747338234507,5.37099981307983,9.62960408193097,Maldives
2018,489758.0,10823.636693042,786.43768311,-0.133373386117525,4.97100019454956,10.8594997763163,Maldives
2019,504508.0,11118.5565375032,854.37060547,0.220029731065343,4.55999994277954,17.1326245603826,Maldives
2020,514438.0,7282.35848902548,,-1.3697742556981,5.34000015258789,11.763850435696,Maldives
2021,521457.0,10366.2933584066,,0.543149688736981,5.25699996948242,8.20399453681108,Maldives
