Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6347158.0,76.6669554093757,,,,0.698701021150725,Mali
1973,6455257.0,87.3216516662457,,,,0.106442672836853,Mali
1974,6569273.0,82.010192112074,,,,-0.0278423648062083,Mali
1975,6687293.0,124.222254633876,,,,0.314550191456871,Mali
1976,6807648.0,137.96659524671,,,,0.274028759011702,Mali
1977,6935336.0,151.375297456576,,,,0.290783324872359,Mali
1978,7072938.0,172.870534363416,,,,-0.0724874051556941,Mali
1979,7218079.0,221.031517343671,,,,0.191798669622281,Mali
1980,7372581.0,238.680481495689,,,,0.134485688913598,Mali
1981,7532864.0,204.301103393491,,,,0.239127349883842,Mali
1982,7696349.0,173.297004361579,,,,0.114082327451826,Mali
1983,7863944.0,165.027284759257,,,,0.242652537578828,Mali
1984,8030099.0,153.53884238176,,,,0.816723677122481,Mali
1985,8187651.0,170.036076145727,,,,0.207846319562,Mali
1986,8334588.0,222.226156294226,,,,-0.452125281065435,Mali
1987,8474329.0,246.701536391095,,,,-0.286482445784076,Mali
1988,8617474.0,251.702599219829,,,,0.325054816323236,Mali
1989,8774122.0,248.665553766173,,-0.076692997928856,,0.291658580683947,Mali
1990,8945026.0,299.821615850828,,0.606339703737518,,0.213642953437077,Mali
1991,9123969.0,298.568688704254,,1.80042722001858,1.21200001239777,0.0442422426251004,Mali
1992,9310572.0,304.027870768566,,-6.24250599520428,1.2960000038147,-0.772766548869219,Mali
1993,9506510.0,296.458014572103,,-0.263767884261766,1.26300001144409,0.144104543940017,Mali
1994,9711797.0,214.36264566048,,23.1767911524285,1.26300001144409,0.836613058466088,Mali
1995,9921094.0,272.795032274573,,13.4417696811973,1.28199994564056,4.11723121568394,Mali
1996,10131906.0,274.422408550854,,6.80545996788236,1.25100004673004,0.978604388380132,Mali
1997,10359301.0,260.355966279296,,-0.362999795946726,1.26600003242493,2.75705132866694,Mali
1998,10620475.0,274.974397345528,,4.03658945954988,1.25399994850159,0.327244502835908,Mali
1999,10916993.0,315.171467803299,,-1.20190368637501,1.26900005340576,0.900941162644098,Mali
2000,11239101.0,263.498384233191,14.7887373,-0.677661659046742,1.30599999427795,2.03720849683796,Mali
2001,11583824.0,299.412172454578,13.90679646,5.18701191944063,1.22500002384186,6.02589710485149,Mali
2002,11952660.0,326.966671780799,16.81324387,5.03282275711195,1.29799997806549,-0.316548662400296,Mali
2003,12342165.0,381.948563404087,19.8693943,-1.34672619047622,1.26900005340576,1.53833022461613,Mali
2004,12751995.0,427.717345929416,23.00780487,-3.09978128063954,1.317999958992,1.55828812392614,Mali
2005,13180551.0,473.995013541555,25.40553093,6.3978829389788,1.2940000295639,2.56553111549719,Mali
2006,13623541.0,506.911862957181,28.53666687,1.54352596927583,1.31099998950958,2.14782420345944,Mali
2007,14080912.0,579.257162665824,31.38578033,1.41200201714577,1.32400000095367,2.52973828856479,Mali
2008,14551117.0,676.127063299178,35.15919876,9.17098813667678,1.32299995422363,2.71905062830096,Mali
2009,15032635.0,680.64999187518,36.67557144,2.46375188572298,1.3289999961853,6.34493813268486,Mali
2010,15529181.0,688.327812995259,33.23125458,1.10892690670188,1.33299994468689,3.47952612141128,Mali
2011,16039734.0,810.182600735989,33.62852859,2.95564395229391,1.35199999809265,4.28527152548215,Mali
2012,16514687.0,753.392193575841,29.215271,5.32312847064058,1.38499999046326,3.19756727737826,Mali
2013,17004033.0,778.797090642802,31.93977737,-0.606736356351494,1.37199997901917,2.32536499405128,Mali
2014,17551814.0,818.430391118894,38.01742554,0.883814547137822,1.34899997711182,1.0039363293351,Mali
2015,18112907.0,723.504202500133,30.89645576,1.45069057605958,1.36099994182587,2.10248371522147,Mali
2016,18700106.0,750.051828087565,29.46280289,-1.79964707083376,1.37000000476837,2.54153254250537,Mali
2017,19311355.0,795.682733038008,30.49655342,1.75985742927153,1.49399995803833,3.64934260385724,Mali
2018,19934298.0,856.356531797333,33.39861298,0.299546507387888,1.62000000476837,2.73738533763003,Mali
2019,20567424.0,840.175765032737,34.28177643,-1.65826694846368,1.61899995803833,4.97152234389747,Mali
2020,21224040.0,822.906143972366,,0.438088940320712,3.52999997138977,3.07380323753307,Mali
2021,21904983.0,873.794862375503,,3.92560283104272,2.6029999256134,3.34341030293795,Mali
