Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,302450.0,975.758800875955,,3.37276106781155,,1.5096318389106,Malta
1973,302200.0,1143.62020309528,,7.68928991786146,,1.49070029048805,Malta
1974,301996.0,1245.36122490143,,7.25561627204012,,2.82802731318654,Malta
1975,304222.0,1560.11215357522,,8.79166666616689,,3.3401590425729,Malta
1976,305774.0,1726.55944845303,,0.551512830258585,,2.67326152979947,Malta
1977,306970.0,2037.89733697812,,10.0403748002364,,2.9524724876566,Malta
1978,310182.0,2558.74025532938,,4.70751124951487,,2.7135783841623,Malta
1979,313342.0,3195.55258574769,,7.14710743797892,,1.61588555688865,Malta
1980,316645.0,3948.40312614976,,15.747254103486,,2.13028566588942,Malta
1981,318982.0,3898.24303743905,,11.5097558377123,,3.14026827607574,Malta
1982,325898.0,3788.05063240646,,5.81823397218666,,1.69026025916752,Malta
1983,330524.0,3527.04000013994,,-0.880997560317531,,2.10260366332377,Malta
1984,330593.0,3332.88535682256,,-0.442500000750064,,2.38198065798047,Malta
1985,336452.0,3322.4212829917,,-0.235207459677465,,1.69705470927848,Malta
1986,342121.0,4194.65393924832,,2.02788871414762,,1.52488930781277,Malta
1987,344485.0,5083.6691392063,,0.431725669422439,,1.10736204137092,Malta
1988,347325.0,5814.36477130523,,0.938344387128511,,2.02048467080484,Malta
1989,350722.0,6040.60986225945,,0.847691359226234,,2.438008821581,Malta
1990,354170.0,7191.92360259617,,2.98340586063559,,1.17855895163474,Malta
1991,363845.0,7558.27738257485,,2.54219284786974,6.28000020980835,3.27404758701447,Malta
1992,367618.0,8220.2455176794,,1.63321209889046,6.28399991989136,2.80267546280116,Malta
1993,371308.0,7296.31014355389,,4.14481954180491,6.28800010681152,2.08334545000045,Malta
1994,374797.0,8000.51800452232,,4.12992181638256,6.29199981689453,5.05884597824686,Malta
1995,377419.0,9171.061035149,,4.42664550286656,6.2960000038147,11.330564926186,Malta
1996,379905.0,9438.55732745403,,2.05400000000007,6.30000019073486,8.72887680250906,Malta
1997,382791.0,9724.33796960323,,3.11207791953274,6.30499982833862,3.68026971625359,Malta
1998,385287.0,10273.4518124025,,2.38525135417659,6.30999994277954,8.16741260932327,Malta
1999,387578.0,10720.9058766396,,2.13476888806385,6.31500005722046,16.0530146222964,Malta
2000,390087.0,11083.0127951665,647.10150146,2.36959287531812,6.32000017166138,17.1900766563975,Malta
2001,393028.0,11081.0080389931,685.98400879,2.92949244324101,7.1100001335144,9.57233409307698,Malta
2002,395969.0,11853.1897534799,830.64630127,2.1884904806055,6.90000009536743,-10.6060927806249,Malta
2003,398582.0,13772.220724357,1074.09313965,1.303837774426,7.48999977111816,16.6043894144672,Malta
2004,401268.0,15243.159006577,1223.85742188,2.79082848067755,7.32000017166138,122.111141173493,Malta
2005,403834.0,15866.1421544241,1379.68640137,3.00796652450315,6.92000007629395,340.259742274913,Malta
2006,405308.0,16723.8776809978,1474.48449707,2.77378006481472,6.80000019073486,369.345021295214,Malta
2007,406724.0,19485.9506144632,1596.12316895,1.24921923797625,6.46999979019165,449.080935309597,Malta
2008,409379.0,22205.2827489016,1751.16503906,4.25862171897076,5.98000001907349,163.225034647513,Malta
2009,412477.0,21083.1259174108,1677.36230469,2.08432746082342,6.8899998664856,16.6147705750385,Malta
2010,414508.0,21799.1627419997,1733.66882324,1.51563513618533,6.84999990463257,102.313772144972,Malta
2011,416268.0,23155.5628148844,1960.06115723,2.96298528192878,6.38000011444092,80.9936317954968,Malta
2012,420028.0,22527.7591149889,1898.60144043,2.37582057760382,6.19999980926514,35.1246891949137,Malta
2013,425967.0,24770.934082103,2121.08227539,1.18028436366548,6.1100001335144,4.83393755420204,Malta
2014,434558.0,26754.2623307031,2456.43481445,0.310306472181729,5.73000001907349,1.34074480538624,Malta
2015,445053.0,24921.5790015791,2243.46704102,1.1005482637893,5.38000011444092,32.8245075747837,Malta
2016,455356.0,25624.4636404081,2321.15332031,0.642702771527276,4.69000005722046,23.7913425806577,Malta
2017,467999.0,28823.5251162141,2551.71606445,1.3643544815071,4.0,28.8393103944441,Malta
2018,484630.0,31567.9422383122,2753.51098633,1.15782362451512,3.66000008583069,29.184337511655,Malta
2019,504062.0,31198.2414453028,2531.91088867,1.64206001768947,3.61999988555908,26.5339090287188,Malta
2020,515332.0,28977.5655673636,,0.638544956776653,4.34999990463257,28.5873599576813,Malta
2021,518536.0,33486.671983855,,1.49789217934737,3.52999997138977,25.1529476016829,Malta
