Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,25084.0,,,,,,Marshall Islands
1973,25522.0,,,,,,Marshall Islands
1974,26174.0,,,,,,Marshall Islands
1975,27047.0,,,,,,Marshall Islands
1976,27964.0,,,,,,Marshall Islands
1977,28912.0,,,,,,Marshall Islands
1978,29892.0,,,,,,Marshall Islands
1979,30902.0,,,,,,Marshall Islands
1980,31988.0,,,,,,Marshall Islands
1981,33219.0,933.802944098257,,,,,Marshall Islands
1982,34569.0,1010.09575052793,,,,,Marshall Islands
1983,35975.0,1160.50034746352,,,,,Marshall Islands
1984,37437.0,1205.86585463579,,,,,Marshall Islands
1985,38962.0,1126.19988706945,,,,,Marshall Islands
1986,40527.0,1381.52342882523,,,,,Marshall Islands
1987,42122.0,1495.25188737477,,,,,Marshall Islands
1988,43687.0,1618.05571451462,,,,,Marshall Islands
1989,44988.0,1618.16484395839,,,,,Marshall Islands
1990,46047.0,1704.25869220579,,,,,Marshall Islands
1991,47053.0,1753.49074447963,,,,,Marshall Islands
1992,48015.0,1896.55316047069,,,,,Marshall Islands
1993,48944.0,2032.13877084014,,,,,Marshall Islands
1994,49840.0,2168.35874799358,,,,,Marshall Islands
1995,50702.0,2371.30685180072,,,,,Marshall Islands
1996,51538.0,2150.9953820482,,,,,Marshall Islands
1997,52358.0,2114.39703579205,,,,,Marshall Islands
1998,53164.0,2111.94417274848,,,,,Marshall Islands
1999,53834.0,2123.6820596649,,,,,Marshall Islands
2000,54224.0,2127.24070522278,431.5645752,,,0.640672749734498,Marshall Islands
2001,54413.0,2257.25470016356,387.95535278,,,0.60167393994659,Marshall Islands
2002,54496.0,2417.39210217264,362.42953491,,,0.63686918448863,Marshall Islands
2003,54493.0,2411.29135852311,351.17675781,,,-0.87672226090861,Marshall Islands
2004,54435.0,2442.07954441076,421.32974243,,,0.869600465191154,Marshall Islands
2005,54337.0,2533.56460606953,544.32977295,,,2.38229861741701,Marshall Islands
2006,54208.0,2633.28659976387,560.80322266,,,1.31476345585599,Marshall Islands
2007,54038.0,2773.41870535549,477.05157471,,,4.66224860731854,Marshall Islands
2008,53816.0,2712.37364352609,462.47613525,,,3.90133714311966,Marshall Islands
2009,53593.0,2810.53309200828,438.07611084,,,9.72577240313813,Marshall Islands
2010,53416.0,3001.31982926464,449.94284058,,,-5.83630281709107,Marshall Islands
2011,52971.0,3238.88731570104,454.55557251,,,-2.55345059611024,Marshall Islands
2012,52203.0,3445.31540332931,471.68713379,,,11.8838601858086,Marshall Islands
2013,51352.0,3611.69964168874,491.75622559,,,17.5491994978063,Marshall Islands
2014,50419.0,3672.68093377497,475.43707275,,,4.88607408426122,Marshall Islands
2015,49410.0,3703.64905889496,545.72125244,,,-2.94738692826092,Marshall Islands
2016,48329.0,4153.11717602268,604.84899902,,,-1.52247327013078,Marshall Islands
2017,47187.0,4507.622862229,587.0836792,,,2.743518832844,Marshall Islands
2018,45989.0,4769.19045858792,646.17230225,,,4.44628551663636,Marshall Islands
2019,44728.0,5188.97111429082,664.31848145,,,-4.03144487422381,Marshall Islands
2020,43413.0,5567.97272706332,,,,-1.81236043398504,Marshall Islands
2021,42050.0,6172.14506539834,,,,2.07396708082456,Marshall Islands
