Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1191376.0,328.753852059416,,,,0.538719551405978,Mauritania
1973,1227358.0,401.869335886626,,,,1.99700935436251,Mauritania
1974,1264352.0,484.84200455867,,,,0.590527779623707,Mauritania
1975,1302436.0,540.048534712098,,,,-17.4447315326563,Mauritania
1976,1341604.0,577.701302013901,,,,0.200605646946587,Mauritania
1977,1381329.0,578.449932343618,,,,0.516122911093158,Mauritania
1978,1421786.0,565.928963122046,,,,0.355376295749432,Mauritania
1979,1463514.0,650.42148227411,,,,6.64299512071084,Mauritania
1980,1506694.0,695.512591884286,,,,2.58549919180894,Mauritania
1981,1551687.0,712.447399749897,,,,1.12566167611553,Mauritania
1982,1598332.0,693.708197203835,,,,1.35016457032988,Mauritania
1983,1646343.0,707.732608363563,,,,0.117435317986548,Mauritania
1984,1695675.0,633.596494286594,,,,0.793597239187414,Mauritania
1985,1746265.0,578.21884210879,,,,0.691209995217083,Mauritania
1986,1798009.0,659.968208454065,,7.43333333333314,,0.378446603001969,Mauritania
1987,1851092.0,726.417309725926,,8.15234253800876,,0.124821790356831,Mauritania
1988,1905847.0,742.426781418476,,1.31965861005482,,0.136162437370031,Mauritania
1989,1955040.0,742.003753979962,,12.9326820981099,,0.239048416799853,Mauritania
1990,2006027.0,751.193482351168,,6.6002256487402,,0.44702077877301,Mauritania
1991,2066302.0,1032.61201427689,,5.62866666666697,10.1759996414185,0.106378802798501,Mauritania
1992,2147527.0,1007.80675081863,,10.1418175621511,10.1520004272461,0.348816249718507,Mauritania
1993,2237064.0,825.792472510658,,9.37034415971456,10.076000213623,0.871081973454685,Mauritania
1994,2315191.0,840.050239918469,,4.12825861295444,10.1709995269775,0.106932671881944,Mauritania
1995,2380341.0,878.752842844462,,6.5437906852417,9.98200035095215,0.334143209721961,Mauritania
1996,2428816.0,877.827666613683,,4.68130623916412,10.0139999389648,-0.0204279208830861,Mauritania
1997,2484278.0,834.045572524976,,4.62534695318395,10.1219997406006,-0.160710337138419,Mauritania
1998,2550501.0,796.841809444516,,8.03166665498855,10.0089998245239,0.00652659592331135,Mauritania
1999,2620611.0,757.809681373725,,4.07417613596756,9.97399997711182,0.761331101003852,Mauritania
2000,2695003.0,660.304773071148,22.85624313,3.25406745833358,10.048999786377,2.2531876374371,Mauritania
2001,2761823.0,632.21456219015,23.078022,4.7148963468961,9.99699974060059,4.39273522765399,Mauritania
2002,2821703.0,629.782295651996,25.60134125,3.89570525758491,9.96399974822998,3.78942779878559,Mauritania
2003,2883326.0,711.382482153206,28.94956589,5.15190150769576,9.88700008392334,4.97077593195268,Mauritania
2004,2946575.0,801.778683129563,30.71713829,10.3676233473073,9.90900039672852,17.1048402419347,Mauritania
2005,3012360.0,974.657585946703,33.04816818,12.1256487185541,9.85400009155273,27.6520361777234,Mauritania
2006,3081229.0,1272.08243396613,34.03960037,6.24103328142821,9.72299957275391,3.94434467917463,Mauritania
2007,3153508.0,1378.21334480212,39.0368576,7.25410841304886,9.97700023651123,3.20676922289647,Mauritania
2008,3233336.0,1610.23921011041,47.59680939,7.34663541249786,9.94799995422363,6.58358440473947,Mauritania
2009,3322616.0,1418.93992352102,43.21328354,2.2209203238178,9.9350004196167,-0.0651603378363457,Mauritania
2010,3419461.0,1646.13144187861,42.46692276,6.28354087427708,9.89500045776367,2.31890427196123,Mauritania
2011,3524249.0,1919.45452401163,46.50239563,5.68631959575963,9.86900043487549,8.70334474019513,Mauritania
2012,3636113.0,1850.38496774479,48.08863068,4.90242727217991,9.85999965667725,20.6013054045892,Mauritania
2013,3742959.0,1929.7735213577,54.26546097,4.12910173783393,9.96700000762939,15.5890199648425,Mauritania
2014,3843174.0,1715.38883792802,58.04791641,3.53436856147326,10.0659999847412,7.62361704174834,Mauritania
2015,3946220.0,1562.72524811646,55.98908615,3.23770308329082,10.1520004272461,8.1358577730928,Mauritania
2016,4051890.0,1579.19855406867,47.58857727,1.48600676958638,10.3079996109009,4.23731694999137,Mauritania
2017,4160015.0,1634.64360624694,52.66540146,2.27503457252097,10.3400001525879,8.65007232991042,Mauritania
2018,4270712.0,1749.95423645373,57.29694748,3.04891482875157,10.3909997940063,10.3416772427819,Mauritania
2019,4383849.0,1839.964449578,57.88484573,2.30009262117938,10.4020004272461,-10.9539707365629,Mauritania
2020,4498604.0,1868.4665735741,,2.38569488456317,11.1370000839233,11.0394055921616,Mauritania
2021,4614974.0,2166.04679858214,,3.56516484650187,11.2869997024536,10.7065407688911,Mauritania
