Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,852053.0,,,5.39593552933411,,,Mauritius
1973,864819.0,,,13.4507978726776,,,Mauritius
1974,878042.0,,,29.115630311092,,,Mauritius
1975,892000.0,,,14.738323271755,,,Mauritius
1976,906507.0,776.644334137488,,12.9557291671836,,0.446426901111113,Mauritius
1977,921379.0,893.914952381185,,9.17249897074799,,0.275633610507628,Mauritius
1978,933499.0,1087.69816067884,,8.54513915082284,,0.431449497029021,Mauritius
1979,949888.0,1275.03582645064,,14.4663702058304,,0.143978867410758,Mauritius
1980,966039.0,1171.57608699789,,41.9995143865698,,0.10348407222424,Mauritius
1981,980462.0,1165.15841972823,,14.4615910742106,,0.0587713980347148,Mauritius
1982,992521.0,1086.53502506849,,11.4156931283651,,0.162046163110632,Mauritius
1983,1001691.0,1088.43640130411,,5.58949801843947,,0.148867821052627,Mauritius
1984,1012221.0,1027.99397497052,,7.38916256169464,,0.473536460690971,Mauritius
1985,1020528.0,1054.47483497012,,6.698703946585,,0.740162069755667,Mauritius
1986,1028360.0,1422.55655164592,,1.63265306122482,,0.507615783822463,Mauritius
1987,1036082.0,1815.35140483779,,0.518741633199852,,0.912392510888093,Mauritius
1988,1043239.0,2046.04799825634,,9.15931413351058,,1.1121549577156,Mauritius
1989,1051260.0,2075.53816831518,,12.670042091136,,1.64092442586068,Mauritius
1990,1058775.0,2506.17931226708,,13.4880887926371,,1.54665661259499,Mauritius
1991,1070266.0,2669.32770040611,,7.00101377541885,9.68099975585938,0.608270685936101,Mauritius
1992,1084441.0,2973.20697742439,,4.64351929883706,9.625,0.456357591218259,Mauritius
1993,1097374.0,2973.79782099643,,10.5178384472896,9.625,0.451451533399293,Mauritius
1994,1112846.0,3197.33102367957,,7.32347154412294,9.61699962615967,0.561767459673827,Mauritius
1995,1122457.0,3599.55520192961,,6.02933188484532,9.59000015258789,0.462654962356565,Mauritius
1996,1133996.0,3899.43519244996,,6.5509733606557,9.49100017547607,0.8290772344607,Mauritius
1997,1148284.0,3646.63062599001,,6.83334334996105,9.41100025177002,1.32010983505741,Mauritius
1998,1160421.0,3593.23408089547,,6.81079323797194,9.32800006866455,0.29187946599049,Mauritius
1999,1175267.0,3695.93490909434,,6.90914624866774,9.30399990081787,1.13619893719387,Mauritius
2000,1186873.0,3929.07549503364,118.97707367,4.19928825622807,9.14200019836426,5.69640519781753,Mauritius
2001,1196287.0,3856.62522686864,119.46853638,5.38934426229507,9.14000034332275,-0.599865224950269,Mauritius
2002,1204621.0,4018.94889731864,135.94143677,6.41933372221149,8.19999980926514,0.662488345039445,Mauritius
2003,1213370.0,4793.71817900161,162.00184631,3.92105357558194,8.22999954223633,1.07676585037942,Mauritius
2004,1221003.0,5388.06578367365,189.92880249,4.71037060105888,8.34000015258789,0.211203296177967,Mauritius
2005,1228254.0,5282.90602155635,197.67504883,4.93717004981784,9.52000045776367,0.643837300938996,Mauritius
2006,1233996.0,5695.96932704928,209.14854431,8.91350105650142,9.03999996185303,1.51886535380783,Mauritius
2007,1239630.0,6574.65433811493,235.85057068,8.82729272393297,8.47999954223633,4.18108039472127,Mauritius
2008,1244121.0,8030.06300537304,321.8163147,9.7322831714688,7.17000007629395,3.78088836995991,Mauritius
2009,1247429.0,7318.12640972422,310.15560913,2.51609128145116,7.26000022888184,2.81175510140463,Mauritius
2010,1250400.0,8000.37643182154,367.12078857,2.93236301369863,7.65000009536743,4.29784028289692,Mauritius
2011,1252404.0,9197.02697152061,396.6121521,6.52249254869339,7.44999980926514,3.76207859136801,Mauritius
2012,1255882.0,9291.22761861899,398.12188721,3.85216033315978,7.46999979019165,5.04785480424622,Mauritius
2013,1258653.0,9766.75646458689,452.45565796,3.54329573934837,7.32000017166138,2.3864815384731,Mauritius
2014,1260934.0,10368.6134328483,559.44458008,3.21769191994683,7.46999979019165,3.484452889379,Mauritius
2015,1262605.0,9509.93465545353,529.16137695,1.28654970760235,7.40999984741211,1.80269793980581,Mauritius
2016,1263473.0,9967.88173591323,553.21362305,0.977675134719017,6.80999994277954,3.00746337860015,Mauritius
2017,1264613.0,10844.0363275302,609.16851807,3.66699702675917,6.75,3.50016818698142,Mauritius
2018,1265303.0,11645.9819750468,656.62249756,3.2160538314458,6.42999982833862,3.12514163157275,Mauritius
2019,1265711.0,11405.7268191397,685.94561768,0.405655190309511,6.32999992370605,3.07610747160356,Mauritius
2020,1265740.0,9007.41910231356,,2.58080077182828,8.63000011444092,1.97059104092652,Mauritius
2021,1266060.0,9106.23720230699,,4.02852888157379,7.6560001373291,2.19609953705315,Mauritius
