Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,53543436.0,844.174438114132,,4.94369236377868,,0.394657079424779,Mexico
1973,55228203.0,1000.93787226791,,12.0819394612939,,0.826700434153401,Mexico
1974,56945880.0,1264.35836973632,,23.7840154425787,,0.706605555416667,Mexico
1975,58691882.0,1499.35556675453,,14.9445346409267,,0.520921590909091,Mexico
1976,60452543.0,1472.65887600417,,15.824722489347,,0.821615273522976,Mexico
1977,62262505.0,1314.01971848122,,29.0641247103462,,0.399810989601947,Mexico
1978,64123997.0,1598.46554792896,,17.4572925678264,,0.642110243804878,Mexico
1979,65972912.0,2039.64626434516,,18.1912462987644,,0.989882659713168,Mexico
1980,67705186.0,3029.88735540172,,26.3516513562834,,1.01882095265588,Mexico
1981,69233769.0,3812.58077593167,,27.9337625982399,,1.16608870065987,Mexico
1982,70656783.0,2612.75917135116,,58.9134198531048,,1.0297430651002,Mexico
1983,72080310.0,2166.46125113104,,101.874938435992,,1.40369572837792,Mexico
1984,73489654.0,2507.31206093809,,65.4488071277602,,0.836854163734955,Mexico
1985,74872006.0,2607.38025105777,,57.7484484008702,,1.01629040888608,Mexico
1986,76224365.0,1765.18487804712,,86.2333169923538,,1.78372224439714,Mexico
1987,77553504.0,1902.4380675542,,131.827383923089,,1.78526963513549,Mexico
1988,78892015.0,2302.02701725649,,114.162258549066,,1.58525159902196,Mexico
1989,80233749.0,2759.44565065244,,20.0078767139978,,1.433599999542,Mexico
1990,81720428.0,3196.9189246775,,26.6516725646771,,1.00821583830929,Mexico
1991,83351595.0,3756.88993658112,,22.662359455061,3.15000009536743,1.52071210953331,Mexico
1992,84993164.0,4272.7859647897,,15.5078962533572,3.24000000953674,1.20966765428087,Mexico
1993,86648447.0,5778.93872241404,,9.75146045357564,3.36999988555908,0.876509662768974,Mexico
1994,88314424.0,5976.52358720335,,6.96581237191123,4.44000005722046,2.07886032547271,Mexico
1995,89969572.0,4002.17430448435,,34.9992712889592,7.09999990463257,2.64564850588729,Mexico
1996,91586555.0,4487.29177890965,,34.3783832235167,5.46999979019165,2.23507188865261,Mexico
1997,93183094.0,5370.21751079841,,20.6256287259248,4.23999977111816,2.5638397911035,Mexico
1998,94767284.0,5555.73724554862,,15.9283950119352,3.73000001907349,2.42292743869122,Mexico
1999,96334810.0,6230.69557144429,,16.5856169707539,2.59999990463257,2.32260574768235,Mexico
2000,97873442.0,7232.87880868278,318.46151733,9.49156149435404,2.65000009536743,2.59670994264157,Mexico
2001,99394288.0,7613.17693215721,363.67358398,6.36773806235032,2.63000011444092,3.97248183338379,Mexico
2002,100917081.0,7650.89884967419,385.09851074,5.03072733151299,3.0,2.6110535633442,Mexico
2003,102429341.0,7120.3847701944,411.42242432,4.54690012118717,3.46000003814697,2.48965100751192,Mexico
2004,103945813.0,7525.46523432127,445.62039185,4.68840884843147,3.94000005722046,3.21401240030364,Mexico
2005,105442402.0,8321.85349288706,483.09536743,3.98805714597435,3.55999994277954,2.86748415590892,Mexico
2006,106886790.0,9125.42262440559,512.83319092,3.62946762439129,3.5699999332428,2.26826983334038,Mexico
2007,108302973.0,9719.92045203482,556.0402832,3.96684905458234,3.63000011444092,2.94666035647521,Mexico
2008,109684489.0,10119.8362111768,570.83050537,5.12498274575897,3.86999988555908,2.6804155077766,Mexico
2009,111049428.0,8104.90757907686,490.56585693,5.29735584228859,5.3600001335144,2.18340993537959,Mexico
2010,112532401.0,9399.97090779255,531.88946533,4.15672722680176,5.30000019073486,2.88567601357931,Mexico
2011,114150481.0,10341.5210484975,563.10894775,3.40737824605736,5.17000007629395,2.02412744986279,Mexico
2012,115755909.0,10376.0576664423,580.21838379,4.11150981070293,4.8899998664856,1.51569027157045,Mexico
2013,117290686.0,10865.6802017218,623.05157471,3.80639069747207,4.90999984741211,3.98856512853259,Mexico
2014,118755887.0,11076.0924511013,606.92980957,4.01861608078673,4.80999994277954,2.1623005112436,Mexico
2015,120149897.0,9753.38004823861,550.34002686,2.7206406496403,4.30999994277954,3.09311082928099,Mexico
2016,121519221.0,8875.06225558599,485.62417603,2.82170784747653,3.85999989509583,3.60596862062659,Mexico
2017,122839258.0,9434.38648739127,506.89233398,6.04145724018992,3.42000007629395,2.85678516526906,Mexico
2018,124013861.0,9857.02882925559,521.00830078,4.89935015356549,3.26999998092651,3.09608321875527,Mexico
2019,125085311.0,10145.1701829207,540.37231445,3.6359614212705,3.48000001907349,2.35601932765412,Mexico
2020,125998302.0,8655.00068206803,,3.39683415569999,4.44999980926514,2.8891913882334,Mexico
2021,126705138.0,10045.6805004963,,5.68920847683764,4.09000015258789,2.62011058387628,Mexico
