Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,62265.0,,,,,,"Micronesia, Fed. Sts."
1973,63889.0,,,,,,"Micronesia, Fed. Sts."
1974,65552.0,,,,,,"Micronesia, Fed. Sts."
1975,67121.0,,,,,,"Micronesia, Fed. Sts."
1976,68602.0,,,,,,"Micronesia, Fed. Sts."
1977,70144.0,,,,,,"Micronesia, Fed. Sts."
1978,71983.0,,,,,,"Micronesia, Fed. Sts."
1979,74114.0,,,,,,"Micronesia, Fed. Sts."
1980,76299.0,,,,,,"Micronesia, Fed. Sts."
1981,78531.0,,,,,,"Micronesia, Fed. Sts."
1982,80816.0,,,,,,"Micronesia, Fed. Sts."
1983,83153.0,1280.77158972015,,,,,"Micronesia, Fed. Sts."
1984,85543.0,,,,,,"Micronesia, Fed. Sts."
1985,87966.0,,,,,,"Micronesia, Fed. Sts."
1986,90397.0,1241.30225560583,,,,,"Micronesia, Fed. Sts."
1987,92845.0,1256.9335990091,,,,,"Micronesia, Fed. Sts."
1988,94987.0,1312.81122679946,,,,,"Micronesia, Fed. Sts."
1989,96796.0,1396.75193189801,,,,,"Micronesia, Fed. Sts."
1990,98603.0,1492.85518696186,,,,,"Micronesia, Fed. Sts."
1991,100427.0,1654.93343423581,,,,,"Micronesia, Fed. Sts."
1992,102893.0,1730.92435831398,,,,,"Micronesia, Fed. Sts."
1993,106030.0,1871.16853720645,,,,,"Micronesia, Fed. Sts."
1994,108844.0,1860.46084304142,,,,,"Micronesia, Fed. Sts."
1995,110328.0,2008.33242694511,,,,,"Micronesia, Fed. Sts."
1996,110785.0,1972.60188653699,,,,,"Micronesia, Fed. Sts."
1997,111133.0,1859.27042372653,,,,,"Micronesia, Fed. Sts."
1998,111406.0,1964.64373552591,,,,,"Micronesia, Fed. Sts."
1999,111539.0,1973.66392024314,,,,,"Micronesia, Fed. Sts."
2000,111709.0,2088.20954444136,168.45785522,2.15851810619412,,,"Micronesia, Fed. Sts."
2001,111948.0,2152.5252795941,190.07368469,0.502497351294105,,,"Micronesia, Fed. Sts."
2002,111992.0,2165.48682048718,178.55958557,-0.111442426432966,,,"Micronesia, Fed. Sts."
2003,111805.0,2195.18715620947,219.36360168,0.126643348208918,,,"Micronesia, Fed. Sts."
2004,111438.0,2155.78169026723,270.71679688,2.27669698247305,,,"Micronesia, Fed. Sts."
2005,110940.0,2256.01135749054,417.72436523,4.25769978210942,,,"Micronesia, Fed. Sts."
2006,110301.0,2298.63645841833,257.90270996,4.6373700858563,,,"Micronesia, Fed. Sts."
2007,109532.0,2344.40346200197,272.11096191,3.30634278002699,,,"Micronesia, Fed. Sts."
2008,108704.0,2420.7490064763,304.5819397,8.42372566246186,,,"Micronesia, Fed. Sts."
2009,107868.0,2598.40360440538,341.31835938,6.39360257735202,,0.0,"Micronesia, Fed. Sts."
2010,107588.0,2760.0113395546,378.24478149,3.31370963136216,,0.0,"Micronesia, Fed. Sts."
2011,107887.0,2885.44124871393,393.68103027,5.08259403890365,,0.0,"Micronesia, Fed. Sts."
2012,108232.0,3023.58544607879,384.1512146,5.01850353045626,,0.0,"Micronesia, Fed. Sts."
2013,108609.0,2920.70086272777,363.26303101,1.75232737350739,,0.0,"Micronesia, Fed. Sts."
2014,109024.0,2928.44878191958,348.32009888,0.650284891768603,,6.32982242056283,"Micronesia, Fed. Sts."
2015,109462.0,2891.32210264749,361.47207642,-0.298115837381107,,,"Micronesia, Fed. Sts."
2016,109925.0,3022.65362747328,395.79208374,-1.03746806405332,,,"Micronesia, Fed. Sts."
2017,110430.0,3320.3549760029,402.18200684,0.689027978925107,,,"Micronesia, Fed. Sts."
2018,110929.0,3623.32933678299,417.68972778,1.79400375972253,,,"Micronesia, Fed. Sts."
2019,111379.0,3699.08151446862,415.19827271,1.53907146098899,,,"Micronesia, Fed. Sts."
2020,112106.0,3639.41269869588,,0.550898203592806,,,"Micronesia, Fed. Sts."
2021,113131.0,3571.33676887856,,,,,"Micronesia, Fed. Sts."
