Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,133164152.0,377.118517702454,,3.70773884352751,,0.37450685448406,Middle East & North Africa (IDA & IBRD countries)
1973,136734072.0,487.538932040464,,7.07186753470658,,1.05831718184594,Middle East & North Africa (IDA & IBRD countries)
1974,140444545.0,723.576489245821,,12.1366266449526,,0.709751441336606,Middle East & North Africa (IDA & IBRD countries)
1975,144500701.0,818.310086636541,,9.59343641278391,,0.578940970564221,Middle East & North Africa (IDA & IBRD countries)
1976,149188764.0,978.347090571855,,10.7867791969762,,0.20705638756336,Middle East & North Africa (IDA & IBRD countries)
1977,153922894.0,1097.41813737106,,12.293142157056,,0.463423384133329,Middle East & North Africa (IDA & IBRD countries)
1978,158089953.0,1148.44158022414,,10.3970665660787,,0.879912100854027,Middle East & North Africa (IDA & IBRD countries)
1979,162482818.0,1393.73033203601,,9.90436051231128,,0.69099678651803,Middle East & North Africa (IDA & IBRD countries)
1980,167489905.0,1619.12172957392,,11.5845673416485,,0.51750423344186,Middle East & North Africa (IDA & IBRD countries)
1981,173266699.0,1527.42334535872,,11.8461254997948,,0.512842515562052,Middle East & North Africa (IDA & IBRD countries)
1982,179198278.0,1693.90949256437,,10.3933080764634,,0.20249536661503,Middle East & North Africa (IDA & IBRD countries)
1983,184832095.0,1845.64067253238,,6.16761386479387,,0.20821691453845,Middle East & North Africa (IDA & IBRD countries)
1984,190720860.0,1893.68028166434,,9.22951819475498,,0.292826757414922,Middle East & North Africa (IDA & IBRD countries)
1985,196641041.0,2002.51090220221,,7.72863890085921,,0.347942059229025,Middle East & North Africa (IDA & IBRD countries)
1986,202653537.0,2183.64475368714,,12.3716091651298,,0.289046355967724,Middle East & North Africa (IDA & IBRD countries)
1987,208687611.0,1854.43650755051,,7.44126091287252,,0.231015624764686,Middle East & North Africa (IDA & IBRD countries)
1988,214593293.0,1655.58840540001,,6.90509807493765,,0.425665854364291,Middle East & North Africa (IDA & IBRD countries)
1989,220541237.0,1619.97261405026,,10.3517892397833,,0.441264143084609,Middle East & North Africa (IDA & IBRD countries)
1990,226868111.0,2215.44248343115,,12.3217999847811,,0.138883902066577,Middle East & North Africa (IDA & IBRD countries)
1991,233174871.0,1116.86747823025,,14.5123316222631,11.8295612772863,0.556569151255664,Middle East & North Africa (IDA & IBRD countries)
1992,238968838.0,1200.10725347826,,12.3232992418242,12.0996586112925,1.05599700028334,Middle East & North Africa (IDA & IBRD countries)
1993,244147588.0,1206.087896051,,12.6564663913828,12.7953053675297,0.950931444260234,Middle East & North Africa (IDA & IBRD countries)
1994,249198247.0,1266.86249011705,,11.7413492195778,12.8428235211563,0.779828497935302,Middle East & North Africa (IDA & IBRD countries)
1995,254479053.0,1445.74328185026,,11.8610941540332,13.2935422497779,0.301698289352057,Middle East & North Africa (IDA & IBRD countries)
1996,259648021.0,1634.85171449898,,6.84416086199787,12.2529776746886,0.36319083257587,Middle East & North Africa (IDA & IBRD countries)
1997,264860153.0,1693.91425698258,,3.60116103260948,12.0073678490274,1.03955436332816,Middle East & North Africa (IDA & IBRD countries)
1998,270162305.0,1692.26896532804,,3.79092432361613,12.1905673742868,0.84346716281458,Middle East & North Africa (IDA & IBRD countries)
1999,275508430.0,1805.10752416002,,2.66937369053699,12.5086882097731,0.744152930916737,Middle East & North Africa (IDA & IBRD countries)
2000,280976957.0,1878.0915887586,80.4251512959829,2.28921996056006,13.1394776109234,0.958642408799344,Middle East & North Africa (IDA & IBRD countries)
2001,286546301.0,1863.4016465925,85.1740561024386,2.26975720475954,13.1221722578128,1.34162339163015,Middle East & North Africa (IDA & IBRD countries)
2002,291738620.0,1782.08034589239,86.1396300933147,2.72103284850454,13.1817342764602,1.62598060985377,Middle East & North Africa (IDA & IBRD countries)
2003,296947926.0,1912.03109537342,83.0062190118437,4.268953958395,12.8005588752163,1.97968879758393,Middle East & North Africa (IDA & IBRD countries)
