Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,133164152.0,380.514974405648,,3.70773884352751,,0.37450685448406,Middle East & North Africa (excluding high income)
1973,136734072.0,491.929872278257,,7.07186753470658,,1.05831718184594,Middle East & North Africa (excluding high income)
1974,140444545.0,730.093263421071,,12.1366266449526,,0.709751441336606,Middle East & North Africa (excluding high income)
1975,144500701.0,825.680063576364,,9.59343641278391,,0.578940970564221,Middle East & North Africa (excluding high income)
1976,149188764.0,987.15841480506,,10.7867791969762,,0.20705638756336,Middle East & North Africa (excluding high income)
1977,153922894.0,1107.30185565567,,12.293142157056,,0.463423384133329,Middle East & North Africa (excluding high income)
1978,158089953.0,1158.78483286297,,10.3970665660787,,0.879912100854027,Middle East & North Africa (excluding high income)
1979,162482818.0,1406.28273799456,,9.90436051231128,,0.69099678651803,Middle East & North Africa (excluding high income)
1980,167489905.0,1633.70408656133,,11.5845673416485,,0.51750423344186,Middle East & North Africa (excluding high income)
1981,173266699.0,1541.17983573624,,11.8461254997948,,0.512842515562052,Middle East & North Africa (excluding high income)
1982,179198278.0,1709.16541339709,,10.3933080764634,,0.20249536661503,Middle East & North Africa (excluding high income)
1983,184832095.0,1862.2631356034,,6.16761386479387,,0.20821691453845,Middle East & North Africa (excluding high income)
1984,190720860.0,1910.73540567562,,9.22951819475498,,0.292826757414922,Middle East & North Africa (excluding high income)
1985,196641041.0,2020.54619152833,,7.72863890085921,,0.347942059229025,Middle East & North Africa (excluding high income)
1986,202653537.0,2203.31139563895,,12.3716091651298,,0.289046355967724,Middle East & North Africa (excluding high income)
1987,208687611.0,1871.13818888159,,7.44126091287252,,0.231015624764686,Middle East & North Africa (excluding high income)
1988,214593293.0,1670.49919358275,,6.90509807493765,,0.425665854364291,Middle East & North Africa (excluding high income)
1989,220541237.0,1634.56263439055,,10.3517892397833,,0.441264143084609,Middle East & North Africa (excluding high income)
1990,228846359.0,2216.07177019371,,12.3217999847811,,0.138883902066577,Middle East & North Africa (excluding high income)
1991,235243716.0,1117.01563801265,,14.5123316222631,11.8284513342009,0.556569151255664,Middle East & North Africa (excluding high income)
1992,241132429.0,1200.05073031506,,12.3232992418242,12.0944228339361,1.05599700028334,Middle East & North Africa (excluding high income)
1993,246410264.0,1205.7756165496,,12.6564663913828,12.7849967984175,0.950931444260234,Middle East & North Africa (excluding high income)
1994,251564545.0,1266.24843627,,11.7413492195778,12.8308995450387,0.779828497935301,Middle East & North Africa (excluding high income)
1995,256953719.0,1444.59548081639,,11.8610941540332,13.2777006876423,0.333151206167732,Middle East & North Africa (excluding high income)
1996,262236018.0,1631.719454717,,6.84416086199787,12.243970564823,0.401708788973531,Middle East & North Africa (excluding high income)
1997,267566671.0,1690.83162556254,,3.65202620723071,11.9985248133982,1.06694429352549,Middle East & North Africa (excluding high income)
1998,272938873.0,1689.95745927693,,3.87257546427492,12.1795654131847,0.881333964370522,Middle East & North Africa (excluding high income)
1999,278356861.0,1801.98015655347,,2.69012485811578,12.4949329016009,0.778139043375048,Middle East & North Africa (excluding high income)
2000,283899110.0,1873.95465796525,80.4251512959829,2.68380535348548,13.1206285666687,0.962524539827641,Middle East & North Africa (excluding high income)
2001,289544085.0,1857.93658712935,85.1740561024386,2.12654526904646,13.1799307230603,1.33520311409556,Middle East & North Africa (excluding high income)
2002,294813993.0,1775.55161311414,86.1396300933147,2.72913569925393,13.2799254458723,1.61673886202433,Middle East & North Africa (excluding high income)
2003,300102895.0,1905.15212530238,83.0062190118437,4.33599308785193,12.8763882404363,1.9682007331067,Middle East & North Africa (excluding high income)
2004,305945780.0,2220.31044341836,95.4537451081712,3.79704017606909,11.5687676805978,1.56501408388447,Middle East & North Africa (excluding high income)
2005,311948573.0,2571.02295024423,106.994979188792,3.80046802667731,11.7948184434391,2.27196764768975,Middle East & North Africa (excluding high income)
2006,317983066.0,2940.60405876672,120.206163303542,5.04703296140611,11.0474427937139,3.25907916717724,Middle East & North Africa (excluding high income)
2007,324080392.0,3518.89971428337,146.991690123356,4.32580794732626,10.5663119624831,2.95130810711324,Middle East & North Africa (excluding high income)
2008,330293304.0,4259.64645707383,180.103723305476,12.310736758289,10.3598445677495,2.53077949340834,Middle East & North Africa (excluding high income)
