Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,145744541.0,549.959523714169,,4.04517513252881,,0.347122145576671,Middle East & North Africa
1973,149964066.0,723.769463198138,,8.26666666600004,,0.0638289498222832,Middle East & North Africa
1974,154334030.0,1313.404870066,,14.2489355382568,,-1.93056096192885,Middle East & North Africa
1975,159064212.0,1409.07059052268,,9.66969548151247,,1.39311207135743,Middle East & North Africa
1976,164465177.0,1722.78877048044,,11.2561425062112,,0.0148665205376699,Middle East & North Africa
1977,169960807.0,1938.27285734983,,11.989283322105,,0.608602619830789,Middle East & North Africa
1978,174922290.0,2010.51927026202,,9.71603274954343,,0.744612857915418,Middle East & North Africa
1979,180155296.0,2562.5776410939,,7.73923642806675,,0.107781425015777,Middle East & North Africa
1980,186021685.0,3214.12620800984,,10.4226999529126,,-0.397184763677541,Middle East & North Africa
1981,192641039.0,3213.57526830735,,11.2721597079434,,1.48361826779752,Middle East & North Africa
1982,199419033.0,3099.7762242246,,8.33125575581154,,2.26949832272937,Middle East & North Africa
1983,205927091.0,3038.51441727869,,5.49366551432092,,1.10025865102599,Middle East & North Africa
1984,212683895.0,3000.05615596678,,8.11639795517099,,1.15588936534809,Middle East & North Africa
1985,219522781.0,2982.3768744019,,4.38934095741537,,0.333191137433939,Middle East & North Africa
1986,226490767.0,2969.04560049178,,6.16438356164367,,0.417305411391143,Middle East & North Africa
1987,233512587.0,2651.64619711222,,4.08911644641213,,-0.0497877827129543,Middle East & North Africa
1988,240428079.0,2441.12344345896,,5.999250742737,,0.328598368329368,Middle East & North Africa
1989,247406122.0,2463.47239610356,,5.54145981508566,,0.237324001808338,Middle East & North Africa
1990,256203998.0,3144.36992822582,,8.0395686728391,,0.374766738117999,Middle East & North Africa
1991,263445808.0,2140.30653307918,,9.02909418116381,11.1551075738068,0.520622013367686,Middle East & North Africa
1992,270652251.0,2276.40855669154,,7.59204836795521,11.3853930592672,0.766805059865057,Middle East & North Africa
1993,276897626.0,2258.89100404029,,8.08163142184137,11.9035309555036,0.856299939579616,Middle East & North Africa
1994,282903612.0,2332.24757129938,,5.12713521698839,11.821185315502,0.879810436206146,Middle East & North Africa
1995,289154944.0,2571.68871549961,,6.74106761623137,12.1293920603898,0.278969813399315,Middle East & North Africa
1996,295366235.0,2844.44545975395,,4.46630617999246,11.1995980238767,0.642384917665456,Middle East & North Africa
1997,301680248.0,2929.04185015458,,3.55029585798825,10.9967300563762,1.21108375467761,Middle East & North Africa
1998,308041622.0,2805.12737101636,,3.12536579655865,11.1458506757922,1.31407013499224,Middle East & North Africa
1999,314472124.0,2981.39477175626,,2.6486225229582,11.4054323718741,0.815849137681967,Middle East & North Africa
2000,321037453.0,3271.48294719494,147.978478262636,1.81294613887087,11.9239363132268,1.16517976847623,Middle East & North Africa
2001,327691655.0,3189.73273528656,154.60133058511,1.74665224985432,11.9848928355156,1.03745818244754,Middle East & North Africa
2002,333949565.0,3113.85717579183,152.981025554761,1.83299389002049,12.1276265990187,0.959981291340899,Middle East & North Africa
2003,340215354.0,3388.45312671443,149.048724230124,1.98196734627542,11.8166915918633,1.75705741786066,Middle East & North Africa
2004,347044925.0,3921.79200746486,163.339879660629,3.12226204699354,10.7156714637409,2.41839394757554,Middle East & North Africa
2005,354462370.0,4618.19186044185,181.701828800766,3.104966401483,10.858839990137,4.4692029430914,Middle East & North Africa
2006,362633997.0,5288.1952086245,203.608445720937,3.48340699677866,10.1731194728624,5.69107344948046,Middle East & North Africa
2007,371324802.0,6098.25087433221,239.351853090877,4.16782330119979,9.6299500576575,5.58425002176395,Middle East & North Africa
2008,380294099.0,7418.22449167982,285.143661740271,11.2706652380848,9.27960116609422,4.03230820109741,Middle East & North Africa
2009,389332369.0,6546.43502947811,311.680785243387,2.92089711805365,9.41746963185686,3.28965116363805,Middle East & North Africa
2010,397997557.0,7479.37845911294,337.716939224013,3.74915727597098,9.57710252015461,2.94161955187724,Middle East & North Africa
2011,406045323.0,8260.51047816933,384.626170889138,4.52421150505276,10.0921224900909,1.88293829656727,Middle East & North Africa
2012,414117603.0,8759.65128829081,405.479335487969,3.73120950756887,10.2089936796612,1.76510468176167,Middle East & North Africa
2013,422790409.0,8433.60304850834,424.356258787853,2.96400499850737,9.96564542259961,1.51187599332011,Middle East & North Africa
2014,431664579.0,8321.76576980599,444.989127324949,2.34626865671643,10.0690358217051,1.04554743714026,Middle East & North Africa
2015,440506473.0,7183.07451286568,421.832194920011,1.49475928578369,10.2304749190996,1.27064450338678,Middle East & North Africa
2016,448917409.0,7111.1562407106,450.105438786528,1.85207575190269,10.2955198633012,1.5425843366514,Middle East & North Africa
2017,456885486.0,7251.82773594856,478.307049421188,1.49193945456787,10.3299737535839,1.6351640379461,Middle East & North Africa
2018,465073490.0,7476.77245727289,502.911366871072,1.94579304594436,9.99906373790737,1.74514984568914,Middle East & North Africa
2019,473201775.0,7337.35093485928,507.311920901142,1.04883403678989,9.33369547625764,1.8002210802913,Middle East & North Africa
2020,479966649.0,6491.49912763085,,0.672256809057485,10.0307283158031,2.06436115647757,Middle East & North Africa
2021,486167363.0,7569.08943696131,,2.68387777341776,9.93401436713816,2.29012214488227,Middle East & North Africa
