Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2747451889.0,261.032387437059,,,,0.597971234323381,Middle income
1973,2809790975.0,325.854932556275,,,,0.853784905398972,Middle income
1974,2871508724.0,405.176937840106,,,,0.755268852647373,Middle income
1975,2931555870.0,438.788768111631,,,,0.764917066473367,Middle income
1976,2991005466.0,461.934117819661,,,,0.585376709916881,Middle income
1977,3050234061.0,508.349648106049,,11.2657936370698,,0.513863532438699,Middle income
1978,3110114076.0,540.049460950355,,8.93375884095016,,0.598840657022319,Middle income
1979,3171382990.0,630.024014056336,,,,0.505710916029112,Middle income
1980,3234641419.0,729.54648608977,,,,0.460719941735336,Middle income
1981,3300442944.0,805.461654172113,,12.9746974698193,,0.617483698310922,Middle income
1982,3368804133.0,776.971917591839,,10.2588088556284,,0.518164336587613,Middle income
1983,3437269628.0,735.797497120423,,10.6719367588933,,0.503539783093414,Middle income
1984,3505454627.0,730.127203585079,,10.45503482319,,0.470443591958606,Middle income
1985,3575059377.0,745.130296127909,,8.50837434391595,,0.547892256724711,Middle income
1986,3646951012.0,755.600030683624,,8.7316399570463,,0.461252902511947,Middle income
1987,3720808127.0,761.466645726898,,8.18907449481085,,0.512311774299844,Middle income
1988,3795217424.0,798.275348309701,,8.83793701817778,,0.766071318155821,Middle income
1989,3868872890.0,812.706971358087,,9.07562408537859,,0.788534360136874,Middle income
1990,3944260596.0,917.125913117345,,11.0249259531024,,0.674378575667865,Middle income
1991,4016748031.0,866.653822049705,,13.2242657726507,4.38894497787854,1.00078095074738,Middle income
1992,4085990356.0,890.087692142073,,10.0561167448841,4.4423291463075,1.1529420197801,Middle income
1993,4153731393.0,935.107302298584,,10.6332425818308,4.66878278152888,1.54490233528231,Middle income
1994,4221557226.0,1012.04064818061,,13.5344687273427,5.01713179182075,1.87932710285986,Middle income
1995,4288864685.0,1123.62256139835,,11.1287029707088,5.35698605965509,1.87184739576435,Middle income
1996,4355694415.0,1212.79729153194,,9.22046662376983,5.49960613036749,2.1149791959902,Middle income
1997,4422451321.0,1263.92625300757,,7.12532722513055,5.63443688501557,2.5708155712683,Middle income
1998,4488615367.0,1203.8327534611,,7.67322895675084,5.88951407591971,2.62049808548705,Middle income
1999,4553317122.0,1161.04894279893,,4.86192267490104,6.09463456704205,2.90945021896834,Middle income
2000,4617751027.0,1248.9292691052,64.0614682623666,4.36666451291681,5.9775834566895,2.42219042935766,Middle income
2001,4681845407.0,1243.15424097733,64.2871266612376,5.25305303386298,6.13668374197094,2.66076583614272,Middle income
2002,4744040472.0,1256.16613590616,63.5106425592257,4.29715203929562,6.31648459907594,2.45260210594513,Middle income
2003,4805081630.0,1398.33770664485,71.2341097781906,4.63422674362029,6.44710928388372,2.28390060922528,Middle income
2004,4866336912.0,1639.21827964813,82.4118017613307,4.69938972474518,6.33933332490837,2.56767778014201,Middle income
2005,4927146781.0,1927.08306331671,97.1580189601507,5.03670408189534,6.34439953339525,3.03432857929007,Middle income
2006,4986523291.0,2260.40942722463,112.346262140718,5.56493770408419,6.12750470881714,3.32065174715523,Middle income
2007,5045177858.0,2761.05626444413,135.032226843039,6.17780683499413,5.98684708236687,3.74368949880757,Middle income
2008,5104601803.0,3264.37933582855,161.4678080451,10.1545446607876,5.95170429626029,3.60005844981527,Middle income
2009,5164954050.0,3151.85249573979,165.94632734742,3.67595245570863,6.22672911054094,2.55108713852677,Middle income
2010,5226300409.0,3799.77242766286,191.071363790198,3.99639528107212,5.99351698964358,3.05596536124588,Middle income
2011,5289461774.0,4478.8140696518,222.52189977339,5.68631959575963,5.87696835982402,2.99309027291676,Middle income
2012,5354644874.0,4716.35907508888,237.177360808613,4.51541624035183,5.80578282443197,2.59051740450574,Middle income
2013,5421202357.0,4934.97944222966,254.181082663256,3.967746217653,5.80563519406109,2.70658621051384,Middle income
2014,5487659096.0,5040.8028003844,260.145643081161,3.52566203758282,5.77577244225159,2.2676146525581,Middle income
2015,5552696141.0,4720.1503964477,248.322255402716,2.89133617272295,5.95412122758488,2.26645004565997,Middle income
2016,5616265003.0,4709.36804167241,244.710997152547,2.46458856365463,6.05801038031586,2.03522075836937,Middle income
2017,5679375318.0,5116.24078342878,267.875834733044,3.32389447576096,6.01541705614376,1.83448997791858,Middle income
2018,5740015870.0,5384.00215669902,281.10464553329,3.1236306221878,5.91547120144153,1.92610506077347,Middle income
2019,5797827540.0,5448.65078025162,291.046440035013,2.61057182799216,5.77480290881283,1.75479928510185,Middle income
2020,5852403578.0,5206.16829542532,,2.5641177087669,7.09633440407564,1.72538714260352,Middle income
2021,5901323889.0,6074.0849211156,,4.26105127422819,6.40553487983167,2.0892314256753,Middle income
