Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2509550.0,,,,,,Moldova
1973,2536068.0,,,,,,Moldova
1974,2563389.0,,,,,,Moldova
1975,2590711.0,,,,,,Moldova
1976,2618032.0,,,,,,Moldova
1977,2643746.0,,,,,,Moldova
1978,2668657.0,,,,,,Moldova
1979,2692764.0,,,,,,Moldova
1980,2716068.0,,,,,,Moldova
1981,2740175.0,,,,,,Moldova
1982,2765889.0,,,,,,Moldova
1983,2792407.0,,,,,,Moldova
1984,2819728.0,,,,,,Moldova
1985,2847050.0,,,,,,Moldova
1986,2875175.0,,,,,,Moldova
1987,2904907.0,,,,,,Moldova
1988,2931424.0,,,,,,Moldova
1989,2952317.0,,,,,,Moldova
1990,2965978.0,,,,,,Moldova
1991,2973210.0,,,,1.89999997615814,,Moldova
1992,2975621.0,,,1026.82626424702,3.70000004768372,,Moldova
1993,2974817.0,,,1613.60398876194,3.70000004768372,,Moldova
1994,2967585.0,,,486.425623795891,5.80000019073486,,Moldova
1995,2953200.0,593.586592988924,,29.8656104095718,5.30000019073486,3.8169290470337,Moldova
1996,2947293.0,575.145455139019,,23.5056772963369,7.90000009536743,1.40048902464642,Moldova
1997,2936413.0,657.29213459795,,11.7728324494467,7.90000009536743,4.07962117197816,Moldova
1998,2935227.0,578.734627562193,,7.69576517517208,10.0,4.44511814313197,Moldova
1999,2930622.0,399.499818596336,,39.2559806891746,11.1400003433228,3.23458756906799,Moldova
2000,2924668.0,440.538683980372,21.37988472,31.2993015817784,8.46000003814697,9.89887383909094,Moldova
2001,2918135.0,507.404076252819,25.39859009,9.76466285757641,7.28999996185303,6.98600963880541,Moldova
2002,2911385.0,570.799866188293,33.9242363,5.30124390261597,6.80000019073486,5.05771338869042,Moldova
2003,2903198.0,682.319095965299,38.43836975,11.7460792058233,7.94999980926514,3.72304120351932,Moldova
2004,2896023.0,897.178494749468,64.60714722,12.5242768428228,8.17000007629395,5.81198983204296,Moldova
2005,2888985.0,1034.39402990012,79.33213043,11.9591837222126,7.28999996185303,6.38145044087964,Moldova
2006,2880967.0,1183.02103050816,100.10816193,12.7777557830351,7.38000011444092,7.58983096036108,Moldova
2007,2874299.0,1531.22186179676,135.44366455,12.3671668414302,5.07000017166138,12.1789803443758,Moldova
2008,2868833.0,2110.56198967544,185.56115723,12.783047261882,3.98000001907349,12.0004626680652,Moldova
2009,2865213.0,1898.43548503943,208.53004456,-0.0627185967109379,6.40000009536743,4.85272145600077,Moldova
2010,2862354.0,2436.79935908401,198.28894043,7.48385086350851,7.44999980926514,4.25879211268122,Moldova
2011,2860699.0,2941.36211882435,214.98246765,7.68725103356185,6.67999982833862,4.43147629831831,Moldova
2012,2860324.0,3044.80847790641,223.61895752,4.54633427355305,5.57999992370605,2.88432653084437,Moldova
2013,2859558.0,3321.04391743353,231.66229248,4.59787897363131,5.09999990463257,2.54698525931375,Moldova
2014,2857815.0,3327.78677471175,230.76982117,5.0887855462588,3.73000001907349,3.63714788089767,Moldova
2015,2835978.0,2731.06558405856,186.43643188,9.67624033101863,4.69999980926514,2.9162420301221,Moldova
2016,2803186.0,2879.3912909285,171.18476868,6.35930898037934,4.01999998092651,1.08332195975069,Moldova
2017,2755189.0,3509.64733969975,243.94540405,6.57022997455605,3.89000010490417,1.54626673550381,Moldova
2018,2707203.0,4232.20688845801,276.47143555,3.04505397337073,2.91000008583069,2.56418465494324,Moldova
2019,2664224.0,4493.37030323867,284.30712891,4.83778351428719,5.09999990463257,4.23653315381358,Moldova
2020,2635130.0,4500.62446389838,,3.76597122245352,3.8199999332428,1.33046867650616,Moldova
2021,2615199.0,5230.66173289497,,5.10641129002835,3.23000001907349,2.86061604288928,Moldova
