Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,24889.0,16170.2090581377,,,,,Monaco
1973,25102.0,20857.0159787886,,,,,Monaco
1974,25262.0,22323.6351311948,,,,,Monaco
1975,25524.0,27892.2972205939,,,,,Monaco
1976,25898.0,28393.6949539598,,,,,Monaco
1977,26242.0,30914.2187100115,,,,,Monaco
1978,26553.0,37680.7040777554,,,,,Monaco
1979,26834.0,45088.2571884342,,,,,Monaco
1980,27076.0,50898.618540473,,,,,Monaco
1981,27284.0,44171.1635198658,,,,,Monaco
1982,27573.0,41461.9037403327,,,,,Monaco
1983,27985.0,39040.6210840353,,,,,Monaco
1984,28407.0,36516.1740497797,,,,,Monaco
1985,28807.0,37589.8592875686,,,,,Monaco
1986,29171.0,51942.3258787306,,,,,Monaco
1987,29500.0,62342.2235692011,,,,,Monaco
1988,29802.0,67132.2282778101,,,,,Monaco
1989,30078.0,66830.1366860053,,,,,Monaco
1990,30329.0,81813.3157692331,,,,,Monaco
1991,30564.0,81160.8063031905,,,,,Monaco
1992,30794.0,88887.2041649595,,,,,Monaco
1993,31024.0,82977.772340136,,,,,Monaco
1994,31253.0,87041.5646147119,,,,,Monaco
1995,31482.0,99436.5863054134,,,,,Monaco
1996,31719.0,98920.9398608916,,,,,Monaco
1997,31968.0,88844.3301134355,,,,,Monaco
1998,32209.0,91108.0270547585,,,,,Monaco
1999,32394.0,89710.8648718545,,,,,Monaco
2000,32465.0,81561.2459120623,1408.09423828,,,,Monaco
2001,32444.0,83801.8834302468,1431.13391113,,,,Monaco
2002,32386.0,91675.0144886917,1560.80944824,,,,Monaco
2003,32316.0,111440.805314787,2214.79492188,,,,Monaco
2004,32236.0,128363.118873309,2570.47680664,,,,Monaco
2005,32141.0,130770.1749637,2628.36108398,,,,Monaco
2006,32011.0,143169.170994535,2706.86279297,,,,Monaco
2007,31823.0,184392.319414517,3039.2565918,,,,Monaco
2008,31862.0,203266.91374496,3573.77270508,,,,Monaco
2009,32401.0,168255.709299413,3523.40356445,,,,Monaco
2010,33178.0,161782.675663128,3509.56616211,,,,Monaco
2011,33945.0,179372.76368395,3677.65063477,,,,Monaco
2012,34700.0,165505.178100056,3520.15454102,,,,Monaco
2013,35425.0,185066.578132655,3818.14013672,,,,Monaco
2014,36110.0,195780.006892569,3947.67919922,,,,Monaco
2015,36760.0,170337.924412652,3366.15014648,,,,Monaco
2016,37071.0,174610.636971733,2765.32958984,,,,Monaco
2017,37044.0,173612.864622391,2751.86694336,,,,Monaco
2018,37029.0,194280.82214105,2968.84912109,,,,Monaco
2019,37034.0,199377.481831603,2905.84375,,,,Monaco
2020,36922.0,182538.638340211,,,,,Monaco
2021,36686.0,234315.460503547,,,,,Monaco
