Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1363835.0,,,,,,Mongolia
1973,1402309.0,,,,,,Mongolia
1974,1443130.0,,,,,,Mongolia
1975,1485691.0,,,,,,Mongolia
1976,1529084.0,,,,,,Mongolia
1977,1572516.0,,,,,,Mongolia
1978,1615868.0,,,,,,Mongolia
1979,1657448.0,,,,,,Mongolia
1980,1697780.0,,,,,,Mongolia
1981,1739221.0,1328.23781451581,,,,0.0,Mongolia
1982,1781797.0,1432.48750184972,,,,0.0,Mongolia
1983,1825773.0,1492.92197514879,,,,0.0,Mongolia
1984,1871652.0,1121.32736213783,,,,0.0,Mongolia
1985,1919744.0,1138.95679580194,,,,0.0,Mongolia
1986,1969912.0,1470.20723091522,,,,0.00483395558234744,Mongolia
1987,2021502.0,1494.24121272203,,,,0.0,Mongolia
1988,2073771.0,1545.23405268309,,,,0.0,Mongolia
1989,2120825.0,1686.5921516391,,,,,Mongolia
1990,2161433.0,1184.76291423329,,,,,Mongolia
1991,2200077.0,1081.33411981298,,,5.93300008773804,0.467419682185497,Mongolia
1992,2236494.0,589.14169403082,,,5.93699979782104,0.151789768661953,Mongolia
1993,2270311.0,338.456552496364,,268.150488882784,5.76399993896484,1.00208011770717,Mongolia
1994,2301510.0,402.265074762866,,87.5800093298081,5.61700010299683,0.745287601406598,Mongolia
1995,2330334.0,623.157455213889,,0.0435161009571708,5.5,0.674854439037465,Mongolia
1996,2357033.0,570.937900470138,,46.8899521531102,5.69199991226196,1.18152410859671,Mongolia
1997,2381771.0,495.821891709157,,36.5561148948773,5.73999977111816,2.11696806984845,Mongolia
1998,2405148.0,467.513952978486,,9.35704217716549,5.84299993515015,1.680836310971,Mongolia
1999,2428488.0,435.418494422327,,7.56494150307375,5.93900012969971,2.87495300542926,Mongolia
2000,2450979.0,463.853881903101,27.00856018,11.5955387593327,6.08599996566772,4.72312279765318,Mongolia
2001,2472601.0,512.819469988285,26.48761559,6.27736020484005,6.14300012588501,4.9684623527528,Mongolia
2002,2494617.0,559.827709012681,29.65744781,0.917074687184283,6.19999980926514,5.56733962619427,Mongolia
2003,2516454.0,633.946559636492,26.50799942,5.12899499422415,6.80000019073486,8.24548473819777,Mongolia
2004,2537949.0,784.912071951003,33.172966,8.24115449417619,6.81500005722046,4.66450219552693,Mongolia
2005,2559255.0,986.01801384029,37.50867462,12.7165674066053,7.04199981689453,7.43499570413203,Mongolia
2006,2581242.0,1322.64063815551,50.02914047,5.09516661663158,7.1269998550415,7.18968965931054,Mongolia
2007,2605643.0,1625.31851957785,66.53733063,9.6309630963096,7.19999980926514,8.80188702602587,Mongolia
2008,2633887.0,2134.94977152342,97.36168671,27.9556650246306,5.55999994277954,15.0216154252614,Mongolia
2009,2666713.0,1718.91402182752,76.45706177,7.61950593519411,5.8600001335144,13.6044846187851,Mongolia
2010,2702520.0,2660.28811038323,98.84479523,10.0462065881651,6.55000019073486,23.5263371265589,Mongolia
2011,2743938.0,3793.74375416147,134.75062561,8.41121495327101,4.76999998092651,43.9121116164398,Mongolia
2012,2792349.0,4402.30452253522,167.76242065,14.3303348325837,3.90000009536743,34.7559826105722,Mongolia
2013,2845153.0,4422.30087597824,177.53170776,10.4906567588242,4.23000001907349,16.3700755247253,Mongolia
2014,2902823.0,4211.93945414035,173.68382263,12.253980812976,4.80000019073486,2.76258832349848,Mongolia
2015,2964749.0,3919.35114779589,166.08276367,5.73568281938328,4.8600001335144,0.811709474228883,Mongolia
2016,3029555.0,3690.75671558111,161.90859985,0.733272227314381,7.23999977111816,-37.1726538587502,Mongolia
2017,3096030.0,3708.24822282688,146.96208191,4.30143105302342,6.3600001335144,13.0160280548842,Mongolia
2018,3163991.0,4165.02273851435,159.37991333,6.82424790145521,5.38000011444092,14.8088800078253,Mongolia
2019,3232430.0,4394.94714713374,163.44186401,7.30106953550724,5.44299983978271,17.1989395329724,Mongolia
2020,3294335.0,4041.17419587656,,3.79604026111249,6.59000015258789,12.9130798334523,Mongolia
2021,3347782.0,4566.14015433014,,7.35281243380224,7.75,14.2177318674182,Mongolia
