Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,521785.0,,,,,,Montenegro
1973,530220.0,,,,,,Montenegro
1974,538902.0,,,,,,Montenegro
1975,546487.0,,,,,,Montenegro
1976,552562.0,,,,,,Montenegro
1977,557576.0,,,,,,Montenegro
1978,562065.0,,,,,,Montenegro
1979,566888.0,,,,,,Montenegro
1980,572608.0,,,,,,Montenegro
1981,579445.0,,,,,,Montenegro
1982,587001.0,,,,,,Montenegro
1983,594506.0,,,,,,Montenegro
1984,600884.0,,,,,,Montenegro
1985,605398.0,,,,,,Montenegro
1986,607711.0,,,,,,Montenegro
1987,608144.0,,,,,,Montenegro
1988,607413.0,,,,,,Montenegro
1989,606571.0,,,,,,Montenegro
1990,606372.0,,,,,,Montenegro
1991,607105.0,,,,26.0750007629395,,Montenegro
1992,608516.0,,,,25.875,,Montenegro
1993,610170.0,,,,25.6720008850098,,Montenegro
1994,611389.0,,,,27.1840000152588,,Montenegro
1995,611712.0,,,,27.8889999389648,,Montenegro
1996,611003.0,,,,28.6389999389648,,Montenegro
1997,609520.0,,,,28.1189994812012,,Montenegro
1998,607662.0,,,,28.32200050354,,Montenegro
1999,606001.0,,,,28.0669994354248,,Montenegro
2000,604950.0,1627.07263304394,,,28.80299949646,,Montenegro
2001,607389.0,1909.59870186179,,,29.011999130249,,Montenegro
2002,609828.0,2106.6350684523,,,29.3360004425049,,Montenegro
2003,612267.0,2789.15906483509,,,29.6599998474121,,Montenegro
2004,613353.0,3380.16512135859,,,30.0279998779297,,Montenegro
2005,614261.0,3674.6179242797,,,30.3099994659424,,Montenegro
2006,615025.0,4425.67887307803,,2.92451258123646,24.9659996032715,,Montenegro
2007,615875.0,5976.39414454596,,4.34712215656114,19.3999996185303,25.466751541088,Montenegro
2008,616969.0,7367.75190910882,,8.75872769588797,17.1499996185303,21.454940864611,Montenegro
2009,618294.0,6727.10776676969,,3.46672373207794,19.0900001525879,37.2724834925981,Montenegro
2010,619428.0,6688.48239970574,,0.65494657014848,19.6499996185303,18.3019142754748,Montenegro
2011,620079.0,7328.93225247529,578.4375,3.45014311248693,19.7600002288818,12.2490907110616,Montenegro
2012,620601.0,6586.7212793222,541.67297363,4.14524724981109,19.8099994659424,15.1215254413149,Montenegro
2013,621207.0,7189.29328653737,603.71411133,2.20589268141181,19.5900001525879,9.99670998289093,Montenegro
2014,621810.0,7388.14779373126,585.79003906,-0.71051405171022,18.0499992370605,10.8182605724,Montenegro
2015,622159.0,6517.16375162528,583.29150391,1.54869158222488,17.5499992370605,17.2603055675377,Montenegro
2016,622303.0,7033.60489868635,601.97869873,-0.27138502338526,17.7299995422363,5.17936199411106,Montenegro
2017,622373.0,7803.41113682269,616.28491211,2.38023599053136,16.0799999237061,11.5443248102241,Montenegro
2018,622227.0,8850.09273291116,731.4810791,2.61122378263797,15.1899995803833,8.81920659816217,Montenegro
2019,622028.0,8909.65333601178,735.15887451,0.361563704540798,15.1300001144409,7.53492968014838,Montenegro
2020,621306.0,7677.15222569996,,-0.255655699848551,17.8799991607666,11.1303671184044,Montenegro
2021,619211.0,9465.70399879557,,2.41080198403167,16.8700008392334,11.8360189488293,Montenegro
