Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,16081438.0,313.998260498047,,3.75917055722267,,0.256202184621975,Morocco
1973,16489452.0,376.78125,,4.08461403612971,,0.0879500741145265,Morocco
1974,16902383.0,452.056915283203,,17.5568227452454,,-0.265783898518247,Morocco
1975,17325325.0,516.60107421875,,7.91828926702742,,0.0558719881210349,Morocco
1976,17756516.0,537.81005859375,,8.50215244349303,,0.396636898788792,Morocco
1977,18206472.0,604.349670410156,,12.5970009920069,,0.0723450766940942,Morocco
1978,18679859.0,705.188354492188,,9.71603274954343,,0.0888427729836771,Morocco
1979,19167661.0,825.64990234375,,8.33136541815458,,0.0467413662962662,Morocco
1980,19678444.0,1097.677734375,,9.40837947437954,,0.411510740652272,Morocco
1981,20208260.0,874.786254882813,,12.4925283921001,,0.329327470553492,Morocco
1982,20746765.0,847.328979492188,,10.5278072972983,,0.449506232634161,Morocco
1983,21287381.0,758.470031738281,,6.20793538870312,,0.283812171633858,Morocco
1984,21817271.0,675.019287109375,,12.4475693291854,,0.316964971498771,Morocco
1985,22335077.0,666.7158203125,,7.72863890085921,,0.133245210382206,Morocco
1986,22824446.0,846.909790039063,,8.73355918706673,,0.00282179400310231,Morocco
1987,23279935.0,928.500915527344,,2.69873997713768,,0.273715535361853,Morocco
1988,23720590.0,1076.0927734375,,2.36905505487641,,0.329354802876929,Morocco
1989,24148104.0,1081.96142578125,,3.2599694922639,,0.634850779948884,Morocco
1990,24570814.0,1219.4306640625,,6.78259401511007,,0.5471251949134,Morocco
1991,24988083.0,1282.57214355469,,7.98616600790509,12.7229995727539,0.98329974831628,Morocco
1992,25400676.0,1317.32995605469,,5.74024662868742,13.1219997406006,1.25320990888604,Morocco
1993,25806777.0,1217.42907714844,,5.18311396030803,13.210000038147,1.55254686699352,Morocco
1994,26201551.0,1348.5390625,,5.14167152953361,13.0019998550415,1.5473605424266,Morocco
1995,26599048.0,1455.95031738281,,6.12358164775524,13.6120004653931,0.85771412858708,Morocco
1996,26999093.0,1585.71838378906,,2.98680922773017,13.1940002441406,0.82803932585896,Morocco
1997,27397118.0,1416.900390625,,1.03819895051612,13.75,2.75709006484814,Morocco
1998,27791825.0,1491.13977050781,,2.75311330764476,13.6090002059937,0.738435976797525,Morocco
1999,28176997.0,1464.14880371094,,0.684782608695663,13.9399995803833,1.98638902453115,Morocco
2000,28554415.0,1348.0498046875,53.68618393,1.89463456763465,13.5799999237061,1.09774435707875,Morocco
2001,28930097.0,1350.71203613281,55.9498291,0.619801875297958,12.460000038147,7.15810245415447,Morocco
2002,29301817.0,1426.95751953125,63.52367401,2.79561966936937,11.5900001525879,1.13729089157408,Morocco
2003,29661270.0,1737.06384277344,79.60365295,1.16773367477591,11.9200000762939,4.44227721589327,Morocco
2004,30033125.0,1964.080078125,93.63453674,1.49344403381773,10.8299999237061,1.49821401864991,Morocco
2005,30431902.0,2026.02587890625,97.53405762,0.982641660015965,11.0100002288818,2.67970595247575,Morocco
2006,30833022.0,2200.96606445313,110.10379791,3.28476166954809,9.67000007629395,3.58501977058584,Morocco
2007,31232633.0,2501.22241210938,137.54327393,2.04208512673349,9.5600004196167,3.57509499424191,Morocco
2008,31634992.0,2889.22094726563,155.53877258,3.71484311494066,9.56999969482422,2.66604849874858,Morocco
2009,32042877.0,2863.5966796875,169.95036316,0.971862998667619,8.96000003814697,2.12096959529347,Morocco
2010,32464865.0,2835.2177734375,169.00949097,0.99355740122642,9.09000015258789,1.33090448180717,Morocco
2011,32903699.0,3041.14575195313,177.28041077,0.906924909691796,8.90999984741211,2.48727462132161,Morocco
2012,33352169.0,2907.44921875,169.95767212,1.28712240079215,8.98999977111816,2.89209442103955,Morocco
2013,33803527.0,3117.51513671875,180.20198059,1.88065466724083,9.22999954223633,3.14616379903882,Morocco
2014,34248603.0,3430.54956054688,169.92953491,0.442310053557078,9.69999980926514,2.95924132986015,Morocco
2015,34680458.0,3139.24365234375,147.85618591,1.55790711346266,9.46000003814697,2.94609660128252,Morocco
2016,35107264.0,3132.94458007813,154.1124115,1.63531114327061,9.30000019073486,1.93001012545147,Morocco
2017,35528115.0,3288.50219726563,161.36483765,0.754663249323633,9.22500038146973,2.26092242775974,Morocco
2018,35927511.0,3492.67333984375,174.78184509,1.8039167114189,9.23900032043457,2.78337877531639,Morocco
2019,36304408.0,3498.57397460938,174.22377014,0.303386036590361,9.24199962615967,1.33480122674375,Morocco
2020,36688772.0,3258.12133789063,,0.705968661338317,11.1140003204346,1.16912639802277,Morocco
2021,37076584.0,3795.38012695313,,1.4019588396201,10.5419998168945,1.50549107029304,Morocco
