Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,8860585.0,,,,,,Mozambique
1973,9123668.0,,,,,,Mozambique
1974,9404221.0,,,,,,Mozambique
1975,9703732.0,,,,,,Mozambique
1976,10019210.0,,,,,,Mozambique
1977,10363575.0,,,,,,Mozambique
1978,10741128.0,,,,,,Mozambique
1979,11127844.0,,,,,,Mozambique
1980,11413587.0,,,,,,Mozambique
1981,11640015.0,,,,,,Mozambique
1982,11901827.0,,,,,,Mozambique
1983,12163328.0,,,,,,Mozambique
1984,12426223.0,,,,,,Mozambique
1985,12680065.0,,,,,,Mozambique
1986,12909797.0,,,,,,Mozambique
1987,12964793.0,,,,,,Mozambique
1988,12956772.0,,,,,,Mozambique
1989,13087604.0,,,,,,Mozambique
1990,13303459.0,,,,,,Mozambique
1991,13561175.0,267.927083370796,,,2.76500010490417,0.619253658923114,Mozambique
1992,13816881.0,191.067233665047,,,2.84200000762939,0.958350311180974,Mozambique
1993,14206254.0,192.137251036746,,,2.71799993515015,1.17235416351906,Mozambique
1994,14912873.0,187.525903189267,,,2.74399995803833,1.25154208826712,Mozambique
1995,15594830.0,185.954116951634,,,2.77099990844727,1.55176542470446,Mozambique
1996,16079553.0,239.857404255013,,,2.7039999961853,1.87979679862732,Mozambique
1997,16521724.0,281.376942507172,,,2.70000004768372,1.38529414377903,Mozambique
1998,16923195.0,311.045137758259,,,2.74699997901917,4.46248984904595,Mozambique
1999,17337893.0,344.702095218413,,,2.7720000743866,6.38677943514461,Mozambique
2000,17768505.0,318.342688504828,7.08691597,,2.88599991798401,2.46266505529666,Mozambique
2001,18220716.0,296.287398565178,8.61284161,,2.84299993515015,4.73154113605108,Mozambique
2002,18694946.0,303.665131704251,10.01789761,,2.90000009536743,6.11683340422391,Mozambique
2003,19186754.0,328.528272360914,11.07119751,,2.95499992370605,5.34154383120215,Mozambique
2004,19694411.0,387.476453769634,14.07469845,,2.98499989509583,6.23124180415122,Mozambique
2005,20211114.0,422.642220993313,18.23710632,6.42755278070085,3.03099989891052,1.43306896346897,Mozambique
2006,20735982.0,442.558691959849,17.79965973,13.2450879071,3.04500007629395,2.73667523190868,Mozambique
2007,21280513.0,491.099217922663,18.95361328,8.4894867549745,3.09699988365173,3.98713612678479,Mozambique
2008,21845571.0,574.770748203202,23.89216423,14.5028053002268,3.14100003242493,5.10823068732465,Mozambique
2009,22436660.0,531.026966453526,27.08139992,3.78861330914626,3.19000005722046,7.80647641821586,Mozambique
2010,23073723.0,481.268179955248,25.66654205,12.4255421735156,3.22900009155273,11.3326691720073,Mozambique
2011,23760421.0,605.273468552994,29.74784279,11.1666056127874,3.26300001144409,25.4766454145602,Mozambique
2012,24487611.0,667.717424253901,34.50271606,2.60245456956622,3.30399990081787,34.4637026501129,Mozambique
2013,25251731.0,672.204236256964,40.67847824,4.26135250941965,3.34699988365173,39.4562033415655,Mozambique
2014,26038704.0,680.375033549628,42.67788315,2.55974875844296,3.3840000629425,28.2161639332867,Mozambique
2015,26843246.0,594.226533517809,39.61871719,3.55075967356746,3.4300000667572,24.2515290472658,Mozambique
2016,27696493.0,430.993168816685,30.76436615,17.4180418197597,3.4539999961853,26.2054964944833,Mozambique
2017,28569441.0,462.700136882846,35.80190659,15.1132073899385,3.45300006866455,17.5433632589396,Mozambique
2018,29423878.0,504.53588998541,40.72650528,3.91133439990733,3.45499992370605,11.3035749271238,Mozambique
2019,30285595.0,508.163674567861,39.46094131,2.78110631182942,3.46499991416931,21.9578981123618,Mozambique
2020,31178239.0,449.95520984244,,3.14169129409215,3.77600002288818,22.7242507639605,Mozambique
2021,32077072.0,491.839112773674,,5.68848699126617,3.93899989128113,33.5645377386061,Mozambique
