Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,28551949.0,22.2235285270356,,7.64262648008593,,0.0441274932534655,Myanmar
1973,29165356.0,22.8709284087588,,25.1999999992502,,0.00449748970975687,Myanmar
1974,29751936.0,33.6300114921021,,25.2116613422038,,0.10194312087727,Myanmar
1975,30344276.0,37.1893815830384,,31.6556629348014,,0.293313638506387,Myanmar
1976,30941375.0,37.3479176373103,,22.3844016992292,,0.0,Myanmar
1977,31554598.0,31.7022174351319,,-1.15668724252863,,0.00599789637655221,Myanmar
1978,32185601.0,28.4883498477913,,-6.04470612570266,,0.0,Myanmar
1979,32821779.0,28.0157023675162,,5.67229502887825,,0.0,Myanmar
1980,33465781.0,30.1979148634296,,0.608153083899641,,0.0376015437552219,Myanmar
1981,34110098.0,31.2185461733088,,0.318444733265888,,0.0,Myanmar
1982,34742586.0,37.4958138313,,5.30474040537996,,0.0,Myanmar
1983,35424262.0,40.2890492341473,,5.65008336345437,,-0.0294280483124742,Myanmar
1984,36159838.0,37.464195638056,,4.84631154769051,,0.0575773554785074,Myanmar
1985,36881020.0,35.5423275782062,,6.80756655768336,,0.0,Myanmar
1986,37572340.0,42.3209403239596,,9.32546190007651,,0.00880449565160755,Myanmar
1987,38233171.0,37.872971715123,,24.7599999999999,,-0.106353311772534,Myanmar
1988,38868270.0,35.8273661993536,,16.0428021801855,,0.0,Myanmar
1989,39489419.0,42.4119511827339,,27.1985264490888,,0.466116656061289,Myanmar
1990,40099553.0,50.7829481961904,,17.6267750314504,,7.91331052576588,Myanmar
1991,40680533.0,52.535812597248,,32.2720382866416,0.73199999332428,11.1388021011768,Myanmar
1992,41237813.0,53.7388483020047,,21.9132104007913,0.703999996185303,7.74156594625282,Myanmar
1993,41788302.0,67.2376778337817,,31.83160687276,0.677999973297119,3.72539525685172,Myanmar
1994,42337109.0,90.26444814209,,24.0987860757019,0.688000023365021,3.2995074691475,Myanmar
1995,42880186.0,113.788168917253,,25.1947123972847,0.685999989509583,5.68117546064244,Myanmar
1996,43423369.0,132.638827315956,,16.2753966377374,0.691999971866608,5.38988369523778,Myanmar
1997,43972046.0,128.105719768877,,29.6972325791529,0.699000000953674,6.87341173793115,Myanmar
1998,44516185.0,103.626838073267,,51.4875497504079,0.703000009059906,6.81652125430066,Myanmar
1999,45041636.0,125.302257881552,,18.4010433741609,0.683000028133392,4.48473132448334,Myanmar
2000,45538332.0,150.407828858471,4.33537483,-0.109165514668512,0.653999984264374,3.71992700357256,Myanmar
2001,46014826.0,135.179705609143,4.48454952,21.1013053769229,0.656000018119812,3.34878619732725,Myanmar
2002,46480230.0,131.467354134561,6.86361122,57.0745112621703,0.662999987602234,2.46310372951057,Myanmar
2003,46924293.0,165.25869506597,6.37247419,36.5897175323924,0.656000018119812,3.20946261367559,Myanmar
2004,47338446.0,198.376923858792,6.79912138,4.53421374129695,0.652999997138977,2.25074594671601,Myanmar
2005,47724471.0,221.86590751011,7.41623688,9.36861814196702,0.656000018119812,2.21849991873256,Myanmar
2006,48088274.0,246.692495457278,8.21358681,19.9964873359215,0.66100001335144,2.32497912572053,Myanmar
2007,48445647.0,321.828348060028,9.61486912,35.0245970717698,0.669000029563904,4.55335580398751,Myanmar
2008,48729486.0,472.260590479084,14.25486851,26.7995371934022,0.681999981403351,3.75387760394163,Myanmar
2009,49015836.0,600.931617175435,18.11137199,1.47234311385647,0.689999997615814,3.66310010213387,Myanmar
2010,49390988.0,765.241888636197,19.6023674,7.71838195873614,0.695999979972839,2.38420010771402,Myanmar
2011,49794522.0,1086.83846738793,26.56099129,5.02146014620726,0.718999981880188,4.65609461687161,Myanmar
2012,50218185.0,1161.30596207229,36.11348343,1.46758322674678,0.731000006198883,2.2871851542845,Myanmar
2013,50648334.0,1195.93779969734,36.53030014,5.64303883425513,0.722000002861023,3.72217261268863,Myanmar
2014,51072436.0,1238.72871010838,52.62075806,4.95329918484382,0.72299998998642,3.43794984643436,Myanmar
2015,51483949.0,1224.56234328693,61.70107269,9.45417189525996,0.769999980926514,6.47762604506604,Myanmar
2016,51892349.0,1161.86177838933,57.93581772,6.92882525816124,0.994000017642975,5.43705751194465,Myanmar
2017,52288341.0,1175.20255722301,57.859272,4.57253655317505,1.36000001430511,7.81825877614867,Myanmar
2018,52666014.0,1274.91565681381,59.20605469,6.87232865662918,0.769999980926514,2.63340940138882,Myanmar
2019,53040212.0,1295.2014475589,60.01587296,8.82506696804562,0.409999996423721,2.52641342173559,Myanmar
2020,53423198.0,1477.45287032594,,,1.48000001907349,2.41625215462419,Myanmar
2021,53798084.0,1209.92694225482,,,,3.17491299584697,Myanmar
