Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,800610.0,,,,,,Namibia
1973,824918.0,,,,,,Namibia
1974,850091.0,,,,,,Namibia
1975,876572.0,,,,,,Namibia
1976,901840.0,,,,,,Namibia
1977,926109.0,,,,,,Namibia
1978,942023.0,,,,,,Namibia
1979,957334.0,,,,,,Namibia
1980,975994.0,2481.67107031596,,,,,Namibia
1981,987394.0,2278.57850055059,,,,,Namibia
1982,1005520.0,2107.11022045397,,,,,Namibia
1983,1033085.0,2223.82542341675,,,,,Namibia
1984,1061995.0,1837.32467438105,,,,,Namibia
1985,1093311.0,1470.96234311685,,,,1.01727418611776,Namibia
1986,1127989.0,1603.80452446837,,,,0.497492125130323,Namibia
1987,1165430.0,1973.61102520285,,,,-0.00739096533677165,Namibia
1988,1207949.0,2065.53391529499,,,,-0.0605195957398928,Namibia
1989,1288070.0,1968.14890920986,,,,-0.0189340630153581,Namibia
1990,1369011.0,2037.92701298299,,,,1.05977967459705,Namibia
1991,1415617.0,2117.0172166262,,,19.1399993896484,4.01916775504162,Namibia
1992,1461687.0,2346.28790867118,,,19.1979999542236,3.44746765775565,Namibia
1993,1509834.0,2153.36958958802,,,19.4409999847412,1.69989565832327,Namibia
1994,1558449.0,2352.6605390736,,,19.3999996185303,2.67224675639869,Namibia
1995,1605370.0,2478.24349092473,,,21.0510005950928,3.84606068711877,Namibia
1996,1650066.0,2417.60551509769,,,22.7740001678467,3.2260507830516,Namibia
1997,1693242.0,2453.84634078524,,,24.4500007629395,2.18950539775721,Namibia
1998,1735953.0,2231.10801732902,,,23.0879993438721,2.48463566039633,Namibia
1999,1778277.0,2175.44375772102,,,21.6949996948242,1.32098731337633,Namibia
2000,1819141.0,2156.09894442246,209.92295837,,20.2999992370605,5.00607722332761,Namibia
2001,1856402.0,1916.25163316348,185.40504456,,20.8560009002686,10.6635034600118,Namibia
2002,1888525.0,1773.43946202747,176.70791626,,21.2719993591309,4.40512450172659,Namibia
2003,1915425.0,2571.99905728554,259.25112915,7.13615311458628,21.7959995269775,1.32165363843892,Namibia
2004,1939406.0,3407.84695559523,352.80941772,4.13663213144747,22.0900001525879,3.38257808355666,Namibia
2005,1962865.0,3692.76244691052,380.74908447,2.28194607024306,22.3279991149902,5.3784435802808,Namibia
2006,1986558.0,4027.96170615871,410.65447998,4.96116689298916,22.181999206543,7.62577614409134,Namibia
2007,2011492.0,4394.51235778035,466.23529053,6.54788141101717,22.2029991149902,7.57034788032489,Namibia
2008,2038552.0,4222.34768017609,412.39468384,9.09464307192811,22.2530002593994,8.71830934554212,Namibia
2009,2067919.0,4322.63940966336,383.7663269,9.45172651521703,22.2929992675781,9.27471418102198,Namibia
2010,2099271.0,5445.38291979955,517.32818604,4.87491987643953,22.1200008392334,2.51527042414474,Namibia
2011,2132340.0,5873.0794942491,562.71508789,5.00559518081198,19.4599990844727,6.41679124815703,Namibia
2012,2167470.0,6017.15706904775,550.65063477,6.72199777334885,16.7700004577637,7.98615871472982,Namibia
2013,2204510.0,5463.01736050918,488.76593018,5.60092502290408,19.0300006866455,6.45234419999981,Namibia
2014,2243001.0,5544.09742281386,459.96029663,5.35016966859592,18.5200004577637,3.58317120702056,Namibia
2015,2282704.0,4965.68085962392,488.73565674,3.39401538410559,20.8950004577637,7.40066849583182,Namibia
2016,2323352.0,4614.88172099748,423.8866272,6.72858234593346,23.3500003814697,3.34571187953272,Namibia
2017,2364534.0,5453.57062209566,468.04055786,6.14579981111162,21.6560001373291,2.17505733802828,Namibia
2018,2405680.0,5687.3990933188,464.48406982,4.29159105337873,19.8799991607666,1.71299267783656,Namibia
2019,2446644.0,5126.17614357634,427.25622559,3.72239414422688,20.0020008087158,-1.40710630862618,Namibia
2020,2489098.0,4251.17276622988,,2.20938236933476,21.2360000610352,-1.41918958056163,Namibia
2021,2530151.0,4865.55776470864,,3.61690530108811,21.2679996490479,5.27283345252031,Namibia
