Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6883.0,,,,,,Nauru
1973,6990.0,,,,,,Nauru
1974,7096.0,,,,,,Nauru
1975,7199.0,,,,,,Nauru
1976,7306.0,,,,,,Nauru
1977,7441.0,,,,,,Nauru
1978,7541.0,,,,,,Nauru
1979,7586.0,,,,,,Nauru
1980,7635.0,,,,,,Nauru
1981,7691.0,,,,,,Nauru
1982,7672.0,,,,,,Nauru
1983,7832.0,,,,,,Nauru
1984,8125.0,,,,,,Nauru
1985,8313.0,,,,,,Nauru
1986,8527.0,,,,,,Nauru
1987,8759.0,,,,,,Nauru
1988,9022.0,,,,,,Nauru
1989,9306.0,,,,,,Nauru
1990,9598.0,,,,,,Nauru
1991,9902.0,,,,,,Nauru
1992,10129.0,,,,,,Nauru
1993,10226.0,,,,,,Nauru
1994,10274.0,,,,,,Nauru
1995,10316.0,,,,,,Nauru
1996,10345.0,,,,,,Nauru
1997,10363.0,,,,,,Nauru
1998,10377.0,,,,,,Nauru
1999,10383.0,,,,,,Nauru
2000,10377.0,,456.1725769,,,,Nauru
2001,10363.0,,346.12976074,,,,Nauru
2002,10351.0,,298.30621338,,,,Nauru
2003,10344.0,,275.37774658,,,,Nauru
2004,10335.0,,219.68699646,,,,Nauru
2005,10318.0,,335.60723877,,,,Nauru
2006,10294.0,,371.0635376,,,,Nauru
2007,10267.0,,597.42858887,,,,Nauru
2008,10243.0,,819.35687256,,,,Nauru
2009,10233.0,,579.8527832,,,,Nauru
2010,10241.0,4644.51912812089,628.58972168,,,,Nauru
2011,10283.0,6423.74867940431,673.38220215,0.300300300300307,,,Nauru
2012,10444.0,9280.65889360803,884.76080322,-0.124750499001994,,,Nauru
2013,10694.0,9210.00969180832,856.9418335,,,,Nauru
2014,10940.0,9566.21254009628,793.54376221,,,,Nauru
2015,11185.0,7736.22363607495,1033.64709473,,,,Nauru
2016,11437.0,8719.36652643846,1045.15527344,,,,Nauru
2017,11682.0,9361.3833433668,1215.30480957,,,,Nauru
2018,11924.0,10400.9890716548,967.13873291,,,,Nauru
2019,12132.0,9786.02652564979,1049.44702148,,,,Nauru
2020,12315.0,9307.88676841439,,,,,Nauru
2021,12511.0,10648.1413901852,,,,,Nauru
