Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,13052220.0,78.4616567096074,,8.3890238963018,,0.00292940484407735,Nepal
1973,13335963.0,72.8932530028291,,11.42977252586,,-0.00102869892552116,Nepal
1974,13626301.0,89.3825512129841,,19.8063380280849,,0.0205262344053027,Nepal
1975,13925541.0,113.158207244471,,7.58598521352967,,,Nepal
1976,14230738.0,102.088380034025,,-3.11323573327195,,-0.00275331725165757,Nepal
1977,14550430.0,95.0075014965194,,9.89885284313485,,0.0,Nepal
1978,14888770.0,107.743117628888,,7.34609125083294,,0.025558507984654,Nepal
1979,15238564.0,121.484544628571,,3.56545378520239,,0.0162052666387339,Nepal
1980,15600442.0,124.734708371297,,14.6845027763768,,0.0154168992941159,Nepal
1981,15969792.0,142.492984045545,,11.1448567278443,,-0.0101072985689186,Nepal
1982,16347124.0,146.535246960307,,11.6985465924139,,-0.00125238482644597,Nepal
1983,16740664.0,146.181465883188,,12.3772380782713,,-0.0245180687203791,Nepal
1984,17141610.0,150.581385750644,,2.84578495716263,,0.0368044816736236,Nepal
1985,17540571.0,149.363094024451,,8.0526412661963,,0.0248099750998154,Nepal
1986,17936926.0,158.933839799367,,18.9989495502395,,0.041041330567278,Nepal
1987,18326204.0,161.36759033912,,10.750328044985,,0.0470030390210917,Nepal
1988,18720745.0,186.264475497977,,8.98300338208987,,0.0195009492107248,Nepal
1989,19145077.0,184.132357011341,,8.84688691232553,,0.011914122483729,Nepal
1990,19616530.0,184.923755764157,,8.2397003745321,,0.163746321652356,Nepal
1991,20130779.0,194.800016675496,,15.5574529276948,10.5719995498657,0.0566113359342816,Nepal
1992,20702133.0,164.29280892417,,17.149523624344,10.5069999694824,0.0,Nepal
1993,21267359.0,172.096670144453,,7.50539419087102,10.5019998550415,0.0,Nepal
1994,21794751.0,186.594263462982,,8.34928672883387,10.6379995346069,0.0,Nepal
1995,22305571.0,197.30965047569,,7.62296950698166,10.4989995956421,0.0,Nepal
1996,22783969.0,198.454465131663,,9.22046662376983,10.5600004196167,0.423749430010865,Nepal
1997,23249417.0,211.561946544086,,4.00998860523182,10.5559997558594,0.468752021000606,Nepal
1998,23703328.0,204.876506977866,,11.2444677818614,10.4989995956421,0.247611787038703,Nepal
1999,24143157.0,208.491473758215,,7.4511126095755,10.5450000762939,0.0864397656827158,Nepal
2000,24559500.0,223.711891850609,8.55345249,2.47882020709133,10.6040000915527,-0.00882425294523833,Nepal
2001,24956071.0,240.705159164552,10.52144337,2.6883037354563,10.5659999847412,0.347091875363344,Nepal
2002,25332178.0,238.861254119722,10.71954441,3.02939948714895,10.423999786377,-0.0983748686510899,Nepal
2003,25682908.0,246.48583783973,11.33715725,5.70700931874738,10.5369997024536,0.233443620739643,Nepal
2004,26003965.0,279.724200317908,13.22838974,2.84181131248977,10.5579996109009,-0.00573755737053385,Nepal
2005,26285110.0,309.310405833077,14.45738506,6.83633265892876,10.5200004577637,0.0301562963265729,Nepal
2006,26518971.0,341.028140039374,13.94222355,6.92033580707588,10.5150003433228,-0.073509433259411,Nepal
2007,26713655.0,386.529586362442,17.40269661,2.26921924439076,10.5139999389648,0.0556064154566332,Nepal
2008,26881544.0,466.693379122712,19.09256172,9.9078300530648,10.5930004119873,0.00793215735192788,Nepal
2009,27026941.0,475.63597612014,21.09090996,11.0948237386987,10.5419998168945,0.297715388957694,Nepal
2010,27161567.0,589.165434913038,29.98280716,9.32650410745393,10.5480003356934,0.548294665887946,Nepal
2011,27266399.0,791.225217045595,34.68226624,9.22707546125953,10.5030002593994,0.435815131673149,Nepal
2012,27330694.0,794.09276990798,34.3300705,9.45980980357129,10.5310001373291,0.423691401450373,Nepal
2013,27381555.0,809.384600551033,36.02222443,9.04016311917647,10.5019998550415,0.334712269709198,Nepal
2014,27462106.0,827.744345971451,43.16950226,8.36415469659556,10.576000213623,0.133746295080469,Nepal
2015,27610325.0,882.307448776577,47.8875351,7.86890895590905,10.5120000839233,0.21302957909831,Nepal
2016,27861186.0,880.224488097816,48.31941986,8.79034332004629,10.4029998779297,0.432213143140212,Nepal
2017,28183426.0,1027.96548628326,50.3108139,3.62709610696609,10.6599998474121,0.677439877802866,Nepal
2018,28506712.0,1161.53437379778,51.13627625,4.0611633875107,10.6230001449585,0.206157197973827,Nepal
2019,28832496.0,1185.68267540752,53.24640274,5.56868547784925,10.5989999771118,0.542801816254912,Nepal
2020,29348627.0,1139.19027666733,,5.05236655289216,13.0780000686646,0.378738964407436,Nepal
2021,30034989.0,1208.21853383767,,4.08791045882441,12.2229995727539,0.54100951178267,Nepal
