Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,13328593.0,4104.45102978895,,7.80279219256613,,1.37927425168739,Netherlands
1973,13439322.0,5345.57544377587,,8.02220995878924,,1.55760200369544,Netherlands
1974,13545056.0,6440.97842006268,,9.59142267268517,,1.26441001184009,Netherlands
1975,13666335.0,7335.5089973343,,10.2174757948242,,1.22930994202517,Netherlands
1976,13774037.0,7925.6880622655,,8.83065158603149,,0.532293770402641,Netherlands
1977,13856185.0,9166.80819524307,,6.39929487406091,,0.476548411436739,Netherlands
1978,13941700.0,11179.3895620565,,4.11201196269292,,0.694307415024507,Netherlands
1979,14038270.0,12798.5432457441,,4.19929990168351,,0.954617271947057,Netherlands
1980,14149800.0,13791.8622639458,,6.51345545521795,,1.1674883211396,Netherlands
1981,14247208.0,11520.4478716306,,6.73892655204789,,1.09608977647904,Netherlands
1982,14312690.0,11072.6584545573,,5.91109658468382,,0.774546109354375,Netherlands
1983,14367070.0,10680.3590423923,,2.74084033162254,,0.885002319845616,Netherlands
1984,14424211.0,9977.1602168293,,3.30164075759306,,1.19304182672199,Netherlands
1985,14491632.0,9926.1299705666,,2.25858442988615,,1.04599934541147,Netherlands
1986,14572278.0,13783.8501091364,,0.0833467771085985,,1.55781920279632,Netherlands
1987,14665037.0,16709.5596773838,,-0.69121048141158,,1.23610804633343,Netherlands
1988,14760094.0,17744.5013844684,,0.737950688332387,,1.82556745220186,Netherlands
1989,14848907.0,17397.6916825595,,1.08215810253293,,3.31323757551726,Netherlands
1990,14951510.0,21290.8603827045,,2.45409184818342,,3.35363696939207,Netherlands
1991,15069798.0,21732.2307621923,,3.15820041477126,7.28000020980835,1.71719506801883,Netherlands
1992,15184166.0,23904.037415058,,3.18358181761553,5.55999994277954,1.70444912887163,Netherlands
1993,15290368.0,23122.4107668645,,2.58418448671794,6.28999996185303,1.80463894844702,Netherlands
1994,15382838.0,24646.3143096269,,2.80152463293184,7.15999984741211,1.87970101599897,Netherlands
1995,15459006.0,29258.1343486211,,1.92322003453521,7.15999984741211,2.69867906053078,Netherlands
1996,15530498.0,29006.8094454171,,1.94936713166006,6.42000007629395,3.68584505031171,Netherlands
1997,15610650.0,26700.5371335926,,2.1092456273948,5.51000022888184,2.64707865929141,Netherlands
1998,15707209.0,27885.8083823465,,1.95913632274256,4.3899998664856,8.58862846737234,Netherlands
1999,15812088.0,28272.6432492539,,2.15717918055056,3.61999988555908,9.20745831670008,Netherlands
2000,15925513.0,26214.498549887,2028.15991211,2.36052233801956,2.73000001907349,15.1168517035618,Netherlands
2001,16046180.0,26896.5481111196,2175.73266602,4.15584127195611,2.11999988555908,12.0483086109171,Netherlands
2002,16148929.0,29343.2449960602,2544.80908203,3.28753104712768,2.54999995231628,5.37815702042935,Netherlands
2003,16225302.0,35750.9746630269,3244.35571289,2.09199838997658,3.58999991416931,3.52654499071412,Netherlands
2004,16281779.0,40436.6182310407,3689.42993164,1.26364739183177,4.65000009536743,21.2522662978359,Netherlands
2005,16319868.0,41994.7135305232,3823.50146484,1.68813017869622,5.86999988555908,30.6251378500502,Netherlands
2006,16346101.0,44900.9381441374,4080.23242188,1.10150106517704,5.0,51.1619751936732,Netherlands
2007,16381696.0,51799.2085521047,4696.13818359,1.61385859802103,4.15000009536743,86.4791486800502,Netherlands
2008,16445593.0,57879.9437553916,5382.47216797,2.48650198289454,3.65000009536743,20.5416821823399,Netherlands
2009,16530388.0,52722.2130568997,5282.73583984,1.18977687021549,4.34999990463257,10.9981924942897,Netherlands
2010,16615394.0,50999.7451168879,5191.72802734,1.27530569556686,4.98999977111816,13.6601236618728,Netherlands
2011,16693074.0,54230.3129029852,5562.09619141,2.3410701775137,4.98000001907349,36.6819614798476,Netherlands
2012,16754962.0,50070.1416045904,5284.68652344,2.45554765291609,5.82000017166138,28.5686333623369,Netherlands
2013,16804432.0,52198.8975607454,5532.68701172,2.50689852657884,7.23999977111816,37.4700822751351,Netherlands
2014,16865008.0,52900.537415323,5601.90234375,0.976035079699661,7.42000007629395,13.1844337407481,Netherlands
2015,16939923.0,45193.4032187971,4676.56201172,0.600248147278775,6.86999988555908,43.4872316772707,Netherlands
2016,17030314.0,46039.1059284098,4753.67431641,0.316666666666663,6.01000022888184,30.7490859225818,Netherlands
2017,17131296.0,48675.2223350213,4934.57519531,1.3814587140721,4.84000015258789,27.2695573744046,Netherlands
2018,17231624.0,53044.5324352253,5336.984375,1.70349794744475,3.82999992370605,-36.1403474265894,Netherlands
2019,17344874.0,52476.2732533327,5335.30126953,2.63369910249593,3.38000011444092,-1.55921351041995,Netherlands
2020,17441500.0,52162.5701150406,,1.2724603778917,3.8199999332428,-24.0397831729158,Netherlands
2021,17533044.0,57767.8788108173,,2.67572008805381,4.21000003814697,-13.994370589716,Netherlands
