Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,125500.0,4038.31870087733,,,,,New Caledonia
1973,128500.0,4220.18210139992,,,,,New Caledonia
1974,131000.0,4865.67541778982,,,,,New Caledonia
1975,132500.0,6163.41258326031,,,,,New Caledonia
1976,134000.0,5957.56361705185,,,,,New Caledonia
1977,136000.0,6158.97152453476,,,,,New Caledonia
1978,137500.0,6152.76139828063,,,,,New Caledonia
1979,138500.0,7561.1965664538,,,,,New Caledonia
1980,140050.0,8443.15572080071,,,,,New Caledonia
1981,142650.0,6817.83495948599,,,,,New Caledonia
1982,145700.0,6208.64702500147,,,,,New Caledonia
1983,148700.0,5540.40278609794,,,,,New Caledonia
1984,151650.0,5249.3649382449,,,,,New Caledonia
1985,154450.0,5534.61245775582,,,,,New Caledonia
1986,157350.0,7634.70930589779,,,,,New Caledonia
1987,160500.0,9271.60812771588,,,,,New Caledonia
1988,163650.0,12665.9059465198,,,,,New Caledonia
1989,166898.0,13092.3255128974,,,,,New Caledonia
1990,170899.0,14800.7912526944,,,,,New Caledonia
1991,175362.0,15133.1624255147,,,17.9150009155273,,New Caledonia
1992,179799.0,16261.9553582804,,,18.4039993286133,,New Caledonia
1993,184496.0,15297.048131725,,,18.4580001831055,,New Caledonia
1994,189482.0,16037.0248466747,,,18.3040008544922,,New Caledonia
1995,193816.0,18721.0652600367,,,18.0270004272461,,New Caledonia
1996,197564.0,18257.2164334797,,,18.6399993896484,,New Caledonia
1997,201418.0,16339.8011674258,,,18.2320003509521,,New Caledonia
1998,205279.0,17324.2528307698,,,18.5170001983643,,New Caledonia
1999,209214.0,17435.747636005,,,17.8470001220703,,New Caledonia
2000,213230.0,16039.1738824642,,,17.4790000915527,-1.18788594189864,New Caledonia
2001,217324.0,15174.2774308861,,,17.2399997711182,3.12460577513076,New Caledonia
2002,221490.0,16885.8961261737,,,16.9419994354248,1.57899849017256,New Caledonia
2003,225296.0,21817.3238052326,,,16.4750003814697,2.36093106934747,New Caledonia
2004,228750.0,25770.540990459,,,16.3099994659424,0.466160191353361,New Caledonia
2005,232250.0,26861.710586717,,,15.8459997177124,-0.108016608366795,New Caledonia
2006,235750.0,29604.0438248694,,,15.1730003356934,10.7332276012774,New Caledonia
2007,239250.0,36864.8779202682,,,14.8070001602173,4.73307963979997,New Caledonia
2008,242750.0,37353.7507767203,,,14.6110000610352,19.2594013322208,New Caledonia
2009,245950.0,35391.0801754154,,,13.9700002670288,13.58267789712,New Caledonia
2010,249750.0,37494.8843725576,,,13.7309999465942,15.3677081401458,New Caledonia
2011,254350.0,40697.6300727029,,2.42899693753409,14.03600025177,16.9845112704457,New Caledonia
2012,259000.0,37294.027263924,,1.74967234600262,14.3579998016357,27.7749473878905,New Caledonia
2013,263650.0,38503.2630599829,,1.27761318992722,14.4659996032715,21.344989730592,New Caledonia
2014,268050.0,39675.5819387796,,0.178851060785501,14.5900001525879,16.5211970043439,New Caledonia
2015,269460.0,32428.5824862295,,0.570508141048026,13.8909997940063,13.7773756144018,New Caledonia
2016,270220.0,32286.9152902933,,0.578317435521153,13.1820001602173,9.28207482087097,New Caledonia
2017,270810.0,33874.9237551731,,,12.2749996185303,-4.47090667833396,New Caledonia
2018,271170.0,36312.7278686719,,,11.6029996871948,-2.53105472531795,New Caledonia
2019,271230.0,34797.5186645024,,,10.8800001144409,-6.94125027095166,New Caledonia
2020,271130.0,34800.7595147977,,,13.5600004196167,-5.50921010540595,New Caledonia
2021,271030.0,37159.5467662165,,,12.4359998703003,-4.90301725485188,New Caledonia
