Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2903900.0,3294.64894268304,,6.93280459206853,,1.32419375,New Zealand
1973,2961300.0,4323.19653458655,,8.16666927326659,,1.62197646994892,New Zealand
1974,3023700.0,4610.57042634013,,11.1094020122225,,1.80482267062315,New Zealand
1975,3083100.0,4171.76973967475,,14.6849834723994,,1.07425112321268,New Zealand
1976,3110500.0,4373.84099791231,,16.9068570059449,,2.04074545901862,New Zealand
1977,3120200.0,4950.58820538927,,14.3835494194622,,0.999040234601611,New Zealand
1978,3121200.0,5936.98526036423,,11.9566179733303,,1.47723875916526,New Zealand
1979,3109000.0,6668.1386662247,,13.6995950156641,,1.69087786045613,New Zealand
1980,3112900.0,7467.16803773805,,17.1505454240954,,1.43726855496685,New Zealand
1981,3124900.0,7813.88754336067,,15.3701595831853,,0.724730746096148,New Zealand
1982,3156100.0,7656.47573238963,,16.1636941231018,,1.13657566155909,New Zealand
1983,3199300.0,7598.31203875006,,7.34107586057345,,1.00040124376391,New Zealand
1984,3227100.0,6713.76013104154,,6.17125347924443,,0.536388549444195,New Zealand
1985,3247100.0,7600.56524172937,,15.4176555719918,,0.913162316622756,New Zealand
1986,3246300.0,9427.55394035348,,13.2133980640021,,1.27238137382041,New Zealand
1987,3274400.0,12330.9168305483,,15.7443007888927,,0.587546173532724,New Zealand
1988,3283400.0,13759.1556295922,,6.37524944411055,,0.345138194493141,New Zealand
1989,3299200.0,13312.3855858113,,5.71599155135626,,0.987184303994547,New Zealand
1990,3329800.0,13663.0216184298,,6.09844414810207,,3.7031725758945,New Zealand
1991,3495100.0,12230.0734548834,,2.60239285999773,10.6099996566772,3.95684413455714,New Zealand
1992,3531700.0,11793.1392416214,,1.01456027171234,10.6700000762939,2.61273592040037,New Zealand
1993,3572200.0,13094.3454502639,,1.28820776574389,9.80000019073486,4.72858007668491,New Zealand
1994,3620000.0,15280.3127842922,,1.74537790773741,8.35000038146973,4.7304408560722,New Zealand
1995,3673400.0,17400.4201848172,,3.75494413677554,6.46000003814697,4.45872926529605,New Zealand
1996,3732000.0,18794.436039393,,2.28571305402195,6.28999996185303,5.58678410779111,New Zealand
1997,3781300.0,17474.187029724,,1.18714833105633,6.8600001335144,2.9019336046622,New Zealand
1998,3815000.0,14738.4455703918,,1.26524409915407,7.71999979019165,3.24713619207952,New Zealand
1999,3835100.0,15322.2238340267,,-0.114267129777519,7.01999998092651,1.60215774821217,New Zealand
2000,3857700.0,13641.1027183822,1053.89160156,2.61523446246318,6.13000011444092,-2.86529455631185,New Zealand
2001,3880500.0,13882.8568268586,1049.37609863,2.62581630392901,5.42999982833862,0.481362352602515,New Zealand
2002,3948500.0,16874.1874918196,1246.31347656,2.6770925771161,5.28000020980835,4.27533253207987,New Zealand
2003,4027200.0,21913.7081719961,1610.93762207,1.75357444759553,4.75,-3.81179323818467,New Zealand
2004,4087500.0,25420.234882944,1983.65881348,2.2902490284757,4.01000022888184,2.2326303912504,New Zealand
2005,4133900.0,27751.0654708859,2295.17797852,3.03702332617015,3.80999994277954,1.66201517661775,New Zealand
2006,4184600.0,26654.5932018985,2301.8918457,3.36540196171992,3.85999989509583,2.61132933725814,New Zealand
2007,4223800.0,32479.9817381467,2699.4128418,2.37614310290657,3.66000008583069,3.16024444752483,New Zealand
2008,4259800.0,31252.9625640673,2839.17895508,3.9589493731206,4.17000007629395,1.9469239581806,New Zealand
2009,4302600.0,28209.3623271229,2700.97705078,2.1156511055456,6.11999988555908,-0.043160565580186,New Zealand
2010,4350700.0,33676.7741239925,3216.22363281,2.30202385958576,6.55999994277954,0.195407935914933,New Zealand
2011,4384000.0,38387.6270784076,3625.77246094,4.02790667392038,6.48999977111816,0.819062219269868,New Zealand
2012,4408100.0,39973.3807587223,3805.97167969,1.05991318445635,6.92999982833862,2.18316607588815,New Zealand
2013,4442100.0,42976.6495882584,3954.66699219,1.13442266445812,5.84000015258789,-0.0364156841483875,New Zealand
2014,4516500.0,44572.8987536626,4143.78808594,1.22750750597405,5.42999982833862,1.61517416725477,New Zealand
2015,4609400.0,38630.7265886928,3582.27294922,0.292704628136101,5.40999984741211,-0.0412057475319413,New Zealand
2016,4714100.0,40058.1961621466,3746.47680664,0.646240284454502,5.15000009536743,1.06340229865333,New Zealand
2017,4813600.0,42924.9955958449,3940.39038086,1.85078767452532,4.73999977111816,1.15670915549888,New Zealand
2018,4900600.0,43250.440973659,4037.46289063,1.59829703801698,4.32999992370605,1.18728563942506,New Zealand
2019,4979200.0,42865.233643554,4211.04638672,1.61963190184049,4.1100001335144,1.36611163588417,New Zealand
2020,5090200.0,41596.5055023403,,1.71456170007244,4.59999990463257,1.95297363451884,New Zealand
2021,5122600.0,48781.0266328884,,3.94112060778728,3.77999997138977,1.81679630337712,New Zealand
