Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2603182.0,338.371612154444,,,,1.13527623515121,Nicaragua
1973,2682747.0,407.631223331906,,,,1.20705418951817,Nicaragua
1974,2769211.0,549.217825995512,,,,0.907357458767369,Nicaragua
1975,2857461.0,556.588006850437,,,,0.685349881797088,Nicaragua
1976,2947454.0,626.93815466307,,,,0.698100538677244,Nicaragua
1977,3038680.0,737.115148871032,,,,0.446457060855875,Nicaragua
1978,3128544.0,684.704643369476,,,,0.326777766172821,Nicaragua
1979,3214311.0,475.328191836938,,,,0.183263747739817,Nicaragua
1980,3303309.0,662.774014639961,,,,0.572468923200665,Nicaragua
1981,3397659.0,720.58146790187,,,,-0.00122534498186119,Nicaragua
1982,3491906.0,705.965504138901,,,,0.404300153275347,Nicaragua
1983,3584610.0,765.311072636447,,,,0.00364518933686303,Nicaragua
1984,3674501.0,845.153421216593,,,,0.239716742199957,Nicaragua
1985,3763034.0,713.205431797111,,,,-0.00037260374495799,Nicaragua
1986,3852017.0,749.142750116153,,,,0.00207921057002346,Nicaragua
1987,3941463.0,977.102595588056,,,,0.0625776747381493,Nicaragua
1988,4033291.0,652.344888338709,,,,-0.00342062675640419,Nicaragua
1989,4129447.0,245.356035737267,,,,0.276356302427919,Nicaragua
1990,4227820.0,238.765009832719,,,,0.066372416684562,Nicaragua
1991,4327289.0,344.050079324801,,,7.03399991989136,2.82105613029208,Nicaragua
1992,4427172.0,404.953771843515,,,7.06899976730347,0.836680053547523,Nicaragua
1993,4526689.0,388.021851813989,,,7.13399982452393,2.20899576724499,Nicaragua
1994,4625260.0,835.236315157984,,,7.10599994659424,1.20884706688643,Nicaragua
1995,4721929.0,876.859859603988,,,7.10200023651123,2.14709924235654,Nicaragua
1996,4812391.0,895.262230933856,,,7.14099979400635,2.78528780163945,Nicaragua
1997,4895962.0,896.650258103592,,,7.23999977111816,4.63329371917175,Nicaragua
1998,4974552.0,931.795913449482,,,7.2960000038147,4.70738771716533,Nicaragua
1999,5049878.0,961.551521577843,,,7.27799987792969,6.94644970538073,Nicaragua
2000,5123222.0,996.89785199474,52.80468369,7.06991352252514,7.39400005340576,5.21799162791216,Nicaragua
2001,5192764.0,1025.10850978461,57.04565811,5.98604186279517,7.47399997711182,2.82163938464016,Nicaragua
2002,5259006.0,993.38411432576,57.37988281,3.75017465778469,7.57999992370605,3.90298020611462,Nicaragua
2003,5323062.0,999.885953957977,61.17759705,5.30238773219938,7.59999990463257,3.78208933292091,Nicaragua
2004,5386223.0,1075.99856237763,65.40616608,8.47021063584074,6.40999984741211,4.31364089201154,Nicaragua
2005,5454678.0,1158.88336804158,72.34895325,9.59909986064426,5.36999988555908,3.81406738686413,Nicaragua
2006,5529811.0,1223.07285599541,77.98773193,9.1401996677772,5.30999994277954,4.24049476173246,Nicaragua
2007,5607453.0,1323.82982943004,92.37856293,11.1269347446119,4.8899998664856,5.14190863022001,Nicaragua
2008,5687744.0,1493.90454426773,107.45199585,19.8262031287428,6.19999980926514,7.38265201516385,Nicaragua
2009,5770639.0,1438.08682340939,111.01232147,3.68700160498801,8.15999984741211,5.22854242821003,Nicaragua
2010,5855734.0,1495.73718623095,115.95102692,5.45513425887415,7.82999992370605,5.5933347019294,Nicaragua
2011,5942553.0,1644.79935412236,123.3549881,8.0823879809911,6.49900007247925,9.57919541294449,Nicaragua
2012,6030607.0,1746.42562649907,131.83006287,7.19355053338952,5.21000003814697,7.36516818552062,Nicaragua
2013,6119379.0,1794.78657461684,138.38568115,7.135467852894,5.28000020980835,8.78723318970279,Nicaragua
2014,6208676.0,1913.52134831663,154.28338623,6.03596861798431,4.51999998092651,9.06364189712811,Nicaragua
2015,6298598.0,2025.32477597575,163.22993469,3.99737996694398,4.69999980926514,7.58032642425951,Nicaragua
2016,6389235.0,2079.44826647887,169.6340332,3.52317317628476,3.90000009536743,7.44463173977873,Nicaragua
2017,6480532.0,2127.28058532733,180.00311279,3.85067166284725,3.29999995231628,7.51056699953413,Nicaragua
2018,6572233.0,1981.85912037433,173.49383545,4.94723728039882,5.19999980926514,6.43059172530585,Nicaragua
2019,6663924.0,1890.27306467363,160.75878906,5.3762899084413,5.2020001411438,3.99312958089458,Nicaragua
2020,6755895.0,1863.10925664373,,3.68181341625573,5.93699979782104,5.93073606808818,Nicaragua
2021,6850540.0,2045.53540189014,,4.92841396948961,5.93200016021729,8.70690128070902,Nicaragua
