Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4926318.0,150.777871098356,,9.75116837202704,,0.121166471169932,Niger
1973,5059382.0,187.055461123892,,11.7850155367474,,0.10566523826116,Niger
1974,5196579.0,197.463942042517,,3.39750849373326,,0.673290366406715,Niger
1975,5339497.0,196.40256998183,,9.11580205137059,,2.15085344372157,Niger
1976,5488658.0,193.94860721153,,23.5296801569284,,0.92897270261171,Niger
1977,5644703.0,228.79112915687,,23.251089606333,,0.995004522429376,Niger
1978,5810351.0,305.380049360574,,10.0932002756994,,2.40412038637232,Niger
1979,5987151.0,352.300802500004,,7.26787707223355,,2.21823972669222,Niger
1980,6173177.0,406.358700946615,,10.3052757124046,,1.95811366989583,Niger
1981,6366262.0,340.999638233634,,22.9134075641636,,-0.281573186753758,Niger
1982,6564445.0,307.354533003735,,11.6418357416784,,1.39849192613961,Niger
1983,6766606.0,266.470329666389,,-2.48960568671487,,0.067384653570045,Niger
1984,6973849.0,209.531811260631,,8.36442411829966,,0.0989819949264337,Niger
1985,7187618.0,200.425444668372,,-0.923399123994826,,-0.651267068861879,Niger
1986,7408364.0,257.019906188914,,-3.20757134165686,,-0.651652979285951,Niger
1987,7636591.0,292.408723026457,,-6.71210892901195,,0.28684254280917,Niger
1988,7872252.0,289.6701399077,,-1.39396304047091,,0.0945229579530375,Niger
1989,8116075.0,268.5494044229,,-2.8435251798562,,-0.0717675826911674,Niger
1990,8370648.0,419.603876913687,,-0.775653010977482,,1.1618848751662,Niger
1991,8634640.0,380.536650027954,,-7.79664179104469,1.41400003433228,0.342091114367521,Niger
1992,8907644.0,380.14907106956,,-4.47561790247175,1.40600001811981,1.66527577101563,Niger
1993,9193078.0,332.062191015717,,-1.21503496503497,1.42799997329712,-1.11892262060856,Niger
1994,9493324.0,204.149585672116,,36.0410583134242,1.42700004577637,0.210312273083214,Niger
1995,9813918.0,234.619616974616,,10.5632886691814,1.43299996852875,0.0970148943661349,Niger
1996,10149937.0,237.014976657289,,5.2888575126488,1.46200001239777,0.358757855800484,Niger
1997,10494201.0,218.246134254011,,2.93345253394419,1.46300005912781,0.827804576800229,Niger
1998,10854920.0,243.517539233512,,4.54801577718723,1.41299998760223,-0.0667540076370969,Niger
1999,11231469.0,225.953526002284,,-2.30212503849647,1.50100004673004,0.0632545844102723,Niger
2000,11622665.0,192.877719543037,9.24822903,2.90014973599111,1.52100002765656,0.703342942932454,Niger
2001,12031430.0,203.526486923185,9.8859024,4.00551428352676,1.47000002861023,0.92242086279411,Niger
2002,12456517.0,223.352401554762,11.05829048,2.62886597938136,1.89999997615814,0.281340725527561,Niger
2003,12900790.0,263.091243611514,12.78417873,-1.61440769175596,2.34599995613098,0.545924442176298,Niger
2004,13366885.0,281.32537728347,14.30790138,0.262543757292846,2.78999996185303,0.649159703570105,Niger
2005,13855221.0,316.365625419541,18.20683098,7.7974978178644,3.09999990463257,1.13506762283183,Niger
2006,14365168.0,331.103783818521,19.47831345,0.0404858299595059,2.65300011634827,0.847497489641179,Niger
2007,14897873.0,384.718359952116,20.97223282,0.0539592607581487,2.21600008010864,1.72858634910588,Niger
2008,15455175.0,472.178470762123,24.93084717,11.3051098827019,1.70200002193451,3.87903108003931,Niger
2009,16037915.0,458.421912654738,24.66652679,0.582906590801125,1.27400004863739,8.62089018048841,Niger
2010,16647543.0,471.612651749318,23.88655853,0.804073080882635,0.771000027656555,10.1466906948257,Niger
2011,17283112.0,507.602523308191,24.9305191,2.94238514013317,0.319999992847443,12.1645054691565,Niger
2012,17954407.0,525.047323992555,22.76792526,0.455089820359268,2.1800000667572,8.92367846986849,Niger
2013,18653199.0,548.157875478729,24.63416481,2.29723114955316,1.38100004196167,7.03516529052488,Niger
2014,19372014.0,560.754509239933,25.06328392,-0.930287259984461,0.519999980926514,7.57591135403494,Niger
2015,20128124.0,481.111299477459,25.8883419,-0.576090369833086,0.532000005245209,5.46761765963348,Niger
2016,20921743.0,497.036133412676,22.57229996,1.65388922387803,0.533999979496002,2.8977447098905,Niger
2017,21737922.0,514.543312814178,28.87143326,2.7963731887128,0.541999995708466,3.02823074871441,Niger
2018,22577058.0,567.330806700397,30.2661438,2.96760366004454,0.541999995708466,3.63849343946544,Niger
2019,23443393.0,550.963555536013,31.39763641,-2.48979265070851,0.551999986171722,5.5522016718492,Niger
2020,24333639.0,564.822001755189,,2.89819376026271,0.680000007152557,2.62404678859614,Niger
2021,25252722.0,590.629454795899,,3.83786802840503,0.667999982833862,3.98812654988296,Niger
