Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,58173834.0,210.995479819975,,3.45764975201498,,2.48484326714818,Nigeria
1973,59605446.0,254.387347208655,,5.40266445394224,,2.45995625061216,Nigeria
1974,61157931.0,406.27014210347,,12.6743931774329,,1.0343450316262,Nigeria
1975,62851312.0,441.978595843748,,33.9641883221777,,1.69236151908443,Nigeria
1976,64658315.0,561.550099917249,,24.2999999999997,,0.933655815514096,Nigeria
1977,66589655.0,541.156246046355,,15.0878340572688,,1.22244833696418,Nigeria
1978,68633344.0,532.217433682282,,21.7092457416664,,0.577458571835853,Nigeria
1979,70750307.0,667.98172189236,,11.7097306212117,,0.655098278470821,Nigeria
1980,72951439.0,880.061983734212,,9.97226199001429,,-1.15085580320592,Nigeria
1981,75175387.0,2187.88643570187,,20.8128229121949,,0.329731933868035,Nigeria
1982,77388067.0,1844.84984376437,,7.69774724714247,,0.301613207804647,Nigeria
1983,79351586.0,1223.60392131354,,23.2123315511559,,0.375338494548952,Nigeria
1984,81337553.0,903.449351635753,,17.8205332860842,,0.257421832470162,Nigeria
1985,83585251.0,882.282702701047,,7.4353448275863,,0.658452659833293,Nigeria
1986,85804185.0,638.731695673269,,5.71715145436304,,0.352544296705448,Nigeria
1987,88044187.0,598.290968728108,,11.2903225806452,,1.15906979546217,Nigeria
1988,90351467.0,549.503755599888,,54.5112247797672,,0.762696401992634,Nigeria
1989,92744064.0,474.456900103068,,50.4666881235915,,4.2820878623584,Nigeria
1990,95214257.0,567.517902154176,,7.36440030557697,,1.08795098954185,Nigeria
1991,97685360.0,502.822869747645,,13.0069731037428,3.9779999256134,1.45031776926151,Nigeria
1992,100182045.0,477.080756484416,,44.588842715023,3.93099999427795,1.87601773030805,Nigeria
1993,102775465.0,270.027523787786,,57.1652528349217,3.98200011253357,4.84779000429419,Nigeria
1994,105456121.0,320.82578675313,,57.0317089119659,3.97000002861023,5.7908473052954,Nigeria
1995,108187610.0,407.2782992449,,72.8355022972637,3.9449999332428,0.762195575906024,Nigeria
1996,110956183.0,460.324190248145,,29.2682926829272,3.89800000190735,0.977520982419566,Nigeria
1997,113791181.0,478.576939925535,,8.52987421383633,3.90000009536743,0.862276324680926,Nigeria
1998,116690527.0,467.939014177062,,9.99637812386804,3.89299988746643,0.548616187510335,Nigeria
1999,119695565.0,496.030186963549,,6.61837339479756,3.90100002288818,1.69255751383097,Nigeria
2000,122851984.0,565.304317206495,17.73399544,6.93329215565158,3.85199999809265,1.64173932893097,Nigeria
2001,126152678.0,577.056969532122,18.60057449,18.8736462093863,3.83800005912781,1.63552623094891,Nigeria
2002,129583026.0,733.538161512973,18.20248985,12.8765792031099,3.75099992752075,1.97158340199403,Nigeria
2003,133119801.0,786.802409334717,39.43843842,14.0317836131437,3.81200003623962,1.91462009660475,Nigeria
2004,136756848.0,992.745280113547,44.63315582,14.9980338183251,3.78900003433228,1.3803740403365,Nigeria
2005,140490722.0,1250.40667526077,54.55794525,17.8634933661605,3.80699992179871,2.83629459249279,Nigeria
2006,144329764.0,1652.15369043056,66.54981232,8.22522152017048,3.80299997329712,2.03575305677719,Nigeria
2007,148294028.0,1876.41277665632,70.0737381,5.38800796858625,3.79099988937378,2.16919566573569,Nigeria
2008,152382506.0,2227.78995171265,81.22611237,11.5810751748252,3.78200006484985,2.41373961323397,Nigeria
2009,156595758.0,1883.88734830887,69.0075531,12.5549603893497,3.76300001144409,2.90024940111694,Nigeria
2010,160952853.0,2280.11197852503,76.75747681,13.7202018444406,3.75500011444092,1.64207319532087,Nigeria
2011,165463745.0,2504.87827884434,84.46363068,10.8400275418866,3.76999998092651,2.13311840178716,Nigeria
2012,170075932.0,2728.02268335423,92.61081696,12.2177817351031,3.75,1.52378239631678,Nigeria
2013,174726123.0,2976.75673612767,102.55454254,8.47582728502893,3.70000004768372,1.06953939931086,Nigeria
2014,179379016.0,3200.95314600431,107.90875244,8.06248582444999,3.94400000572205,0.817478379341918,Nigeria
2015,183995785.0,2679.55476480921,97.80262756,9.00938718326781,4.22100019454956,0.621501511444793,Nigeria
2016,188666931.0,2144.77993839856,79.37476349,15.6753405526234,4.50899982452393,0.853395904308311,Nigeria
2017,193495907.0,1941.87948520625,73.88726044,16.5235399802169,4.72900009155273,0.642182920249036,Nigeria
2018,198387623.0,2125.83428239448,66.5456543,12.0947315505318,4.96299982070923,0.183821513697819,Nigeria
2019,203304492.0,2204.18157415589,71.46572876,11.3967949687168,5.20599985122681,0.514393406557795,Nigeria
2020,208327405.0,2074.61392802438,,13.2460234276597,5.99900007247925,0.551893460909415,Nigeria
2021,213401323.0,2065.74906750923,,16.9528457221608,5.93599987030029,0.751578400627589,Nigeria
