Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,232168663.0,5997.4856317578,,4.13015348879916,,0.242845237478787,North America
1973,234454577.0,6640.80598782304,,6.83270367308627,,0.328552613571277,North America
1974,236715369.0,7206.81679668004,,11.0259879752454,,0.425851212530896,North America
1975,239169275.0,7773.08468944994,,9.90766773002967,,0.306454342225504,North America
1976,241538008.0,8613.02898924596,,6.64327563265618,,0.257728522333407,North America
1977,244018243.0,9400.4658374197,,7.239064695437,,0.274340365568889,North America
1978,246601803.0,10424.5290839884,,8.30234359518409,,0.359508098253503,North America
1979,249310344.0,11515.4560238073,,10.1995740541757,,0.465360691387074,North America
1980,251795337.0,12437.7765046382,,11.8392112417568,,0.720284584029233,North America
1981,254340965.0,13816.0793864134,,11.4031638775572,,0.749837809452574,North America
1982,256836391.0,14242.8454584504,,8.45019944999442,,0.58294608947701,North America
1983,259214381.0,15336.6302303339,,4.53801163146715,,0.405540633180876,North America
1984,261488476.0,16803.6898806646,,4.30265688957581,,0.703513841329198,North America
1985,263823014.0,17833.0727412687,,3.75383734637288,,0.231449243159268,North America
1986,266290660.0,18619.663293275,,3.04641700659946,,0.678943103559689,North America
1987,268793450.0,19672.4594369746,,4.01033596486715,,1.35877943343871,North America
1988,271349094.0,21172.7533949837,,4.05298762808009,,1.11609884412237,North America
1989,274154622.0,22644.6565007219,,4.90531246497454,,1.33649939149004,North America
1990,277373464.0,23645.6143148159,,5.08921668663313,,1.21443975461281,North America
1991,281077441.0,24086.216451797,,4.93041402523428,7.16418961366085,0.562376610655537,North America
1992,284943859.0,24967.7063201875,,2.25947629094757,7.87676041088419,0.524810029555481,North America
1993,288662674.0,25765.5415533788,,2.40836816573245,7.35425888874173,0.731716483230309,North America
1994,292185983.0,26925.4615117441,,1.38650225303094,6.55099908245413,0.832522629566616,North America
1995,295640057.0,27891.3874429181,,2.47709000955753,6.03425875613585,1.00363652785896,North America
1996,299064347.0,29105.3208625103,,2.25086766250288,5.86551547901199,1.22364669509209,North America
1997,302623445.0,30518.0396180328,,1.97945315907634,5.40766013545468,1.48738544659066,North America
1998,306070116.0,31691.9177761216,,1.27411077770085,4.88616111271066,2.43539331511806,North America
1999,309502571.0,33320.9222946039,,1.96143507401638,4.55656637501732,3.29650416636279,North America
2000,312909974.0,35151.3296023334,4294.73594291912,3.04814861420954,4.27506878117391,3.79568685825397,North America
2001,316052361.0,35831.3793749997,4616.42338903772,2.67564562932654,4.98214773619656,1.77427052520338,North America
2002,319048184.0,36651.829107725,5011.73943461072,1.92221301795729,5.97420296418794,1.15914407736142,North America
2003,321815286.0,38395.2215763759,5420.53009979128,2.51432909348113,6.15586963569117,1.00460499182964,North America
2004,324809693.0,40788.0935353683,5785.2812483013,2.26724770583217,5.70485552624387,1.62982349429929,North America
2005,327824506.0,43368.2524264329,6143.74200172815,2.80314943994656,5.25623541983373,1.18124673841022,North America
2006,331015609.0,45741.0325855388,6529.37666984857,2.61398474802282,4.79806156150509,2.39533210961398,North America
2007,334185120.0,47727.4820398445,6889.64917266246,2.4955282370849,4.77011693024785,2.93220741810747,North America
2008,337406357.0,48398.1029489662,7112.95427238637,3.10468548554697,5.81819342166579,2.519213025438,North America
2009,340466060.0,46581.2835386802,7332.92739933135,-0.028039731645233,9.15295168408439,1.14735715911205,North America
2010,343397156.0,48552.9424055168,7608.80732920555,1.70845749165809,9.46097084104452,1.76319481499298,North America
2011,345987373.0,50289.0244037158,7814.16453580169,3.03448832867281,8.79386779277487,1.73326682942052,North America
2012,348656682.0,51881.1708863839,8059.57231737121,1.7925077482529,7.98524547894954,1.6571744743664,North America
2013,351207902.0,53234.150098465,8214.55060527374,1.20156227672118,7.33715846008068,1.89991945754679,North America
2014,353888902.0,54714.4709286191,8563.77470297726,1.76442944229347,6.25091587454383,1.63213203434928,North America
2015,356507139.0,55452.4213839576,8915.79762592837,0.621934248247613,5.45797417768702,2.88973541352409,North America
2016,359245796.0,56312.4348848537,9257.69603944302,1.34517137635809,5.10221705063416,2.51367533486328,North America
2017,361731237.0,58423.8858786865,9573.80789534602,1.86349706609467,4.57664052305684,1.92059051131218,North America
2018,363967201.0,61174.7773442449,9955.47014877718,2.35540448470459,4.11149424878118,1.15610643376958,North America
2019,365995094.0,63198.7013177896,10317.5700187999,1.88073954968806,3.88989529367876,1.5723483405489,North America
2020,369602177.0,61451.9761542648,,0.975292014307111,8.20520350431352,0.791506086795551,North America
2021,370203720.0,68369.6627865258,,4.04652602445636,5.58651055453084,2.02720834773343,North America
