Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1701498.0,,,,,,North Macedonia
1973,1725228.0,,,,,,North Macedonia
1974,1749329.0,,,,,,North Macedonia
1975,1774013.0,,,,,,North Macedonia
1976,1799332.0,,,,,,North Macedonia
1977,1825299.0,,,,,,North Macedonia
1978,1851978.0,,,,,,North Macedonia
1979,1879354.0,,,,,,North Macedonia
1980,1907023.0,,,,,,North Macedonia
1981,1935200.0,,,,,,North Macedonia
1982,1958275.0,,,,,,North Macedonia
1983,1974441.0,,,,,,North Macedonia
1984,1988682.0,,,,,,North Macedonia
1985,2001504.0,,,,,,North Macedonia
1986,2012926.0,,,,,,North Macedonia
1987,2023097.0,,,,,,North Macedonia
1988,2031932.0,,,,,,North Macedonia
1989,2039426.0,,,,,,North Macedonia
1990,2044174.0,2299.0443294502,,,,,North Macedonia
1991,2036686.0,2424.90767364438,,,24.5,,North Macedonia
1992,2018023.0,1207.54289816124,,,26.2999992370605,,North Macedonia
1993,1996893.0,1343.31528857667,,,27.7000007629395,,North Macedonia
1994,1982458.0,1795.55241082442,,126.583368336245,30.0,0.674231688311688,North Macedonia
1995,1983964.0,2372.54108264546,,16.3735889723568,35.5999984741211,0.201613070421903,North Macedonia
1996,1994226.0,2327.72933141585,,2.46660008582917,38.7999992370605,0.241489781942207,North Macedonia
1997,1996869.0,1959.56073782188,,1.29436487155048,36.0,0.402250343703204,North Macedonia
1998,2007523.0,1875.81776397421,,0.54419965252307,34.5,4.01398128333865,North Macedonia
1999,2017142.0,1915.39375312845,,-1.27928657572629,32.4000015258789,2.36373412465488,North Macedonia
2000,2026350.0,1861.89806549945,164.47364807,6.60742291038535,32.2000007629395,5.76504995544034,North Macedonia
2001,2034882.0,1823.02356104612,152.15872192,5.19888525744053,30.5200004577637,12.6581280417042,North Macedonia
2002,2020157.0,1989.13512536126,175.036026,2.31459794083216,31.9400005340576,2.84178924481849,North Macedonia
2003,2026773.0,2440.47694280043,217.21655273,0.855562122724249,36.689998626709,2.40668635384291,North Macedonia
2004,2032544.0,2795.89926079271,233.99182129,-0.448650206552057,37.1599998474121,5.43989365798065,North Macedonia
2005,2036855.0,3072.67857251806,233.10673523,0.52551595071433,37.3199996948242,2.32207817972703,North Macedonia
2006,2040228.0,3362.96841919784,245.67073059,3.21362929606349,36.0299987792969,6.22986063689467,North Macedonia
2007,2043559.0,4079.3919539826,265.36270142,2.25175798305448,35.2299995422363,8.79828227818311,North Macedonia
2008,2046898.0,4841.25169443101,314.14532471,8.33189666968097,33.9300003051758,6.17271699220342,North Macedonia
2009,2050671.0,4584.7098319119,296.66540527,-0.739633963061138,32.3499984741211,2.76045238692725,North Macedonia
2010,2055004.0,4577.68875507362,305.2322998,1.50997522027615,33.1300010681152,3.20438264947977,North Macedonia
2011,2058539.0,5098.09758250193,329.95043945,3.90475422069738,31.5,4.83981428734251,North Macedonia
2012,2061044.0,4728.30814189843,310.7749939,3.31605566687646,31.2000007629395,3.46744525947267,North Macedonia
2013,2064032.0,5241.05834548355,350.2098999,2.78500056726115,29.1399993896484,3.72036438607925,North Macedonia
2014,2067471.0,5495.73504918897,343.87866211,-0.281705032928538,28.3799991607666,0.535807547662441,North Macedonia
2015,2070226.0,4861.55397141497,306.9151001,-0.299920475631447,26.4300003051758,2.9470291181371,North Macedonia
2016,2072490.0,5149.58907435906,327.49136353,-0.239290787684491,24.2999992370605,5.14755258876063,North Macedonia
2017,2074502.0,5450.4928808666,358.30688477,1.3516188967744,22.8099994659424,3.36726816710628,North Macedonia
2018,2076217.0,6108.74010831698,399.09707642,1.45831298507127,21.2000007629395,5.11494789384992,North Macedonia
2019,2076694.0,6070.38805358275,436.88717651,0.766439573459688,17.3899993896484,4.35892493383855,North Macedonia
2020,2072531.0,5965.45023195365,,1.20007348888482,16.5499992370605,0.0622293815454597,North Macedonia
2021,2065092.0,6694.64112581709,,3.23074912132919,15.7799997329712,5.03618819901225,North Macedonia
