Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,12730.0,,,,,,Northern Mariana Islands
1973,14094.0,,,,,,Northern Mariana Islands
1974,14905.0,,,,,,Northern Mariana Islands
1975,15269.0,,,,,,Northern Mariana Islands
1976,15595.0,,,,,,Northern Mariana Islands
1977,15901.0,,,,,,Northern Mariana Islands
1978,16194.0,,,,,,Northern Mariana Islands
1979,16494.0,,,,,,Northern Mariana Islands
1980,17613.0,,,,,,Northern Mariana Islands
1981,19902.0,,,,,,Northern Mariana Islands
1982,22647.0,,,,,,Northern Mariana Islands
1983,25594.0,,,,,,Northern Mariana Islands
1984,28735.0,,,,,,Northern Mariana Islands
1985,32041.0,,,,,,Northern Mariana Islands
1986,35459.0,,,,,,Northern Mariana Islands
1987,38923.0,,,,,,Northern Mariana Islands
1988,42381.0,,,,,,Northern Mariana Islands
1989,45859.0,,,,,,Northern Mariana Islands
1990,48002.0,,,,,,Northern Mariana Islands
1991,48302.0,,,,,,Northern Mariana Islands
1992,48128.0,,,,,,Northern Mariana Islands
1993,47948.0,,,,,,Northern Mariana Islands
1994,47780.0,,,,,,Northern Mariana Islands
1995,48717.0,,,,,,Northern Mariana Islands
1996,53367.0,,,,,,Northern Mariana Islands
1997,60817.0,,,,,,Northern Mariana Islands
1998,68501.0,,,,,,Northern Mariana Islands
1999,76237.0,,,,,,Northern Mariana Islands
2000,80338.0,,,,,,Northern Mariana Islands
2001,79479.0,,,,,,Northern Mariana Islands
2002,77162.0,16640.3151810477,,,,,Northern Mariana Islands
2003,74623.0,16603.4600592311,,,,,Northern Mariana Islands
2004,71898.0,16829.3972015911,,,,,Northern Mariana Islands
2005,69025.0,15371.2423035132,,,,,Northern Mariana Islands
2006,66060.0,14986.3760217984,,,,,Northern Mariana Islands
2007,63050.0,14877.0816812054,,,,,Northern Mariana Islands
2008,60032.0,15641.657782516,,,,,Northern Mariana Islands
2009,57056.0,13933.6791923724,,,,,Northern Mariana Islands
2010,54087.0,14772.4961635883,,,,,Northern Mariana Islands
2011,52520.0,13880.4265041889,,,,,Northern Mariana Islands
2012,52359.0,14247.7893007888,,,,,Northern Mariana Islands
2013,52141.0,14806.0067892829,,,,,Northern Mariana Islands
2014,51856.0,16044.4307312558,,,,,Northern Mariana Islands
2015,51514.0,17665.1007493109,,,,,Northern Mariana Islands
2016,51133.0,24054.9156122269,,,,,Northern Mariana Islands
2017,50729.0,30751.6410731534,,,,,Northern Mariana Islands
2018,50304.0,25882.6335877863,,,,,Northern Mariana Islands
2019,49858.0,23707.3288138313,,,,,Northern Mariana Islands
2020,49587.0,,,,,,Northern Mariana Islands
2021,49481.0,,,,,,Northern Mariana Islands
