Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3933004.0,4413.57569168528,,7.25843582961514,,0.69706038719155,Norway
1973,3960612.0,5689.5888066967,,7.41947283637505,,0.927476910288775,Norway
1974,3985258.0,6811.52733653232,,9.41176813211894,,1.27460363481603,Norway
1975,4007313.0,8204.45151152979,,11.6892234816853,,0.668162939759694,Norway
1976,4026152.0,8927.20162734477,,9.16147276547565,,1.03329941372353,Norway
1977,4043205.0,10266.1206718698,,9.10383971160296,,1.85095799961406,Norway
1978,4058671.0,11462.6415912182,,8.16167154339621,,1.05284098057546,Norway
1979,4072517.0,13046.5372210653,,4.50972761206205,,0.755391158421251,Norway
1980,4085620.0,15772.2409073814,,10.8786610878661,,0.0928252180014528,Norway
1981,4099702.0,15512.5067043575,,13.6429608127721,,1.05037987220594,Norway
1982,4114787.0,15224.8939100982,,11.3409961685824,,0.718349984710191,Norway
1983,4128432.0,14927.5174766339,,8.4652443220922,,0.539366688008716,Norway
1984,4140099.0,14989.4857665906,,6.21827411167513,,-0.285861781465399,Norway
1985,4152516.0,15753.5527652129,,5.71485463958584,,-0.648495093577901,Norway
1986,4167354.0,18883.265802712,,7.17649274816349,,1.29454313991304,Norway
1987,4186905.0,22505.8977117052,,8.71704745166959,,0.201684594923528,Norway
1988,4209488.0,24207.281468963,,6.67636598771419,,0.275672097857695,Norway
1989,4226901.0,24281.0961405377,,4.54614335505383,,1.47153041084993,Norway
1990,4241473.0,28242.943738533,,4.13103348311347,,0.836441265315929,Norway
1991,4261732.0,28596.9330036444,,3.43819599109133,5.40999984741211,-0.2902015195892,Norway
1992,4286401.0,30523.9850558974,,2.32808504911854,5.90999984741211,-0.510642625534553,Norway
1993,4311991.0,27963.6652188271,,2.28826933193056,5.96999979019165,0.822301973409777,Norway
1994,4336613.0,29315.8419070199,,1.37567498071484,5.34999990463257,2.15241286120085,Norway
1995,4359184.0,34875.7043347536,,2.46036778693723,6.30999994277954,1.57388218232366,Norway
1996,4381336.0,37321.9741993473,,1.26253249164498,5.03999996185303,2.34068795022881,Norway
1997,4405157.0,36629.0309036621,,2.56692335900259,4.69000005722046,2.79790754603139,Norway
1998,4431464.0,34788.3598518819,,2.25241329996425,3.74000000953674,3.66226460248637,Norway
1999,4461913.0,36371.0509535576,,2.36596736596735,3.25,3.58759758241959,Norway
2000,4490967.0,38131.4606116242,2948.93164063,3.08550609131277,3.46000003814697,4.86551927864212,Norway
2001,4513751.0,38542.715099709,3099.00341797,3.00419703998231,3.74000000953674,1.83375029103222,Norway
2002,4538159.0,43084.4724650717,3889.95947266,1.28672528415185,4.01999998092651,1.54034801760238,Norway
2003,4564855.0,50134.8907734947,4632.56835938,2.48782553461785,4.21999979019165,1.82618530602719,Norway
2004,4591910.0,57603.836021826,5097.34423828,0.454498502220854,4.26000022888184,1.85946265346505,Norway
2005,4623291.0,66810.478520868,5584.68945313,1.53213367609252,4.38000011444092,3.25648158517507,Norway
2006,4660677.0,74148.3200757187,5892.98730469,2.32934980757545,3.40000009536743,3.43708452552289,Norway
2007,4709153.0,85139.9604469545,6895.56054688,0.712589073634205,2.49000000953674,6.18702811310606,Norway
2008,4768212.0,96944.0956064873,7768.05029297,3.75393081761006,2.54999995231628,4.45175114875388,Norway
2009,4828726.0,79977.6970817492,7301.95996094,2.19738586853571,3.09999990463257,2.23614134903134,Norway
2010,4889252.0,87693.7900658099,7859.51611328,2.41890639481001,3.51999998092651,5.04581003263603,Norway
2011,4953088.0,100600.562407589,8900.37207031,1.28495158809159,3.21000003814697,2.06635867883482,Norway
2012,5018573.0,101524.141851985,8970.12011719,0.696864111498241,3.11999988555908,5.4754901733455,Norway
2013,5079623.0,102913.450843674,9241.265625,2.12048620353119,3.42000007629395,-0.261803343835658,Norway
2014,5137232.0,97019.1827527462,9118.31738281,2.0417028670721,3.48000001907349,0.65051659502455,Norway
2015,5188607.0,74355.5158575643,7565.54980469,2.17113665389528,4.30000019073486,1.88544780890736,Norway
2016,5234519.0,70460.5605323322,7496.76855469,3.55000000000002,4.67999982833862,-5.06160492142916,Norway
2017,5276968.0,75496.7540581998,7815.78662109,1.87510059552548,4.15999984741211,1.48109795486344,Norway
2018,5311916.0,82267.809316159,8271.85839844,2.76483134528794,3.79999995231628,-1.29618383212857,Norway
2019,5347896.0,75719.7528965342,8007.39794922,2.16773003305405,3.69000005722046,4.03263923720599,Norway
2020,5379475.0,67329.6777910967,,1.28658490707998,4.42000007629395,-1.13271105899905,Norway
2021,5408320.0,89154.2760934922,,3.48388055266678,4.36999988555908,2.94196264739143,Norway
