Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,,,,,,,Not classified
1973,,,,,,,Not classified
1974,,,,,,,Not classified
1975,,,,,,,Not classified
1976,,,,,,,Not classified
1977,,,,,,,Not classified
1978,,,,,,,Not classified
1979,,,,,,,Not classified
1980,,,,,,,Not classified
1981,,,,,,,Not classified
1982,,,,,,,Not classified
1983,,,,,,,Not classified
1984,,,,,,,Not classified
1985,,,,,,,Not classified
1986,,,,,,,Not classified
1987,,,,,,,Not classified
1988,,,,,,,Not classified
1989,,,,,,,Not classified
1990,,,,,,,Not classified
1991,,,,,,,Not classified
1992,,,,,,,Not classified
1993,,,,,,,Not classified
1994,,,,,,,Not classified
1995,,,,,,,Not classified
1996,,,,,,,Not classified
1997,,,,,,,Not classified
1998,,,,,,,Not classified
1999,,,,,,,Not classified
2000,,,,,,,Not classified
2001,,,,,,,Not classified
2002,,,,,,,Not classified
2003,,,,,,,Not classified
2004,,,,,,,Not classified
2005,,,,,,,Not classified
2006,,,,,,,Not classified
2007,,,,,,,Not classified
2008,,,,,,,Not classified
2009,,,,,,,Not classified
2010,,,,,,,Not classified
2011,,,,,,,Not classified
2012,,,,,,,Not classified
2013,,,,,,,Not classified
2014,,,,,,,Not classified
2015,,,,,,,Not classified
2016,,,,,,,Not classified
2017,,,,,,,Not classified
2018,,,,,,,Not classified
2019,,,,,,,Not classified
2020,,,,,,,Not classified
2021,,,,,,,Not classified
