Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,939481333.0,3287.29448398086,,6.56236090256546,,0.400814233124107,OECD members
1973,949978422.0,3927.73262482174,,9.14347112874361,,0.434397316545039,OECD members
1974,960279174.0,4353.8876087482,,15.5485200326028,,0.551697162372388,OECD members
1975,970331948.0,4829.57533804245,,14.1568726272875,,0.381766745218152,OECD members
1976,979795121.0,5186.95130883197,,11.6367520558869,,0.322613699626102,OECD members
1977,989288517.0,5795.83526763458,,11.1820214595703,,0.372419167354207,OECD members
1978,998939909.0,6895.73213754925,,8.61843219505992,,0.389254875729348,OECD members
1979,1008706437.0,7888.21689148363,,10.1288922753687,,0.450895725440012,OECD members
1980,1018252563.0,8684.71342660424,,13.634450606601,,0.564894512931212,OECD members
1981,1027442087.0,8761.83246728111,,13.6429608127721,,0.563597132371204,OECD members
1982,1036208122.0,8557.73070231476,,11.3409961685824,,0.48414315537916,OECD members
1983,1044699000.0,8765.8339918035,,8.87302152363218,,0.428312289561481,OECD members
1984,1052818983.0,9096.80564232728,,7.6738026224732,,0.464049403148618,OECD members
1985,1060967506.0,9507.42095545228,,6.73469387755101,,0.3441859984181,OECD members
1986,1069253878.0,11426.2189477599,,5.29166170071089,,0.581515628921048,OECD members
1987,1077596775.0,13130.2270303367,,4.7472849038979,,0.879568095308117,OECD members
1988,1086103456.0,14683.9652550347,,5.82489868439442,,0.898230748657083,OECD members
1989,1095110298.0,15240.2407130605,,6.25983137956973,,1.07568446468966,OECD members
1990,1104791543.0,17017.7338456799,,6.72181952228662,,1.12386846969786,OECD members
1991,1115756696.0,17834.6421835967,,5.93421344335925,6.76429967724559,0.721538123843455,OECD members
1992,1126417384.0,19000.1155259714,,5.05697932185187,7.27090507763315,0.66374369558204,OECD members
1993,1136605361.0,19086.7458198522,,4.59790321006549,7.74925140077655,0.749168365005166,OECD members
1994,1146214585.0,20308.5438459546,,3.50262577413398,7.83197120286034,0.809839366332453,OECD members
1995,1155551702.0,22207.0401842792,,4.35177861328367,7.60165774733432,1.02319933586863,OECD members
1996,1164716390.0,22218.3681871911,,3.00009076251616,7.54919045193525,1.11046550116064,OECD members
1997,1173865390.0,21710.7557026263,,2.26900305912497,7.25047503181105,1.40475748015019,OECD members
1998,1182690089.0,21768.3788354472,,2.10577481135341,7.2144334030609,2.41175087006628,OECD members
1999,1191524686.0,22694.5498011634,,2.17260318876207,7.1743598578404,3.68787020114261,OECD members
2000,1200179492.0,23026.0977057823,2152.24860140119,3.06380344899536,6.77178325870335,4.75652141571778,OECD members
2001,1209244377.0,22637.4780933485,2228.59186016379,3.18908268106049,6.62340841758487,2.54800744817767,OECD members
2002,1218395986.0,23442.8807733102,2411.86462425976,2.47736067910933,7.16952691521271,2.06962471750766,OECD members
2003,1227425785.0,26030.5475281099,2734.3881086995,2.18428358241518,7.28689660384084,1.63180754911966,OECD members
2004,1236496893.0,28768.3485356557,3012.3699399428,2.25796409638231,7.17827393127766,2.01638305201887,OECD members
2005,1245447053.0,30196.5984700289,3175.31110780462,2.4695989874028,6.82927281911631,3.1573505261952,OECD members
2006,1254649810.0,31620.6430140409,3346.60179182858,2.60015376460352,6.24758345438981,4.06251179401838,OECD members
2007,1264209610.0,34356.7954034449,3635.93904836123,2.48470438812868,5.77186365447213,5.37283695253027,OECD members
2008,1273851101.0,36204.7884195546,3890.80208416378,4.11407022033818,6.10121610714226,3.54831508982682,OECD members
2009,1282681964.0,33635.0329941469,3932.07379951584,1.10457711175389,8.24876027407125,1.76268618398321,OECD members
2010,1291001492.0,35053.0002915507,4061.17888395047,1.80735230566101,8.41982384370521,2.24547367060611,OECD members
2011,1297544164.0,37510.4689031111,4357.16827317562,3.37429759432518,8.0272111470119,2.77825566305943,OECD members
2012,1305615104.0,37238.6273555564,4367.00585370322,2.52945520915773,8.00610971300356,2.18607816225078,OECD members
2013,1314072465.0,37492.0293932166,4395.78632035773,1.45156526398379,7.91866108275519,2.35900127130897,OECD members
2014,1323005691.0,38000.9430879342,4509.99657790057,0.624517311086541,7.3973754787649,1.91086096247813,OECD members
2015,1331743060.0,35599.0800395663,4351.83173735783,0.338705695410171,6.84204573430043,3.53806063314757,OECD members
2016,1340532342.0,36049.378510069,4488.45851522742,0.443258965728606,6.42991682970075,3.87829907070365,OECD members
2017,1348646085.0,37403.3878726541,4639.16928887015,1.82264336059064,5.90058274017571,2.67017970083846,OECD members
2018,1356241793.0,39348.3143589819,4864.5669252189,1.93246812286361,5.46423845482461,0.425362191150673,OECD members
2019,1362922537.0,39531.6603463651,4955.69062865249,1.74071267870177,5.38572635435887,1.61440051214378,OECD members
2020,1370241530.0,38326.8576017416,,0.732851645175872,7.10208613400624,0.957576806295259,OECD members
2021,1372736513.0,42446.8593225577,,2.8152885443583,6.18817065955898,1.89818227314316,OECD members
