Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,708045.0,518.12771561895,,,,0.466120738636364,Oman
1973,728597.0,662.964481236855,,,,0.307776845702479,Oman
1974,754676.0,2180.95947995037,,,,-3.71152155867873,Oman
1975,787194.0,2663.51012500818,,,,5.06766158159557,Oman
1976,824081.0,3106.75775165588,,,,3.17765465128971,Oman
1977,866124.0,3164.87009699132,,,,1.75327400663141,Oman
1978,912750.0,3002.24748254518,,,,3.14844130352197,Oman
1979,963351.0,3875.381490886,,,,3.14850718243853,Oman
1980,1017462.0,5879.09944345698,,,,1.64561251141942,Oman
1981,1075624.0,6748.75249208839,,,,0.861484433496262,Oman
1982,1138301.0,6636.83810846475,,,,2.41051574199403,Oman
1983,1204626.0,6585.06597964288,,,,1.94897631678454,Oman
1984,1273306.0,6927.9234775911,,,,1.79199826914914,Oman
1985,1353289.0,7393.46922870045,,,,1.61175982913148,Oman
1986,1443446.0,5073.84567992769,,,,1.91595008583711,Oman
1987,1533351.0,5094.19115057705,,,,0.446161032368684,Oman
1988,1623433.0,5165.72957723505,,,,1.09474337106528,Oman
1989,1713838.0,5468.52832735384,,,,1.19880119880119,Oman
1990,1804524.0,6475.41707045963,,,,1.21747646286363,Oman
1991,1895187.0,5984.36061704382,,,3.9539999961853,1.19244175380665,Oman
1992,1985227.0,6272.46943684768,,,3.94300007820129,0.837527935002821,Oman
1993,2071868.0,6029.87638806126,,,4.01000022888184,1.13664751436423,Oman
1994,2133675.0,6054.74388400155,,,4.06300020217896,0.591870835262618,Oman
1995,2172672.0,6352.82305853533,,,4.05200004577637,0.335399747508055,Oman
1996,2209958.0,6913.14646205887,,,4.0939998626709,0.396654915428221,Oman
1997,2245588.0,7052.69677045416,,,4.05100011825562,0.407262495730356,Oman
1998,2279727.0,6139.73282520597,,,4.11700010299683,0.728732021047105,Oman
1999,2312600.0,6742.82460298065,,,4.16599988937378,0.257159152432135,Oman
2000,2344253.0,8321.39386651557,263.51751709,,4.06599998474121,0.420352169765268,Oman
2001,2374653.0,8191.51283162468,261.31637573,-0.816666666666665,4.1100001335144,0.0267404911014197,Oman
2002,2403659.0,8380.03895178727,274.37960815,-0.279578822571303,4.21799993515015,0.542293068421619,Oman
2003,2431600.0,8896.90253020963,287.66351318,0.231328682267088,4.25500011444092,0.115410127681109,Oman
2004,2468855.0,10030.4444262065,301.33010864,0.624969062631406,4.19700002670288,0.448451799455378,Oman
2005,2515192.0,12357.7013911873,320.21218872,1.90983553531864,4.19099998474121,4.94936593643703,Oman
2006,2560649.0,14533.7294232494,333.23526001,3.54498591605032,4.1560001373291,4.28876901657969,Oman
2007,2605700.0,16151.275839059,384.20870972,5.83048418092712,4.18900012969971,7.91752309028318,Oman
2008,2651028.0,22974.2773504319,445.4979248,12.3754091529911,4.1399998664856,4.84666880019732,Oman
2009,2697537.0,17937.9795676859,476.11990356,3.46881023754896,4.05800008773804,3.07062615372208,Oman
2010,2881914.0,22552.1990071233,529.08093262,3.25657959078624,4.00699996948242,1.91196478591436,Oman
2011,3206870.0,24166.0963053624,533.03204346,4.04218867116396,3.86500000953674,2.10218875218976,Oman
2012,3535579.0,24722.6388245874,559.01855469,2.94773495257207,3.65799999237061,1.5612029028198,Oman
2013,3816680.0,23563.9405992228,584.1394043,1.04552838755363,3.60199999809265,1.79286446946826,Oman
2014,4009267.0,23121.2063768559,710.04162598,1.02234314452965,3.54999995231628,1.3876575353227,Oman
2015,4191776.0,18777.4330589162,695.19116211,0.0652901330286481,3.3840000629425,-2.76001757846704,Oman
2016,4398070.0,17082.2061998982,636.89013672,1.10920805807029,3.26999998092651,3.0151971475058,Oman
2017,4541854.0,17802.5751178049,600.79107666,1.59716060337177,2.57299995422363,3.69547176851274,Oman
2018,4601157.0,19887.5743113149,677.9642334,0.881302104009536,1.79999995231628,7.0543428831287,Oman
2019,4602768.0,19132.1522739094,624.7444458,0.133795057453182,1.85000002384186,4.81225302279426,Oman
2020,4543399.0,16707.6230063214,,-0.903874872278535,2.94000005722046,3.80578264758678,Oman
2021,4520471.0,19509.4664633867,,1.54663705583755,2.51200008392334,4.55767743447426,Oman
