Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,11434859.0,394.192633268117,,,,0.952617196167167,Other small states
1973,11695530.0,558.402310631027,,,,0.752206733695937,Other small states
1974,11973174.0,1005.57173450852,,,,1.64071034259402,Other small states
1975,12277843.0,1094.63778525027,,,,2.52259802667508,Other small states
1976,12602416.0,1325.75241776722,,,,0.724656076477089,Other small states
1977,12942771.0,1453.63438379144,,,,1.00737811500451,Other small states
1978,13283747.0,1562.55516005723,,,,1.53457338622864,Other small states
1979,13615223.0,1979.60661494571,,,,1.79393942973433,Other small states
1980,13944253.0,2683.94733617637,,13.5715405108088,,-0.350112793638291,Other small states
1981,14271696.0,2636.23708861493,,10.7446936083977,,1.16865871529601,Other small states
1982,14609237.0,2435.91887384076,,9.84677216779704,,1.07497684995917,Other small states
1983,14959682.0,2247.23378529068,,6.05263157894737,,1.02658919759569,Other small states
1984,15318328.0,2210.4380606577,,6.51482886102734,,1.112216297604,Other small states
1985,15695954.0,2050.07774002556,,5.21385604530718,,1.16941589613935,Other small states
1986,16087519.0,2025.44639039586,,8.00377419967496,,1.00513361930103,Other small states
1987,16485453.0,2345.85817485832,,3.31891025641051,,1.02270500621525,Other small states
1988,16892944.0,2571.98131360912,,5.52943536413514,,1.50458808240049,Other small states
1989,17344012.0,2623.01863296651,,6.95334829552137,,1.1141632634041,Other small states
1990,17806417.0,3057.69425206652,,8.86858010537634,,1.2105110842312,Other small states
1991,18240116.0,3073.70466089755,,6.90489632742761,9.79900844268444,2.10850082626315,Other small states
1992,18570361.0,3293.28000791889,,4.2956155335387,10.2856079565534,2.72701270784676,Other small states
1993,18881697.0,3084.44904817616,,5.78839590443698,10.87824012309,-0.439174145556274,Other small states
1994,19221949.0,3169.37661226607,,4.69858931054978,11.1941112969405,1.37620146516825,Other small states
1995,19547007.0,3579.18667226678,,6.98097441830553,11.5228461123233,3.35780196646639,Other small states
1996,19901069.0,3705.68814835928,,4.90453460620531,11.6976183028339,6.00447343351877,Other small states
1997,20269198.0,3788.31164440746,,4.83448981913323,11.8228112888332,3.83606593989261,Other small states
1998,20646215.0,3644.00573012528,,2.9513888888889,11.6317777517758,4.6976006810832,Other small states
1999,21041578.0,3848.54665175107,,3.23183260906467,11.6163257676293,4.91658500705103,Other small states
2000,21437978.0,4275.74352876538,226.496269319114,4.08007358605408,11.3990711235361,5.10937819523497,Other small states
2001,21823886.0,4179.36175451686,224.158623878112,3.38237709214748,11.5862683804261,4.51388209266913,Other small states
2002,22208079.0,4427.97838761934,247.615508462891,3.41658194795912,11.5223426317554,3.44111661153561,Other small states
2003,22590088.0,5408.82299889643,311.928606864032,2.93743124050212,11.8740256404861,5.00416850809407,Other small states
2004,22986615.0,6594.81260009401,358.860926802393,3.23751394003323,11.6857104937586,9.6933910089915,Other small states
2005,23450481.0,7830.0468600591,388.87188960898,3.32919922802853,11.4104724571655,19.5404363514377,Other small states
2006,24035320.0,8968.75292915752,413.23620022271,3.70978479803866,10.7419387852924,19.7825845183274,Other small states
2007,24697686.0,10676.4277517625,481.578129648764,5.10383437625303,10.2017027119094,22.8975972529487,Other small states
2008,25375277.0,12721.4823126042,527.715131340164,9.07943964570875,9.91985504735737,12.4073182834081,Other small states
2009,26013714.0,10649.6278514835,501.396532240417,3.13111828379103,10.5769135843031,30.0716030670172,Other small states
2010,26565994.0,12135.4065878281,511.652657981847,3.16340141172307,10.8665873414023,16.9378291030126,Other small states
2011,27072916.0,14656.7516002022,553.111650922832,4.80063594169398,10.5002955078519,14.9825660763602,Other small states
2012,27617274.0,14983.3650641167,551.349397574524,4.03932356139044,10.2872703111361,20.4462618410488,Other small states
2013,28225516.0,15301.1620473154,597.748594420623,3.26099456858863,10.4645075217189,8.20707704688917,Other small states
2014,28907278.0,15443.8933803058,636.762687631202,2.12000175718133,10.1824941161553,13.9301130045132,Other small states
2015,29620768.0,12502.0953801451,595.703149441855,1.54869158222488,10.0291041295625,10.2471645712292,Other small states
2016,30309723.0,12087.1223886966,608.696667045495,1.5031205586109,9.92244972914643,4.23703912277212,Other small states
2017,30940039.0,12894.0758276533,644.21387689258,2.38023599053136,9.54290565449446,4.83894356635092,Other small states
2018,31494217.0,14062.5039847728,671.296053129372,2.64707073265592,9.16409166707108,1.59908436793495,Other small states
2019,32005203.0,13540.4002873269,662.273552442214,1.64206001768947,9.05738103271378,14.6587682398679,Other small states
2020,32381190.0,11683.1860582817,,1.77740783806174,10.1514287226059,-4.20286935174803,Other small states
2021,32708003.0,13878.8148434096,,2.44608867175472,10.0754841757975,-3.43709136451613,Other small states
