Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1230989.0,426.99178187365,,,,2.37643901942808,Pacific island small states
1973,1255419.0,570.880451553768,,,,3.40789509164419,Pacific island small states
1974,1280025.0,795.484992641702,,,,2.21572895918917,Pacific island small states
1975,1305437.0,871.190435546553,,,,2.77419668829712,Pacific island small states
1976,1332485.0,855.849136866335,,,,1.51274790996654,Pacific island small states
1977,1361037.0,874.192799608724,,,,2.54782627059506,Pacific island small states
1978,1390769.0,992.172973943918,,,,1.71297119741497,Pacific island small states
1979,1422213.0,1188.70866504712,,,,1.34476405351367,Pacific island small states
1980,1454737.0,1351.47064307526,,,,2.70785390328695,Pacific island small states
1981,1487956.0,1360.15553091154,,,,2.64388902721448,Pacific island small states
1982,1521474.0,1297.69645078637,,,,2.60525809991339,Pacific island small states
1983,1555359.0,1207.20819851439,,,,2.28194686546362,Pacific island small states
1984,1590087.0,1244.84696657475,,,,1.90419502962746,Pacific island small states
1985,1625232.0,1152.62184063778,,,,1.69981895379264,Pacific island small states
1986,1659314.0,1230.85325741136,,,,0.74624893616016,Pacific island small states
1987,1691381.0,1175.13980907784,,,,2.38004032508718,Pacific island small states
1988,1721273.0,1181.21431075352,,,,2.57555356810773,Pacific island small states
1989,1749210.0,1202.62220380889,,,,2.90629639138559,Pacific island small states
1990,1776243.0,1325.6592844842,,,,0.00816347364934256,Pacific island small states
1991,1800161.0,1389.04423690017,,,3.20410147434416,0.170798798867438,Pacific island small states
1992,1822819.0,1504.81568515082,,,3.07307252228895,3.65470884788139,Pacific island small states
1993,1846876.0,1574.56041277414,,,3.18391032540766,2.06353452381995,Pacific island small states
1994,1870257.0,1831.90348347055,,,3.15605229804912,0.222261243225536,Pacific island small states
1995,1892547.0,1963.99565361617,,,3.22894020534222,0.479486969760519,Pacific island small states
1996,1917072.0,2075.48417709981,,,3.2921868052248,-0.916704434517476,Pacific island small states
1997,1945783.0,2048.45804113552,,,3.45977874536491,0.705800826854968,Pacific island small states
1998,1976146.0,1727.13707609164,,,3.44532248085178,1.82824817338902,Pacific island small states
1999,2006341.0,1869.54535402445,,,3.39927146316161,-3.82717461475882,Pacific island small states
2000,2035672.0,1687.73858578164,89.4477785201645,2.34810327420259,3.67356268972396,1.12232641170959,Pacific island small states
2001,2064193.0,1641.99001392009,86.1370820345718,4.05547744166415,3.6259463021912,1.88074666623271,Pacific island small states
2002,2091909.0,1701.23716023363,94.4310537931921,1.96356754199194,3.59884283034469,1.64860849912984,Pacific island small states
2003,2119122.0,2000.42639459842,100.475602854289,3.01624129930396,3.56814166164863,1.62287919270964,Pacific island small states
2004,2146140.0,2272.91086989584,124.305359326182,4.96407576747222,3.45781519947552,6.20040719053573,Pacific island small states
2005,2172802.0,2494.10990069271,147.133270070904,3.95146235220908,3.0231158330439,4.02269374625355,Pacific island small states
2006,2199540.0,2586.38709734578,145.542287653949,4.42981143370251,3.00509506880667,13.7243163663718,Pacific island small states
2007,2226078.0,2818.28436900209,153.287984811329,4.36959514201883,3.10786797400286,10.4034154859638,Pacific island small states
2008,2251506.0,2977.75368068694,156.128352966263,11.0064471756381,3.1451800118414,13.6138869870137,Pacific island small states
2009,2276149.0,2649.81034233481,151.829666371089,5.31100954595294,3.29381631860479,7.07066043247878,Pacific island small states
2010,2301401.0,2882.7192639379,169.347971281659,2.1024424341626,3.14194293601232,6.06220233359228,Pacific island small states
2011,2327284.0,3324.79654277336,175.118786159662,4.87864641704219,3.08858668127603,5.53514920110702,Pacific island small states
2012,2353058.0,3482.42371396297,181.669322967822,2.04901883521161,3.23907636881619,5.23087477631467,Pacific island small states
2013,2379069.0,3584.58282227053,188.205615383542,1.60563054554334,3.04656200977365,5.08242529878432,Pacific island small states
2014,2405308.0,3853.59513746425,196.401026838631,1.45142452367367,3.01152571365387,5.67736363161529,Pacific island small states
2015,2431426.0,3724.5916743202,186.682274270432,0.648242939254553,3.00522619479817,3.81950394839606,Pacific island small states
2016,2457814.0,3867.74169899034,191.149541518763,1.07339388853336,2.96848680165284,6.0501903311982,Pacific island small states
2017,2484263.0,4128.47492262869,196.854106246492,1.58394248575823,2.97423806846819,5.37009830959395,Pacific island small states
2018,2510226.0,4283.74156632459,205.987798073402,2.89621932270308,3.00558376060075,6.1363123342006,Pacific island small states
2019,2536070.0,4233.4136752437,224.656061681281,1.35930740460351,3.01799374853812,4.27562644173868,Pacific island small states
2020,2566819.0,3707.31058055127,,0.218181818181824,3.28564638556411,3.58290033419393,Pacific island small states
2021,2602173.0,3643.84543691992,,2.47788271992722,3.37679041786898,5.89651872108251,Pacific island small states
