Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,62509565.0,150.61721129504,,5.18323764549141,,0.180562617745505,Pakistan
1973,64285624.0,99.2979315283758,,23.0700840250844,,-0.0626622414508386,Pakistan
1974,66149169.0,134.532180127492,,26.6630348537488,,0.0449479012962248,Pakistan
1975,68126999.0,164.848095842385,,20.9045094573998,,0.222605973934864,Pakistan
1976,70230923.0,187.496906570355,,7.15832373118468,,0.0624277014069093,Pakistan
1977,72451105.0,208.776120199417,,10.1329676874054,,0.100642225435154,Pakistan
1978,74789330.0,238.155832543428,,6.13869266742742,,0.181192853254975,Pakistan
1979,77407341.0,254.347760613349,,8.26704697617572,,0.29588069717029,Pakistan
1980,80624057.0,293.3918897736,,11.9382309107087,,0.269010726210538,Pakistan
1981,84270202.0,333.45839209696,,11.8799135925283,,0.384634937305679,Pakistan
1982,87828198.0,349.841762254772,,5.90352878435857,,0.207749628001959,Pakistan
1983,91080372.0,315.017265891048,,6.36203349985299,,0.102666735817458,Pakistan
1984,94003867.0,331.388765820642,,6.08716673573719,,0.1781923494967,Pakistan
1985,97121552.0,320.679810021232,,5.6148392179322,,0.421864139271513,Pakistan
1986,100618523.0,317.02979833839,,3.50641424758203,,0.33145270892202,Pakistan
1987,104251093.0,319.915391915237,,4.68121854620214,,0.387921173050002,Pakistan
1988,107967838.0,356.335215384388,,8.83793701817778,,0.484736838916137,Pakistan
1989,111670386.0,359.728480109951,,7.84426473740038,,0.524258349437157,Pakistan
1990,115414069.0,346.668515520908,,9.0521315527978,,0.612997661913938,Pakistan
1991,119203569.0,382.750576014292,,11.7912703351416,0.669000029563904,0.566385003271713,Pakistan
1992,122375179.0,399.465048775345,,9.50904146190146,0.683000028133392,0.68831454076328,Pakistan
1993,125546615.0,412.674999913296,,9.9736647602921,0.637000024318695,0.67276066140415,Pakistan
1994,129245139.0,404.60675976577,,12.3681943936948,0.644999980926514,0.805119155172614,Pakistan
1995,133117476.0,455.507603093508,,12.3435785170513,0.647000014781952,1.19175290823693,Pakistan
1996,137234810.0,461.399864998701,,10.3738085885002,0.639999985694885,1.45605558177491,Pakistan
1997,141330267.0,441.754633762166,,11.3754928865122,0.610000014305115,1.14722931762728,Pakistan
1998,145476106.0,427.506327495099,,6.22800415424547,0.612999975681305,0.813610045502484,Pakistan
1999,149694462.0,420.682601597428,,4.14263718082168,0.614000022411346,0.844795024739831,Pakistan
2000,154369924.0,531.306496052198,15.58189678,4.36666451291681,0.611000001430511,0.375528498067466,Pakistan
2001,159217727.0,499.218306168163,13.58520222,3.14826144590616,0.600000023841858,0.475564992689487,Pakistan
2002,163262807.0,489.425527180022,15.18973827,3.29034472613156,0.587000012397766,1.03372774054277,Pakistan
2003,166876680.0,549.87037697581,14.45083237,2.91413470059477,0.600000023841858,0.581949477291947,Pakistan
2004,170648620.0,631.471170778428,15.63451576,7.44462469342738,0.603999972343445,1.03749376382738,Pakistan
2005,174372098.0,688.500587937743,19.88389397,9.0633273703042,0.591000020503998,1.8333219331385,Pakistan
2006,178069984.0,770.843339358325,24.99266052,7.92108440058788,0.579999983310699,3.11297798241514,Pakistan
2007,181924521.0,837.631537927295,28.44916725,7.59868441050775,0.400000005960464,3.66832281613449,Pakistan
2008,185931955.0,914.731489303734,25.72966003,20.2861210929554,0.419999986886978,3.1973600016996,Pakistan
2009,190123222.0,884.44101417044,24.05052757,13.6477650639761,0.540000021457672,1.39040226726245,Pakistan
2010,194454498.0,911.090444804549,25.25600243,12.938870563489,0.649999976158142,1.14130485808969,Pakistan
2011,198602738.0,1075.45049647803,27.06708336,11.9160927116277,0.800000011920929,0.620823100122343,Pakistan
2012,202205861.0,1109.67911473926,27.04106331,9.6823518605568,1.8639999628067,0.382826516848328,Pakistan
2013,205337562.0,1126.04126067776,29.97559357,7.6921561189957,2.95000004768372,0.576510795073031,Pakistan
2014,208251628.0,1173.39245362734,34.69661713,7.18938402847025,1.83000004291534,0.772218504215834,Pakistan
2015,210969298.0,1282.44315294243,35.98087311,2.52932817254226,3.5699999332428,0.618355972744254,Pakistan
2016,213524840.0,1468.82142077515,39.42575455,3.76511916356584,3.75600004196167,0.821350368031535,Pakistan
2017,216379655.0,1567.64098625255,42.25715637,4.08537368032604,3.91300010681152,0.735836874144917,Pakistan
2018,219731479.0,1620.74285658945,42.87313461,5.07805725868917,4.07999992370605,0.4877456708772,Pakistan
2019,223293280.0,1437.16590678288,39.49928665,10.5783618004555,4.82999992370605,0.696146444706966,Pakistan
2020,227196741.0,1322.31503608163,,9.73999313898131,6.55000019073486,0.684695160068985,Pakistan
2021,231402117.0,1505.01019279429,,9.49621056124979,6.34000015258789,0.603567633635409,Pakistan
