Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,12172.0,,,,,,Palau
1973,12541.0,,,,,,Palau
1974,12662.0,,,,,,Palau
1975,12607.0,,,,,,Palau
1976,12539.0,,,,,,Palau
1977,12463.0,,,,,,Palau
1978,12387.0,,,,,,Palau
1979,12300.0,,,,,,Palau
1980,12252.0,,,,,,Palau
1981,12386.0,,,,,,Palau
1982,12666.0,,,,,,Palau
1983,12973.0,,,,,,Palau
1984,13299.0,,,,,,Palau
1985,13644.0,,,,,,Palau
1986,13985.0,,,,,,Palau
1987,14309.0,,,,,,Palau
1988,14632.0,,,,,,Palau
1989,14957.0,,,,,,Palau
1990,15293.0,,,,,,Palau
1991,15640.0,,,,,,Palau
1992,16004.0,,,,,,Palau
1993,16380.0,,,,,,Palau
1994,16770.0,,,,,,Palau
1995,17209.0,,,,,,Palau
1996,17732.0,,,,,,Palau
1997,18297.0,,,,,,Palau
1998,18852.0,,,,,,Palau
1999,19380.0,,,,,,Palau
2000,19726.0,7416.48078677887,678.14367676,,,2.17204477178352,Palau
2001,19828.0,7913.45067581198,639.46069336,,,-0.912545958489024,Palau
2002,19851.0,8220.48763286484,665.66986084,-1.30123617436563,,1.164945102151,Palau
2003,19880.0,7744.6277665996,701.31958008,0.922874093605793,,2.98363855778524,Palau
2004,19907.0,8297.89521273924,828.78088379,4.96407576747222,,4.14383096166629,Palau
2005,19831.0,9603.79708537139,873.77191162,3.95146235220908,,2.0855520024111,Palau
2006,19619.0,9805.92282990978,934.90930176,4.42981143370251,,17.3005720060671,Palau
2007,19366.0,10270.4585355778,1003.2779541,3.23875035826883,,2.20376562458992,Palau
2008,19102.0,10380.2690817715,1000.2454834,11.9655746807329,,2.39134730898474,Palau
2009,18826.0,9960.84138956762,1037.08776855,1.43813538308954,,1.48828356114563,Palau
2010,18540.0,10029.28802589,1183.16674805,1.44219017355171,,1.4441221856698,Palau
2011,18240.0,10795.5646929825,1176.57580566,4.67469879518072,,4.22836855286471,Palau
2012,17946.0,11835.3839295665,1392.04858398,3.61418047882136,,10.188018106261,Palau
2013,17805.0,12418.8261724235,1535.4510498,3.35481004221282,,8.15907122421956,Palau
2014,17796.0,13580.0067430883,1678.01208496,4.19174548581256,,16.4936270005603,Palau
2015,17794.0,15761.3633809149,1805.98583984,0.94904064369715,,12.3309711757548,Palau
2016,17816.0,16743.376740009,2031.47277832,-1.04230533415084,,21.3607106939323,Palau
2017,17837.0,16011.6611537815,1947.85327148,1.41798819666923,,15.5822829131653,Palau
2018,17864.0,15948.275862069,1726.66125488,2.10970464135021,,17.7623727623728,Palau
2019,17916.0,15567.0908684974,2355.69580078,0.267379679144381,,19.4403011832198,Palau
2020,17972.0,14016.2474961051,,0.218181818181824,,16.8435887256848,Palau
2021,18024.0,12083.8881491345,,2.61248185776489,,14.9444444444444,Palau
