Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1602646.0,1044.15554027527,,5.40954883948924,,,Panama
1973,1646580.0,1162.28388538668,,6.8564305005338,,,Panama
1974,1690676.0,1294.33883251433,,16.2680666277125,,,Panama
1975,1734876.0,1403.73381152313,,5.88104130650947,,,Panama
1976,1779037.0,1454.77918671731,,3.94999999941721,,,Panama
1977,1823146.0,1501.9432892374,,4.58553791889615,,0.398062727308882,Panama
1978,1867313.0,1737.55476451993,,4.20052123266096,,-0.0770520834482694,Panama
1979,1911814.0,1937.71548905908,,7.98881859610768,,1.34429224848697,Panama
1980,1956987.0,2357.75015368012,,13.8079019078008,,5.46803804974263,Panama
1981,2003092.0,2607.18004964325,,7.30232836526218,,5.805735902397,Panama
1982,2050247.0,2814.18185223536,,4.25057176328123,,6.35380844349042,Panama
1983,2098499.0,2822.85381122412,,2.10284124368166,,1.34036583107687,Panama
1984,2147577.0,2879.23883520824,,1.58264332858588,,0.359026527710031,Panama
1985,2197065.0,2977.38897119566,,1.02661989275158,,1.02881333139066,Panama
1986,2246960.0,3025.3472246947,,-0.0663841083593842,,1.85500258302858,Panama
1987,2297231.0,2972.12831447948,,0.996423096679204,,-6.56007552098373,Panama
1988,2347821.0,2514.15393251871,,0.359220844928172,,-7.80140433409771,Panama
1989,2398535.0,2467.53530801093,,0.205867258317722,,0.870157350469204,Panama
1990,2449968.0,2626.14328023876,,0.76948535495604,,2.10601018003356,Panama
1991,2502044.0,2827.55838826176,,1.25626077674686,6.06400012969971,1.76262501368437,Panama
1992,2554382.0,3148.44753055729,,1.82452156989959,6.08500003814697,1.87134643699431,Panama
1993,2607499.0,3368.20278742197,,0.453930078840384,6.1230001449585,2.01535188032444,Panama
1994,2661385.0,3518.953402082,,1.26843190106193,6.1100001335144,4.28710705780829,Panama
1995,2716067.0,3524.8812713383,,0.994206982933863,6.06199979782104,2.93822304062591,Panama
1996,2771606.0,3561.29045759029,,1.25571661111545,6.03800010681152,4.33919518111252,Panama
1997,2827992.0,3775.57153627026,,1.32435122100609,6.01599979400635,12.2896397802809,Panama
1998,2885177.0,4012.05416513441,,0.559081293442533,6.02899980545044,11.3619415595357,Panama
1999,2943120.0,4121.56221968523,,1.24718256949633,6.06699991226196,8.60245922999029,Panama
2000,3001731.0,4099.00653989315,285.20233154,1.49896111605775,6.05100011825562,6.72783048597969,Panama
2001,3061024.0,4084.2585357057,281.0045166,0.307062436028713,6.04199981689453,4.85361821800639,Panama
2002,3120990.0,4163.52195937827,291.9536438,1.00583090379042,5.99499988555908,1.90160148860227,Panama
2003,3181608.0,4304.10697986678,286.98504639,0.391666666666668,6.00699996948242,7.67198365950729,Panama
2004,3243311.0,4629.02931602921,326.21090698,0.474723078204383,5.93900012969971,8.51173989668164,Panama
2005,3305868.0,4953.12997978141,304.47799683,2.85588324760956,5.94899988174438,6.74467712664467,Panama
2006,3368573.0,5385.56424337546,350.74438477,2.45789346442094,5.86399984359741,16.229490452043,Panama
2007,3431614.0,6205.82157550354,427.22872925,4.16863300298888,5.8439998626709,10.443283480648,Panama
2008,3495276.0,7197.11078610101,489.81594849,8.75868317728783,5.90799999237061,9.50075760790259,Panama
2009,3559343.0,7618.43845900774,530.07055664,2.40905304082197,6.01100015640259,4.00307772694338,Panama
2010,3623617.0,8124.55830734871,572.6137085,3.49128872618805,5.875,8.65854313189522,Panama
2011,3688674.0,9403.43990821634,616.99951172,5.87580243678762,4.05000019073486,12.6724660544849,Panama
2012,3754862.0,10767.2931788172,703.82843018,5.69819959165999,3.71700000762939,8.36489016737695,Panama
2013,3821556.0,11932.2862205866,790.77667236,4.0271599157105,3.70300006866455,8.33115862096189,Panama
2014,3888793.0,12837.2479584282,885.66424561,2.62652699929154,4.41900014877319,9.98449562712584,Panama
2015,3957099.0,13669.5594424097,928.09674072,0.137492058461537,4.36800003051758,9.46409622160845,Panama
2016,4026336.0,14382.2323819969,1050.24365234,0.739734025300028,4.75899982452393,9.06331014737246,Panama
2017,4096063.0,15185.9724813803,1046.33679199,0.875585918759888,5.39200019836426,6.56251652892881,Panama
2018,4165255.0,15588.337328687,1131.66015625,0.761578359399943,5.21799993515015,8.1122907828657,Panama
2019,4232532.0,15826.0823544866,1192.82080078,-0.355083821021212,6.32999992370605,6.64517318502517,Panama
2020,4294396.0,12569.1715435651,,-1.55027540803759,14.1140003204346,-3.99194913361246,Panama
2021,4351267.0,14617.6044816372,,1.63070337301891,10.3009996414185,2.12267110524156,Panama
