Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2610700.0,328.954700244434,,6.07499999951511,,9.99997628174994,Papua New Guinea
1973,2672144.0,486.165880556157,,8.34315342947218,,8.61362085929813,Papua New Guinea
1974,2733313.0,536.837917939559,,23.1672830103247,,4.95384162479996,Papua New Guinea
1975,2794462.0,485.457013498702,,10.4909925823772,,-0.164382611212969,Papua New Guinea
1976,2855837.0,529.391762995691,,7.65664961624511,,1.3777849281898,Papua New Guinea
1977,2917572.0,562.372823857582,,4.52858203462227,,1.20689219009869,Papua New Guinea
1978,2979606.0,653.760102622117,,5.7999999989996,,1.99733119947935,Papua New Guinea
1979,3041902.0,754.009150974093,,5.76559546319338,,1.92720291306922,Papua New Guinea
1980,3104788.0,820.018309752497,,12.0643431636461,,2.96638392559221,Papua New Guinea
1981,3169073.0,788.264691494531,,8.05422647614105,,3.44983927235332,Papua New Guinea
1982,3235264.0,732.114896816098,,5.53505535055348,,3.62613729331204,Papua New Guinea
1983,3303677.0,775.648625703301,,7.90209790139861,,5.41921321827362,Papua New Guinea
1984,3374465.0,756.423985157913,,7.42060920354789,,4.53227170367364,Papua New Guinea
1985,3447579.0,702.920248694396,,3.71040723981906,,3.43938218670432,Papua New Guinea
1986,3522916.0,751.659638123359,,5.45375218150087,,3.42913430593188,Papua New Guinea
1987,3600343.0,873.208005824451,,3.33747069369718,,2.96384745272341,Papua New Guinea
1988,3679651.0,993.566972100469,,5.44508207660466,,4.1984310343773,Papua New Guinea
1989,3764112.0,942.177112952843,,4.48044551322658,,5.7350350570288,Papua New Guinea
1990,3864972.0,833.053994956815,,6.95336159903071,,4.82691035296789,Papua New Guinea
1991,3990995.0,948.985142297395,,6.96568127760758,2.55900001525879,3.18418311784417,Papua New Guinea
1992,4136644.0,1058.34113596819,,4.30961457009744,2.49399995803833,2.42903575338544,Papua New Guinea
1993,4291588.0,1159.13976042936,,4.97411430311646,2.43199992179871,1.24740106098499,Papua New Guinea
1994,4451694.0,1236.11058389273,,2.85272217387133,2.66199994087219,1.08514966617677,Papua New Guinea
1995,4616439.0,1004.24969904848,,17.280932681459,2.86299991607666,9.8050738668279,Papua New Guinea
1996,4785895.0,1077.18850442602,,11.6241782908448,2.65400004386902,2.1304733348918,Papua New Guinea
1997,4960439.0,995.197259515472,,3.96437805228409,2.90400004386902,0.573526453442751,Papua New Guinea
1998,5138829.0,737.413721028004,,13.5741917656809,2.91599988937378,2.88798382712168,Papua New Guinea
1999,5321388.0,653.408134121648,,14.9321817407701,2.81299996376038,8.57120177875045,Papua New Guinea
2000,5508297.0,639.279199918609,17.84069252,15.5958933107535,2.92000007629395,2.74030313917345,Papua New Guinea
2001,5698489.0,540.673889592354,17.44826126,9.2981733278397,2.80100011825562,2.05072450909515,Papua New Guinea
2002,5892596.0,509.030491857518,19.96473694,11.7994470972606,2.73300004005432,0.672123736108209,Papua New Guinea
2003,6090980.0,580.59816717438,21.63471603,14.7090779663557,2.61800003051758,4.76766811241032,Papua New Guinea
2004,6293166.0,624.03532132549,25.62973022,2.15893131266947,2.53900003433228,0.82866506400015,Papua New Guinea
2005,6498818.0,748.735073405033,27.67082405,1.78080439925828,2.40199995040894,0.821562762714584,Papua New Guinea
2006,6708217.0,1245.48843702865,30.49430084,2.3684623841683,2.35199999809265,1.53857713529864,Papua New Guinea
2007,6921066.0,1379.14838756488,33.9405365,0.911350455675219,2.2409999370575,1.36859585321604,Papua New Guinea
2008,7137988.0,1635.0322992722,35.72151947,10.7614182326827,2.32599997520447,0.410072290891162,Papua New Guinea
2009,7358890.0,1578.99327194604,37.88201141,6.91832532601222,2.125,3.61490409353914,Papua New Guinea
2010,7583269.0,1879.23641257163,41.08378601,6.01360893567859,2.0,0.249750359591668,Papua New Guinea
2011,7806637.0,2303.79746130093,55.21439743,4.44083401028976,2.61999988555908,0.202499221111516,Papua New Guinea
2012,8026545.0,2653.15390913735,74.42443085,4.53720508166969,2.53299999237061,0.135223367287402,Papua New Guinea
2013,8245627.0,2578.51013528353,81.8216095,4.96031746031744,2.53299999237061,0.126068766384912,Papua New Guinea
2014,8464153.0,2742.23333845605,95.54537964,5.22211720226844,2.33999991416931,0.126825067971696,Papua New Guinea
2015,8682174.0,2502.08429055221,48.73184967,5.99595778127105,2.44899988174438,0.129731741773851,Papua New Guinea
2016,8899169.0,2332.69748030362,58.48953247,6.67372881355933,2.45499992370605,-0.188415281448321,Papua New Guinea
2017,9114796.0,2495.13138348767,60.09675598,5.42204568023833,2.4779999256134,-0.788239272024466,Papua New Guinea
2018,9329227.0,2584.29876909847,63.48856354,4.37448921453166,2.53800010681152,1.27186955295438,Papua New Guinea
2019,9542486.0,2593.80465015989,65.08071899,3.92867290939598,2.43199992179871,1.35577343472576,Papua New Guinea
2020,9749640.0,2446.06630562295,,4.87167398565548,2.69400000572205,0.4737981119472,Papua New Guinea
2021,9949437.0,2672.94579035518,,4.48359014042394,2.82500004768372,-0.0402811479739075,Papua New Guinea
