Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2521508.0,304.991966132839,,9.18037497303687,,0.452642429127236,Paraguay
1973,2583160.0,385.392986122325,,12.7968945326021,,0.924129234117525,Paraguay
1974,2648082.0,503.562728354106,,25.2333177791075,,1.77401097585436,Paraguay
1975,2714664.0,556.761586303364,,6.69306008366745,,1.61437520675912,Paraguay
1976,2782624.0,610.560506004519,,4.47461474664498,,1.29490958522719,Paraguay
1977,2852430.0,733.46540674398,,9.35985291662837,,1.03720619698648,Paraguay
1978,2924370.0,875.353372814364,,10.6602475929182,,0.960991126736983,Paraguay
1979,2999415.0,1139.14805979759,,28.1610386024436,,1.46922051315404,Paraguay
1980,3078912.0,1444.69452247654,,22.4473301362176,,0.712665868511345,Paraguay
1981,3163299.0,1778.05382071561,,12.9746974698193,,0.567159924875368,Paraguay
1982,3251678.0,1666.65080758485,,5.12006543713196,,0.675350048844025,Paraguay
1983,3343276.0,1696.91306555737,,13.433755563163,,0.0863702657245002,Paraguay
1984,3437892.0,1309.65801343961,,20.3114625460255,,0.115492347693665,Paraguay
1985,3535498.0,928.426274250838,,25.2107164358818,,0.0213255392459299,Paraguay
1986,3636027.0,1024.19314894826,,31.7425972672999,,0.0161117340472993,Paraguay
1987,3739050.0,1062.04643527163,,21.8102740350983,,0.133466137216533,Paraguay
1988,3844437.0,1106.97184745994,,22.5942571785268,,0.197383098251427,Paraguay
1989,3951288.0,1204.09653762574,,26.4221267235586,,0.269035739340308,Paraguay
1990,4059195.0,1431.83920038625,,37.2599561799201,,1.32309849875687,Paraguay
1991,4167996.0,1675.7136434161,,24.2253521126763,5.09999990463257,1.232752955211,Paraguay
1992,4277051.0,1673.44837156734,,15.1927437641721,4.98000001907349,1.64165207328915,Paraguay
1993,4386202.0,1652.8043214394,,18.2086614173227,5.05999994277954,1.03454930935037,Paraguay
1994,4495301.0,1750.93547791783,,20.5661948376355,4.40999984741211,1.7418411059262,Paraguay
1995,4603917.0,1968.35248659417,,13.4254143646407,3.40000009536743,1.04280102601092,Paraguay
1996,4711655.0,2077.4848286906,,9.79968339016077,8.14999961853027,1.42822235904122,Paraguay
1997,4818289.0,2068.20837812986,,6.9495660853412,5.3600001335144,2.3170574100351,Paraguay
1998,4923449.0,1880.89316502001,,11.5532684355839,4.42000007629395,3.6779944686054,Paraguay
1999,5026031.0,1758.26019288757,,6.75226586102725,5.34000015258789,0.986752370140912,Paraguay
2000,5123819.0,1728.34074341006,100.12653351,8.98215976750021,7.6100001335144,1.21729436901028,Paraguay
2001,5211541.0,1630.1908460827,87.77079773,7.26806028584826,6.21000003814697,1.16763488895181,Paraguay
2002,5286512.0,1361.24928059287,61.89070129,10.5102420856612,9.39000034332275,1.25620797120523,Paraguay
2003,5353254.0,1436.76490433294,67.00151825,14.2367970499143,6.80999994277954,-0.750191694990596,Paraguay
2004,5416324.0,1776.93225816866,82.83692169,4.32326492967493,6.51000022888184,0.976461922292792,Paraguay
2005,5476878.0,1960.51476554933,89.03581238,6.80738203116369,4.82000017166138,0.067986029076693,Paraguay
2006,5534675.0,2426.41709770871,114.00064087,9.59130884635285,5.28000020980835,1.39842122336644,Paraguay
2007,5590145.0,3194.26298162817,149.45033264,8.1287764350453,4.71000003814697,0.588024684579866,Paraguay
2008,5645148.0,4360.4291089526,203.91345215,10.1545446607876,4.42000007629395,1.38879880831373,Paraguay
2009,5702574.0,3920.18607071017,200.3764801,2.59194673430563,5.46000003814697,0.696082548091798,Paraguay
2010,5768613.0,4725.72634101583,237.33457947,4.65116279069769,4.57000017166138,2.59494297471649,Paraguay
2011,5843939.0,5776.2818479967,310.1144104,8.25396825396827,4.67000007629395,1.78661903862142,Paraguay
2012,5923322.0,5617.10491786787,338.66455078,3.67591897974491,4.09000015258789,2.32207294991621,Paraguay
2013,6005652.0,6410.81470278733,360.03497314,2.68385738718591,4.38000011444092,0.950310709330236,Paraguay
2014,6090721.0,6629.41699277341,405.47244263,5.0288276745676,5.03000020980835,2.20737777113604,Paraguay
2015,6177950.0,5861.40189546648,362.27139282,3.12900274473923,4.55999994277954,1.60592947182296,Paraguay
2016,6266615.0,5759.04219789251,355.4480896,4.08682280577243,5.25,2.05261134416991,Paraguay
2017,6355404.0,6136.0583014952,375.31781006,3.60247741348939,4.6100001335144,1.34114743185839,Paraguay
2018,6443328.0,6242.96145417898,390.04763794,3.97561015740691,6.21999979019165,0.541120963557666,Paraguay
2019,6530026.0,5807.83879407975,388.39324951,2.75709727562792,6.59000015258789,1.06104676965212,Paraguay
2020,6618695.0,5353.34806456279,,1.76751592356686,7.55000019073486,0.268692652315654,Paraguay
2021,6703799.0,5891.49996504641,,4.78798310123612,7.30999994277954,0.524352949431123,Paraguay
