Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,14292437.0,642.956369795013,,7.21972216770544,,0.656331337108437,Peru
1973,14674785.0,749.202246903927,,9.48905109503397,,0.869807878376058,Peru
1974,15057175.0,920.387868980145,,16.8916666665702,,0.450065046637372,Peru
1975,15441497.0,1092.97458608442,,23.6187352963326,,0.480560602474986,Peru
1976,15826813.0,1007.63870651722,,33.4832756634568,,0.450779470510757,Peru
1977,16224613.0,901.123908115672,,38.0540914196793,,0.370031252972112,Peru
1978,16638480.0,752.46116035285,,57.8487826251505,,0.199683542044817,Peru
1979,17059185.0,934.047068563553,,66.6944229664877,,0.445585764856625,Peru
1980,17492406.0,1036.32138592403,,59.1450712444913,,0.148391242308915,Peru
1981,17932344.0,1208.12583132504,,75.4332687576064,,0.576980029220855,Peru
1982,18374372.0,1185.40147707737,,64.4481585387929,,0.220375478678122,Peru
1983,18826906.0,920.529712697649,,111.150635209158,,0.219263746863047,Peru
1984,19285646.0,911.789224472868,,110.208519562543,,-0.506129161309563,Peru
1985,19746610.0,838.059141189298,,163.399505243687,,0.00604272435086976,Peru
1986,20208437.0,754.349926122441,,77.9210255473595,,0.144316870915139,Peru
1987,20671360.0,1001.49667931863,,85.8223062381847,,0.154572209260771,Peru
1988,21143799.0,730.20976255024,,667.019328585961,,0.168400234302469,Peru
1989,21624311.0,1040.47518952436,,3398.67901005332,,0.26222736087552,Peru
1990,22109099.0,1194.54830200693,,7481.66361124526,,0.15524195277147,Peru
1991,22583006.0,1520.67736235824,,409.530166622023,4.65199995040894,-0.0203835211937861,Peru
1992,23047248.0,1560.54650443571,,73.5282942442641,4.80000019073486,-0.219650047241117,Peru
1993,23513882.0,1481.34098915924,,48.5799864468884,4.57800006866455,2.18358771544823,Peru
1994,23983258.0,1871.3921088991,,23.7369050565046,4.32399988174438,7.32850781495285,Peru
1995,24449055.0,2180.56663897168,,11.1287029707088,4.54400014877319,4.79618741233796,Peru
1996,24907304.0,2218.32174731966,,11.5379424115177,4.76900005340576,6.282348119331,Peru
1997,25365386.0,2292.39651714831,,8.56218948953654,4.6399998664856,3.67902174881379,Peru
1998,25818226.0,2149.70106301576,,7.24782175213469,4.97499990463257,2.96199214687156,Peru
1999,26252239.0,1911.73501688306,,3.46965996293021,4.92000007629395,3.86553540501239,Peru
2000,26654439.0,1941.318259717,84.07585907,3.75733833344474,4.89799976348877,1.56479019339424,Peru
2001,27014909.0,1925.97942030475,89.9174881,1.97709878502052,5.02699995040894,2.19922450158059,Peru
2002,27334503.0,2003.97108061855,98.33521271,0.193135003853723,4.84000015258789,3.93562084538868,Peru
2003,27623341.0,2126.13782387391,98.09124756,2.25937753363075,4.15000009536743,2.27308642513175,Peru
2004,27893911.0,2393.66589710452,106.03347015,3.66247320092231,4.71000003814697,2.39489207548148,Peru
2005,28147267.0,2702.23770075461,124.29225922,1.61630193862544,4.86999988555908,3.39034816926813,Peru
2006,28381078.0,3123.32015935927,137.21992493,2.00225801248821,4.17000007629395,3.91065680458788,Peru
2007,28600387.0,3572.36358879114,159.6578064,1.77998644680372,4.07999992370605,5.37428655925626,Peru
2008,28806185.0,4184.88598248749,192.47825623,5.78587598206754,4.03000020980835,5.74335697642786,Peru
2009,29009326.0,4164.97048299155,209.96012878,2.93623153596699,3.96000003814697,5.32237544034606,Peru
2010,29229572.0,5047.24930726929,241.92869568,1.52832059732903,3.59999990463257,5.73082661489074,Peru
2011,29477721.0,5826.83230656078,264.88504028,3.36931095333853,3.48000001907349,4.47262658184166,Peru
2012,29749589.0,6475.68607048931,309.84738159,3.61121294940175,3.24000000953674,7.36177590919051,Peru
2013,30038809.0,6697.18526837489,323.16552734,2.76789666081994,3.5699999332428,4.75735076256687,Peru
2014,30353951.0,6614.93333937211,334.68731689,3.4119457980747,3.21000003814697,2.12299674719356,Peru
2015,30711863.0,6180.1949572907,312.72171021,3.39809194746299,3.26999998092651,3.86546582839674,Peru
2016,31132779.0,6163.79102629697,313.5171814,3.55717663556281,3.74000000953674,3.54632181513211,Peru
2017,31605486.0,6676.28422114802,334.82333374,2.99490045809446,3.69000005722046,3.51334442453934,Peru
2018,32203944.0,6912.11029696274,365.86383057,1.50915423024742,3.49000000953674,2.63824378661164,Peru
2019,32824861.0,6955.80995882668,370.10995483,2.25212191358024,3.38000011444092,2.08491789500609,Peru
2020,33304756.0,6056.34390291445,,2.00241205759293,7.17999982833862,0.362712384681173,Peru
2021,33715471.0,6621.57433601881,,4.27166381536796,5.09999990463257,3.33936583288333,Peru
