Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,39412479.0,230.076179145029,,8.20403413498833,,0.045214573366591,Philippines
1973,40406234.0,282.442086031599,,16.5800322638464,,0.519609290596131,Philippines
1974,41388324.0,377.106960675247,,34.1635916359165,,0.837656748487209,Philippines
1975,42394433.0,398.053222778291,,6.76140270456079,,0.675545920428909,Philippines
1976,43474370.0,445.801648017173,,9.19922713611011,,0.792015011255719,Philippines
1977,44646518.0,499.102417251321,,9.89875159736565,,0.942414647975605,Philippines
1978,45890739.0,561.378575003951,,7.33452593917692,,0.392049124727544,Philippines
1979,47154232.0,662.05103011485,,17.5333333327501,,0.0224225963302842,Philippines
1980,48419546.0,761.019997674105,,18.2005104938509,,-0.287666363415192,Philippines
1981,49679330.0,815.221244073788,,13.0825985241676,,0.424695078486207,Philippines
1982,50938522.0,828.567646214306,,10.2217271376891,,0.0379092918676509,Philippines
1983,52219685.0,723.084362876087,,10.0293565620481,,0.278077648048777,Philippines
1984,53514959.0,667.667572185048,,50.3389756374499,,0.0251887739420113,Philippines
1985,54812660.0,637.83741315525,,23.1031071803888,,0.0343234060313978,Philippines
1986,56109838.0,605.725843521468,,1.14813777653333,,0.373670318968974,Philippines
1987,57415175.0,658.213490259189,,4.06976744186029,,0.812353214955415,Philippines
1988,58755923.0,734.429409229958,,13.8600691673318,,2.16907284037465,Philippines
1989,60127343.0,806.849818370655,,12.2429906542055,,1.1604960759333,Philippines
1990,61558898.0,820.487180286668,,12.1773522064946,,1.04933276347518,Philippines
1991,63039751.0,821.453230868496,,19.2614585266282,3.83400011062622,1.05051333239943,Philippines
1992,64543525.0,936.148270418193,,8.65100357865264,3.80200004577637,0.37734406820693,Philippines
1993,66083321.0,938.763734682196,,6.71631104109973,3.73799991607666,1.995595336733,Philippines
1994,67650283.0,1081.43295609927,,10.3864734299518,3.66100001335144,2.17470804758689,Philippines
1995,69250468.0,1222.29094684962,,6.83199610989531,3.65100002288818,1.74613222051983,Philippines
1996,70944969.0,1334.10565630149,,7.47610377787908,3.60800004005432,1.60277940029249,Philippines
1997,72718837.0,1294.11012788891,,5.59025939650602,3.63000011444092,1.29853316243478,Philippines
1998,74491918.0,1000.00546700952,,9.2349343226712,3.82800006866455,3.07011493114942,Philippines
1999,76249064.0,1123.16308302211,,5.93904901780807,3.69099998474121,2.13568092300725,Philippines
2000,77958223.0,1073.26322188173,32.77544785,3.97712503249282,3.65499997138977,1.77722653951818,Philippines
2001,79626086.0,991.147982051369,28.20890999,5.3455019556714,3.70000004768372,0.96298544393499,Philippines
2002,81285572.0,1037.17412450288,27.33049011,2.72277227722767,3.62700009346008,2.09827638699321,Philippines
2003,82942837.0,1049.38713351802,32.2433815,2.28915662650606,3.52999997138977,0.565262899289298,Philippines
2004,84607501.0,1122.85586244523,34.17014694,4.82921083627794,3.54999995231628,0.623144588929248,Philippines
2005,86261250.0,1245.28640284825,46.57011795,6.51685393258435,3.79999995231628,1.54906031746045,Philippines
2006,87901835.0,1452.22064136706,54.86775589,5.48523206751051,4.05000019073486,2.12091998075477,Philippines
2007,89561377.0,1741.60317179619,65.47948456,2.90000000000002,3.4300000667572,1.87121282380662,Philippines
2008,91252326.0,1990.35559000084,77.18696594,8.26044703595726,3.72000002861023,0.737800788965931,Philippines
2009,92946951.0,1893.28116413571,79.30064392,4.21903052064627,3.85999989509583,1.1732485077468,Philippines
2010,94636700.0,2201.77507099684,91.60559845,3.7898363479759,3.60999989509583,0.513698459477041,Philippines
2011,96337913.0,2431.20203745534,98.64657593,4.71841704718416,3.58999991416931,0.85696227093021,Philippines
2012,98032317.0,2671.77720537356,112.54360962,3.02696391124798,3.5,1.2276301523858,Philippines
2013,99700107.0,2847.5669365201,122.72746277,2.58268766141797,3.5,1.31642684899212,Philippines
2014,101325201.0,2935.92555618062,109.599823,3.5978234386421,3.59999990463257,1.92937722714262,Philippines
2015,103031365.0,2974.29953130009,116.98881531,0.674192536845387,3.0699999332428,1.84017848953964,Philippines
2016,104875266.0,3038.1497339217,121.55831909,1.25369880080986,2.70000004768372,2.59851000465018,Philippines
2017,106738501.0,3077.43564004791,123.6938324,2.85318772590939,2.54999995231628,3.12238654509764,Philippines
2018,108568836.0,3194.67452128933,128.58248901,5.30934661627714,2.33999991416931,2.86833662667894,Philippines
2019,110380804.0,3413.84792378255,142.07876587,2.39206534422402,2.24000000953674,2.30117574125842,Philippines
2020,112190977.0,3224.42255131214,,2.39316239316241,2.51999998092651,1.8858637841223,Philippines
2021,113880328.0,3460.53096344408,,3.92718022100326,2.63199996948242,3.14972274368077,Philippines
