Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,33055650.0,,,-0.0989119673600669,,,Poland
1973,33357200.0,,,2.47524752475231,,,Poland
1974,33678899.0,,,7.05314009565231,,,Poland
1975,34015199.0,,,2.25631768955089,,,Poland
1976,34356300.0,,,4.41306266552888,,,Poland
1977,34689050.0,,,4.90278951821563,,,Poland
1978,34965600.0,,,8.10126582278465,,,Poland
1979,35247217.0,,,7.02576112412187,,,Poland
1980,35574150.0,,,9.68271334792131,,,Poland
1981,35898587.0,,,19.1271820448877,,,Poland
1982,36230481.0,,,103.55871886121,,,Poland
1983,36571808.0,,,25.534759358289,,,Poland
1984,36904134.0,,,15.4009994265581,,,Poland
1985,37201885.0,,,11.5212607368496,,,Poland
1986,37456119.0,,,16.5499681731381,,,Poland
1987,37668045.0,,,26.3790278536324,,,Poland
1988,37824487.0,,,58.7208297320654,,,Poland
1989,37961529.0,,,244.550932984827,,,Poland
1990,38110782.0,1731.20953112388,,567.878800666191,,0.134893962432865,Poland
1991,38246193.0,2235.54108862522,,76.7694992087346,12.9630002975464,0.340347151546106,Poland
1992,38363667.0,2459.02068468253,,46.0985621037432,13.6499996185303,0.718699593656418,Poland
1993,38461408.0,2497.19524116689,,36.9641666120718,14.3900003433228,1.78560933140963,Poland
1994,38542652.0,2874.8253108452,,32.9912766093522,14.8299999237061,1.69218647040911,Poland
1995,38594998.0,3686.81929987805,,27.951388563304,13.6999998092651,2.57145858691242,Poland
1996,38624370.0,4147.46550145483,,19.7949669196707,12.6800003051758,2.80910726400044,Poland
1997,38649660.0,4123.13561806773,,14.9131586149599,10.960000038147,3.08111703043733,Poland
1998,38663481.0,4518.10822630174,,11.5978554257236,9.9399995803833,3.65398922423378,Poland
1999,38660271.0,4398.08104335996,,7.1540729117986,12.289999961853,4.35626431737654,Poland
2000,38258629.0,4501.45406742273,238.00448608,9.90017538843062,16.3099994659424,5.42040948157807,Poland
2001,38248076.0,4991.24435799511,282.82104492,5.40833545566151,18.3700008392334,2.9737227016127,Poland
2002,38230364.0,5207.17142069402,315.83145142,1.90528215048054,19.8899993896484,2.0550347568498,Poland
2003,38204570.0,5701.6022116161,339.33520508,0.682701375787657,19.3700008392334,2.46571525534969,Poland
2004,38182222.0,6681.38647195042,392.00338745,3.38264681884694,19.0699996948242,5.43608252571293,Poland
2005,38165445.0,8021.50574346795,465.70019531,2.18379872390258,17.75,3.60646880962717,Poland
2006,38141267.0,9035.41046744936,524.09747314,1.28469394366409,13.8400001525879,6.23088479761668,Poland
2007,38120560.0,11254.5173881254,660.92468262,2.45874312385397,9.60000038146973,5.83434426547021,Poland
2008,38125759.0,13996.0251506835,892.59686279,4.1649719352477,7.11999988555908,2.73121288516931,Poland
2009,38151603.0,11526.0558884824,759.60577393,3.79539242483406,8.17000007629395,3.18940270767661,Poland
2010,38042794.0,12504.2501856093,809.19940186,2.58069370250546,9.64000034332275,3.8978625150589,Poland
2011,38063255.0,13776.6115521996,866.09466553,4.23940149625935,9.63000011444092,3.47303615185233,Poland
2012,38063164.0,13010.923390231,815.1418457,3.56037151702788,10.0900001525879,1.44981115977229,Poland
2013,38040196.0,13558.414058018,878.08850098,0.99198260633235,10.3299999237061,0.199509571652743,Poland
2014,38011735.0,14182.1375046373,911.29815674,0.0538213132400467,8.98999977111816,3.79437367984043,Poland
2015,37986412.0,12560.051419682,803.95965576,-0.874125874125849,7.5,3.26925821989901,Poland
2016,37970087.0,12378.75943742,813.47277832,-0.664767331434023,6.15999984741211,3.77641437401691,Poland
2017,37974826.0,13815.6217986247,909.57818604,2.07593553673862,4.8899998664856,2.28706666955821,Poland
2018,37974750.0,15504.5804848188,978.73565674,1.81295156542681,3.84999990463257,3.26164547854556,Poland
2019,37965475.0,15699.9113500703,1014.03820801,2.227478809383,3.27999997138977,2.95593729844806,Poland
2020,37899070.0,15816.989398397,,3.3744697261859,3.16000008583069,3.19476619046641,Poland
2021,37747124.0,17999.9099495446,,5.05502704719268,3.35999989509583,5.46225362316631,Poland
