Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,8630430.0,1302.2662677393,,10.6633559759477,,0.649517167417358,Portugal
1973,8633100.0,1747.98904060266,,12.9746085239333,,0.629532460326749,Portugal
1974,8754365.0,2000.41824574682,,25.0827778589527,,0.605285692395057,Portugal
1975,9093470.0,2127.6375072593,,15.2716857518484,,0.596204406499003,Portugal
1976,9355810.0,2173.28393425975,,21.1419048031955,,0.309839291173725,Portugal
1977,9455675.0,2267.37100319478,,31.0167490988806,,0.270130809871779,Portugal
1978,9558250.0,2457.31321644599,,21.0387723599383,,0.280971823329404,Portugal
1979,9661265.0,2755.6246177008,,21.8992248062016,,0.294123807244313,Portugal
1980,9766312.0,3368.36666940279,,15.8674803836094,,0.477104383867876,Portugal
1981,9851362.0,3245.97521367748,,19.0404107466914,,0.545658052239058,Portugal
1982,9911771.0,3079.94956634271,,21.6792837277095,,0.471810169311415,Portugal
1983,9957865.0,2735.49106580047,,24.0027623802917,,0.539059396254523,Portugal
1984,9996232.0,2522.74747620658,,28.3846388897103,,0.786032725358159,Portugal
1985,10023613.0,2705.19300197317,,19.4614100078696,,1.01061383736377,Portugal
1986,10032734.0,3861.9484333688,,12.3313334897218,,0.614648795347915,Portugal
1987,10030031.0,4803.86609546941,,9.63483186245761,,0.966875348980073,Portugal
1988,10019610.0,5623.69699982123,,10.1016321152265,,1.635542856077,Portugal
1989,10005000.0,6056.38102771889,,12.6863036456149,,2.86643686551845,Portugal
1990,9983218.0,7884.61798756332,,13.6305705693074,,3.3157901460563,Portugal
1991,9960235.0,8958.9853330247,,11.8494841773675,3.92000007629395,2.74387019076576,Portugal
1992,9952494.0,10810.5665079626,,9.55926033177512,3.98000001907349,1.74123247233615,Portugal
1993,9964675.0,9534.6563637308,,6.78377994665411,5.30000019073486,1.6144453804152,Portugal
1994,9991525.0,9977.31990905771,,5.42044019241623,6.71000003814697,1.27368069158283,Portugal
1995,10026176.0,11781.3618502221,,4.22281614099486,7.05999994277954,0.579546715045669,Portugal
1996,10063945.0,12185.0914010629,,3.06897732509791,7.30000019073486,1.28145373512429,Portugal
1997,10108977.0,11575.5071124358,,2.33686298314112,6.57000017166138,2.31647209170027,Portugal
1998,10160196.0,12199.206385024,,2.57275225909127,4.6399998664856,4.89835270210409,Portugal
1999,10217828.0,12475.2917701476,,2.34009490312174,4.57999992370605,0.581077558591109,Portugal
2000,10289898.0,11526.3720667968,995.34210205,2.85303039287156,3.80999994277954,6.14861920837231,Portugal
2001,10362722.0,11734.7649743954,1015.54968262,4.36990330551795,3.82999992370605,5.02761444190449,Portugal
2002,10419631.0,12936.6928204482,1139.4029541,3.60034658290911,4.5,0.436137292252841,Portugal
2003,10458821.0,15797.7821340276,1443.37792969,3.21899090682897,6.13000011444092,6.26697257909762,Portugal
2004,10483861.0,18064.1580932987,1723.74401855,2.365362040973,6.32000017166138,1.312247289237,Portugal
2005,10503330.0,18780.12751241,1814.35449219,2.27716394887833,7.57999992370605,1.70741232717781,Portugal
2006,10522288.0,19839.4540499032,1857.6451416,3.10766545871054,7.65000009536743,6.41633004152,Portugal
2007,10542964.0,22811.0564844365,2112.52880859,2.45396528138739,7.96999979019165,2.50093088549299,Portugal
2008,10558177.0,24949.0413566739,2391.98120117,2.58850657657964,7.55000019073486,2.96833288382339,Portugal
2009,10568247.0,23151.2154130712,2346.54199219,-0.83553002150417,9.43000030517578,2.28302623497813,Portugal
2010,10573100.0,22520.6423124045,2259.30371094,1.40257289895371,10.7700004577637,3.76582354484867,Portugal
2011,10557560.0,23217.2954965207,2255.96923828,3.65301100430729,12.6800003051758,4.00667322712703,Portugal
2012,10514844.0,20563.7136012629,1980.01867676,2.77333854051579,15.5299997329712,9.89545643445142,Portugal
2013,10457295.0,21653.1959752225,2030.63012695,0.27441666666668,16.1900005340576,6.95356286592108,Portugal
2014,10401062.0,22103.7009703321,2059.92651367,-0.278153367467421,13.8999996185303,5.23954143073201,Portugal
2015,10358076.0,19250.1065376852,1790.53405762,0.487938623904736,12.4499998092651,0.636936823177551,Portugal
2016,10325452.0,19991.9724878805,1875.2421875,0.607397074641661,11.0699996948242,3.56292563262165,Portugal
2017,10300300.0,21490.429863104,1998.06469727,1.36861411643481,8.86999988555908,4.82650295326736,Portugal
2018,10283822.0,23562.5545228191,2216.30664063,0.99371568346825,6.98999977111816,3.23799499125135,Portugal
2019,10286263.0,23330.817288932,2221.43920898,0.338178410046125,6.46000003814697,4.30025203399647,Portugal
2020,10297081.0,22242.406417972,,-0.0124383299576167,6.80000019073486,1.74292538554574,Portugal
2021,10325147.0,24567.5092651,,1.2656571906905,6.57999992370605,3.09503637424912,Portugal
